index,year,month,day,content,likecount,nickname,user_id
1,2015,11,19,"这歌给我的感觉是：我就是很屌，你能把我怎么滴？!
",951,ever_cc_,79980470
2,2015,7,21,风格诡异而洗脑 喜欢她俏皮的一面,541,朝朝很安定,69552484
3,2015,8,15,好怀念以前用磁带听孙燕姿的日子啊,464,圭圭阿圭,64552266
4,2016,1,1,观摔倒天后跨年有感:也就燕姿吧，姿势优美的摔倒后优雅的笑容化解之，起身后专业台风瞬间hold住!😂😂,292,酱爆腰花,3324113
5,2016,1,2,不知道为啥看了她在江苏跨年摔跤后立马站起来唱的时候心里很难受第一个从小喜欢到大的女歌手记得那时候哥哥的房间还贴着她和周杰伦大大的海报,198,扽砸,64965037
6,2017,7,31,真的超喜欢听这首歌，痞痞的，插着耳机走在路上，觉得自己厉害死了！！！让我插会腰！,160,我的家一直在北方啊,358992441
7,2015,8,28,很感谢燕姿不同曲风的尝试，听你一个人就够了，无憾,146,关耳佑,53946985
8,2015,3,10,这首歌读初中的时候一个同学唱给我听，我觉得好好听但是很久很久之后才知道这首歌的名字,122,木头晨,57869920
9,2017,8,2,作词:方文山，希望网易爸爸以后在歌词上面加上填词作曲人，方便我整理填词人歌单，比如林夕，黄伟文，方文山等等填词人，希望网易爸爸可以采纳我的意见@云音乐小秘书,111,随身音乐厅,268678989
10,2019,9,28,数学老师曾对我说:这个年纪，有喜欢的人很正常。但是，最好藏在心底，不要太高调。如果，你想起他，就做一道数学题，等毕业时，把做满数学题的本子，放在他面前，告诉他，你有多喜欢他，不信他不感动，这个主意真的很好，当我做到第二题的时候，我就不那么想他了。,12,1988风的季节,37503041
