index,year,month,day,content,likecount,nickname,user_id
1,2015,4,3,准备结婚典礼上放这首歌。不过不知道对方是不是那个跟我一起听这首歌的人。,839,壹個繁體的傲嬌,45043615
2,2017,4,30,我想和你唱来的抱紧我[吐舌],487,QAQ菇凉不哭站起来撸QAQ,350700005
3,2017,5,2,爱燕姿这么久，竟然没发现这首惊艳的歌。刚从《我想和你唱》过来，听了两句，就立马来查下载，却发现没有999＋？？？what？？？,417,夏天_0525,326211189
4,2014,11,27,错过全世界有什么可惜，我已经有你,342,啊彩虹金刚,36813307
5,2015,2,26,on the road  作为 demo听过没？,278,熊熊烈菠萝,52434555
6,2015,7,22,听了一首歌 就以为是自己的决心。,176,Joey_kqXl,12326566
7,2017,4,30,我想和你唱来的盆友们这首歌还是燕姿自己写的哦。,136,橘咲_,52079797
8,2017,4,30,我想和你唱来的 上车了,112,曼路_,362264098
9,2017,5,1,我想和你唱里搜歌词过来的～第一次听就觉得不能错过这首歌[亲亲],103,Evelyn是我呀,373936941
10,2016,1,1,看完寻龙诀表白，成功了。,93,吴大将军,56440566
11,2019,8,9,从阿珑那来的哈哈,37,要多喝水膝盖中箭,506137658
12,2018,8,12,嚯嚯嚯我佛了   人均狗粉丝,26,60复古893126034,84584480
13,2019,8,20,阿珑最喜欢的关于爱情的歌,21,说话都不利索却喜欢rap的牙套妹,483865095
14,2019,8,25,因为李泽珑喜欢 所以我来了,10,是橙九啊,496593896
15,2018,9,21,那真的🐮🍺,10,十字架丶,110455219
