index,year,month,day,content,likecount,nickname,user_id
1,2015,5,18,开头让我想起 《步步惊心》！,1449,阿拉丁是眼中丁,62526906
2,2015,6,9,当年我们听三寸天堂的时候，都是说开头好像眼泪成诗[吐舌],1252,生椒,9962436
3,2015,7,25,那些说像三寸天堂这首歌的够了，要说像也只能是说三寸天堂像这首吧。,1020,LeeFoo,5450346
4,2015,5,31,二胡果然是很悲的乐器,620,殷小强,54779023
5,2015,5,12,‘忽然自卑说声失陪’,557,第二Round,3843193
6,2015,12,13,这首歌2005发布，三寸天堂2011发布。[可爱],531,Summer樱祭,10314366
7,2017,12,16,16年高考 我文科568 女朋友570 我们报了同样的志愿 可是分数线出来之后 第一个志愿分数线569 我被第二个志愿录取了 我们中间隔了300人 老师会说 一分千人 可我要说 一分只会是150人 1900km 1000块的机票 3小时的飞行时间 和一生的遗憾。,298,zyc唐宋元明清,633752187
8,2014,10,22,每次听燕姿的歌都有特别特别的感觉.既熟悉又颤动！,269,半曰仙,19528463
9,2016,2,5,是看过周董超时代新加坡站视频才来听的赞我[可爱][可爱][可爱],256,CXY的House,96625629
10,2015,5,31,字不醉人人自醉，你的品味总是美。缓缓道来的失恋心情，多无奈，多心甘情愿的卑微,215,MissAnnabel,51564066
11,2015,5,16,怎么让我想起了三寸天堂。。,176,帐号已注销,60694607
12,2015,5,14,高中时代的回忆，现在再听竟是十年前的歌了[哀伤],141,only在hero,61573144
13,2016,7,7,杰伦微博观光团空降到此,128,Jay_krystal,256159052
14,2015,5,14,希望100那个人就算是哭也最美。,103,俘获你的,34441655
15,2019,2,18,三寸天堂前奏就是抄袭这段的吧,37,我是青萝呀,445649056
