index,year,month,day,content,likecount,nickname,user_id
1,2014,11,6,孙燕姿的大部分歌一开始听很平常  但是听久一点就化学反应了  屡试不爽   这首尤甚  想起中学时代了,1389,易所长,41205832
2,2015,6,28,我是gay，我和男友都喜欢燕姿，那时候还说这个是写给gay的歌，现在想想，分手这么久了，已经这么久了。,1072,Shoulders-,35517956
3,2015,1,1,和男友遇到的时候是在同一场演唱会的相邻两个座位，他说音乐响起灯光倏亮倏灭的时候看我的侧脸觉得眼神很温柔，于是就把这首歌送给了我。他空间的背景音乐就是眼神的单曲循环，在异地恋的时光里他告诉我，真的爱情不需要保证，会恒温。,702,李草乙,38994700
4,2018,11,24,眼神啊，想起了高中。刚刚在一起的时候，她给我听这首歌。课堂上的忍不住回头看，喜欢一个人在眼睛里藏不住的我知道。当时听觉得好温暖，就一直留在歌单里。“有你在什么都有可能”当时信誓旦旦要保护她跟谁作对也不怕。分手一年啦。私心想即使和她越走越远以后这首歌她也不要给别人听。,608,大鱼的哆瑞咪,338006533
5,2015,6,25,是你让我记得自己不是一个人。。。是一条狗。。。单身狗。。。,519,Aphorizein,74111215
6,2014,10,25,愿每个女孩都会遇到这么一个男孩，他笑起来像冬日里的阳光，他有一双骨节分明的手，可以为你擦去泪滴，他的轮廓温和，他能让你为他着迷，就算遇到比他再迷人的人，也还是觉得谁都不如他。[爱心],386,烨的第七章,19441805
7,2015,2,8,我喜欢的第一个歌手，一直到现在，很多很多年。,229,琼宝江湖飘,9366450
8,2015,9,8,燕姿没有不好听的歌怎么破,191,闪泥啦啦啦,88079495
9,2015,3,19,十年前的高二从没坐过同桌。隔过道 隔一个人 斜后桌。现在想想 这种似近非远的距离配上懵懂的感觉刚刚好。课间休，听到燕姿唱这句 是你让我知道自己不是一个人。 赶忙扯下左耳机递给他。那个满满爱的眼神加那句我知道你不是一个人，是头猪。回想起来就会嘴角上扬,170,二十八岁可重生,57229491
10,2017,9,24,有时候爱是一种眼神。或许你俩都懂得，所以总是用自己最温柔的目光看着对方。岁月情长，竹马成双💙💚,167,余挽Kaaa-,599342222
11,2015,8,20,燕姿作曲最喜欢的一首没有之一,137,放开那个呆子,982704
12,2017,12,29,"又要去撞南墙了
说不定这次南墙变软了能抱住我了",126,森川七帆,488029942
13,2018,7,29,陆饮冰 夏以桐,119,江湖杀人放火队,281052127
14,2018,8,23,陆饮冰夏以桐好好儿在一起啊。,94,小任小任孤家寡人,528506618
15,2015,3,14,很少听情歌 不是要标榜自己是听摇滚的姑娘 只是有时候 情歌有些难以承受之重 这些陪伴我青春的歌者 都是会唱歌的诗人,94,priscylla,50428728
