index,year,month,day,content,likecount,nickname,user_id
1,2016,4,4,看到有人说她过气我差点笑出声,5474,喜上眉梢-1,136473803
2,2016,4,4,像孙燕姿，莫文蔚，蔡健雅，张惠妹，王菲这样的天后根本不存在过气，因为风格太强烈，实力太坚强，根本无人可替代的，全世界就只有一个。不像某些唱跳歌手，呵呵……,3303,佳野409,42158735
3,2016,4,1,这辈子一定要去看一场孙燕姿的演唱会,2129,RaibowAnimals,82717805
4,2016,4,4,封面不像这个世纪的东西啊[痛苦],1550,扣口吕,94213173
5,2016,4,4,大哥，你是认真的咩？这歌网易3.31号才更新的，而且另一个版本已经999+了，难不成要像甜蜜具现式，我的滑板鞋或者咱们屯里人那样评论数过万才不算过气吗，反正以后我是一定要去看我姿演唱会，毕竟华语乐坛目前票房人气最高的女歌手就是孙燕姿[可爱],1165,雨陨,31875806
6,2016,5,20,请把rap男声拖出去谢谢,820,Itsuken,69888920
7,2016,4,9,说燕姿过气的朋友，我想是因为你没有去看过她演唱会的原因吧，连燕姿自己都说好像回到了颠峰时候，这么多人一如既往喜欢她，她很受宠若惊，6万的体育场几乎满座，比汪峰演唱会三倍多的人,751,布莱克小威喵,2807526
8,2016,4,4,最开心莫过于19岁四个人一起在长沙看了燕姿的演唱会，激动的入场到最后沙哑的跟着她唱完每一首！你们没去看演唱会真的要去看一次，一定要记得在她唱《克卜勒》的时候打开手机闪光灯！全场如银河一般，大家都成为最闪亮的星星⭐,744,_吃定我,110410076
9,2016,5,31,几年以前燕姿来我的城市开演唱会，我还是学生，身上没有什么钱，晚自习跑出来，站在演唱会的会场外面，从开始开唱站着听到了散场。当时我就想，以后工作有能力了，燕姿如何再来，我不管任何情况都要去看。时隔10年，燕姿再次来到我的城市，我买了张VVIP门票，看了我从小就喜欢的她。,432,五五五五C,256743809
10,2016,7,5,最讨厌00后说谁谁过气了，叔叔阿姨们大都不刷评论…都不是过去为了偶像挣的面红耳赤的时候了，叔叔阿姨不会和你们一般见识的，动不动就过气…,377,如果天空不死Zzz,50095702
11,2016,5,24,过气只属于偶像派，实力派不需要这种东西。,334,Sweetheart-zhang,270981936
12,2016,4,4,别给我太多的聪明 去向不够的人索取别给我太过美丽的名字 去欺骗平凡的自己别给我太好的记性 去记住曾经的怜悯别给我太多太多的时间 去陪伴自己的忧虑简单 MY LOVE 是最美好的爱 因为有你我才存在简单 MY LOVE 是最真实的爱 因为有我你才存在,311,君翎音,52978646
13,2016,4,4,简单 My love 是最美好的爱，因为有你，我才存在。简单 My love 是最真实的爱，因为有我，你才存在。简单 My love 是最完整的爱，因为有爱，你我存在。简单 My love 是最永恒的爱，就因为爱，爱会存在。——歌词美爆了[惊恐],293,Perseverance___,120721548
14,2016,4,9,2014.9.20 跟朋友一起去了燕姿《克卜勒》的杭州演唱会，演唱会上，燕姿说：“过去的爱情不都是伤疤，打开心会等到那个Ta。”现场听燕姿唱歌，真的是分分钟听到哭。跟杰伦一样，都是陪伴整个青春的人，只要你还继续唱，我会一直听。[色][色],203,慘綠青年-,57564754
15,2016,4,10,你还是不要听歌了，你这样很容易被打的[奸笑],175,佳野409,42158735
