index,year,month,day,content,likecount,nickname,user_id
1,2015,12,7,哈哈哈哈哈哈 终于有这个版本了！！做了好久的起床闹铃啊[爱心]【在我唱最后一首歌之前，我想要谢谢我的band members 这是我的bandleader DE ken 后面是我的keyboard LIS LU ？然后在我后面我的drummer WEN 还有我的吉他手 呆里尔？还有 台湾来的！！！阿达还有麦乐迪？ 噢噢噢噢观众瞎叫】  siesie！,187,所有人问摩西,30074422
2,2015,10,20,听了忘原版系列,116,肖冲动,133108
3,2015,10,10,绿光变奏版，只有在演唱会上才能听到，简直惊艳,113,PPoooo,31509584
4,2018,2,3,台下粉丝：“这叫我们怎么合唱......”,96,灰色挽歌_1984,357894990
5,2015,9,18,刚发现网易云竟然有垦丁音乐节了。当年听完这一版直接不记得原版什么样[憨笑],62,Rayitsray,19224605
6,2016,5,14,步行街。。。。。,49,仲治,255296321
7,2015,10,2,这个版本绿光简直好听,44,跳舞的反骨,33249451
8,2015,8,28,希望有一天我也可以去给燕姿伴奏，让她介绍我！[开心],38,王小野子,45050196
9,2018,12,7,“希望大家可以一起合唱~”粉丝：？？？？？,29,冬麦dontmind,40723158
10,2018,12,10,曾经说好一起唱，你却偷偷变了样,22,红红狗狗梦一萝,78045152
