index,year,month,day,content,likecount,nickname,user_id
1,2017,11,9,这么多首不知道听哪个好。[大哭]像小孩子遇上了全家桶。,2637,三分后仰跳楼,253053282
2,2017,11,10,张大姐 冷风吹 也不累 落叶拿起扫把扫成堆，孙燕姿你这首歌一定是歌颂基层劳动人民的！,1102,Gogogoforit,46378109
3,2017,11,10,清洁工张大姐每天起早贪黑，受冷风吹，每天生活很无聊枯燥，担心一些生活琐事，但仍然热血，认真过好生活。,845,windbreaker__,122098921
4,2017,11,14,张大姐这首歌真是诚意满满。以汉语姓氏加称谓的组合形式命名，亲和接地气。将张大姐日常的生活琐碎，比如扫地，续杯，超市买面膜比价格等等写进歌曲中，形象生动地表现了中年劳动妇女张大姐渴望回春渴望再走青春的思想感情，使听众有了鲜活生动的画面体验感，更加懂得青春之珍贵，激励年轻人活出自我。,678,大理大理大理大理,58420777
5,2017,11,13,这首歌真的是完全体现燕姿咬字和口气的特别！,517,栈港第一美,500507865
6,2017,11,9,孙燕姿 也是我的青春呀。@金浩森     作词方文山➕孙燕姿带上耳机走在☀️的上海。 很享受的感觉。 自己体会。 ,296,心安静木吉他,322392402
7,2017,11,15,我是猪精                                                   只打呼                                                        坚持要像猪叫般演出,282,Cover-Machine,121792072
8,2017,12,21,孙燕姿在翻唱难度Max的路上越走越远……,255,林讖789,469779416
9,2017,11,24,整张专辑最爱《超人类》，就像我最喜欢的那首《直来直往》，燕姿的积极又随性，太喜欢。一个有点神经大条的女生，开心的唱着歌，憧憬着，对生活积极，却也有小担忧。特写跌倒的感觉，哈哈[鬼脸],254,ellvan,266500323
10,2017,11,24,这歌开始觉得好难听，怎么越听越好听,249,很摇滚滴事,98010521
11,2018,4,28,燕姿专门写给我们站街女的歌惹，感动[流泪][流泪][流泪],117,不可结缘惹,437695154
12,2019,1,25,一种很清爽的轻松，不是矫揉造作的小清新，也不是故作高深的民谣，就是很孙燕姿，这就是孙燕姿的魅力吧,43,Nembutal,285968582
13,2019,5,14,大家好，我是当事人张大姐。那天风有些大，气温很低，我像往常一样清扫着路边的落叶；突然有一个傻大妞蹦蹦跳跳从我身边路过，嘴里说着什么自己是超人来着，还说自己不只会像猪一样打呼，还会像猪叫一样的演出...[晕][晕],39,大黄鸭嘴兽,336723139
14,2019,6,30,两年前我居然觉得这首难听？？？,26,花式吹峰机yu,129124948
15,2019,3,29,小孩子才做选择，我全要[呲牙],14,大佛会跳扭扭舞,325868344
