index,year,month,day,content,likecount,nickname,user_id
1,2017,12,5,这个世界没有那么好，但好像也没我想象中的那么坏。,749,低调毅点,15764674
2,2017,12,5,你是人间的四月天笑音点亮了四面风 我说你是只属于我的第五个季节 春夏秋冬 怎堪比得,372,這可真有趣,430538135
3,2018,4,15,燕姿独特的声音配上这种意境让人有点想哭。[憨笑],169,-自己开开心心,312002435
4,2018,11,30,偶尔羡慕情侣，偶尔庆幸单身,145,海因斯-,1390312972
5,2018,11,30,“欢喜平安日，感恩忧患时”,95,W_CHILD,495341668
6,2018,12,26,"刚刚的成都地铁二号线上，我给一位老爷爷让座，他坚持不坐
他说:“你坐，你上班累”
最后我还是坚持让给他了
不理所当然，不倚老卖老，相互尊重
真好
一下子想到这首歌，我们的这个世界并不像你说的真有那么坏",89,罗舒晴Sunny,353551856
7,2018,12,13,刚来到大学的我脾气很冲 别人说的话我听着不舒服 我就会直接说 哪怕会让关系很僵 但是后来我发现这样真的很不好 寝室气氛很尴尬 所以我学会了忍受 听到不舒服的话 我把快脱口而出的反驳咽下去 然后逼着自己冷静下来 原来忍受别人也不是那么难 她们也有很可爱很让人喜欢的一面,62,-月潋,1325458385
8,2018,11,30,我没碰过一个女生，是，我是个处男，难道处男就应该被嘲笑吗，我只是想给未来媳妇一个最完美的我，难道这样也是错吗,56,Rock-刚子,1430202373
9,2019,2,28,所以你是不是处男跟这首歌有什么关系吗,47,是廷不是婷丶,115579821
10,2018,10,14,燕姿，你知道吗，我的这个世界，因为有你而多了一道光,40,0StefSun,304663132
11,2019,2,18,挺好的啊！我觉得，这是洁身自好。也是对你爱人的一种尊重。,10,沧水巫云-,603817923
