index,year,month,day,content,likecount,nickname,user_id
1,2015,11,22,高中美术老师在课堂上给我们放了《逆光》MV，说燕姿的专辑就算100块也会去买(当时内地版大概2、30块一张)，她还问班里有没有喜欢孙燕姿的，同学都齐刷刷地看向我，当时我感到很自豪，自信的举起了手[大哭]一晃眼8、9年过去了，仿佛还是昨天发生的事😹,42219,漫步的渴,11985761
2,2016,2,3,燕姿带我回去吧，回到那个有杰伦和你称霸的华语乐坛 。,22334,握紧拳头开始习惯,67582407
3,2015,7,27,这是第520条评论,11996,Cest_la鱼,37639108
4,2014,12,4,逆光+绿光=光芒四射,11365,王易一,35497168
5,2016,5,2,长江音乐节上……燕姿唱歌的时候，旁边的男生嫌我视频拍的不好，主动帮我拍了她唱歌的视频……后来去看好妹妹走得太匆忙，都没来得及说再见……感觉好可惜，不知道还能不能找到他了[呆][呆],10332,徐菲特烦恼,66424604
6,2016,11,19,九年前，我偷偷用我爸的翻盖手机下载了这首歌，当时1kb好像是1毛钱，这首歌多少兆我忘了，反正我当时问完同学下载歌曲怎么计费就懵了……记得我爸发现这首歌的时候还说不懂谁给他传了这首歌，真好听之类的话（他对电子产品很迟钝的），后来好像因为到奶奶家住了几天逃过一劫[大哭][大哭][大哭],8234,EXID率智,256556959
7,2017,3,4,那年生病四处投医，凌晨和老爸在南京某个公交站台等车，我不知不觉就哼起这首歌，现在想来那段岁月的某一刻我可以忘却病痛，多年后音乐依旧给我带来快乐，谢天谢地我现在健康,6307,冯筱i,115650882
8,2017,10,10,我不想再过这种生活了 每一天都在浪费自己的时间 在这些潮湿的时光里发霉 变得越来越懒惰 我快要听不见自己内心真实的声音了 我想拥有那种自信满满 每一天都神采奕奕的充足生活 我不能再这样下去了 我会被自己荒废掉,5673,零祈_,492212408
9,2016,1,30,07年这张专辑上架那天，从处在西郊的高中新校区出发，四个人打一个车，里面装着20张CD的钱，直接奔到市中心的音像店买走全部。那天晚上，晚自习一如既往地安静，只是在笔尖是沙沙声中清晰地传来CD耳机里的《逆光》……那年高三。,4610,海东青_vach,55879681
10,2017,10,8,愿你岁月无波澜  敬我余生不悲欢,4433,理想三旬一场梦,337495486
11,2016,11,20,2007 我六年级 暑假 新华书店的自动贩卖机 有两首歌 逆光和中国话 那个暑假的色调在我记忆里一直是暗黄色的 如同逆光 那个暑假格外漫长 小时候想长大 长大后想回去 只有歌声不变 即使现在的我已经有了很多很贵的属于我自己的可以听歌的东西 我仍然那么想回去 有那台机器的2007年 想你 2007,2962,粒莉安,290577989
12,2017,10,9,现在高三，和每一个高三的人一样，每天六点起床，十二点半睡觉，一个月放一天假期。每天的晚上面对写不完的作业都很压抑，觉得再也坚持不下去了，眼泪就止不住的开始溢出眼眶。边听会儿歌边抄会儿单词，擦干眼泪，加油。放下手机就继续写作业，大家晚安。,2441,loveingshare,612285508
13,2018,6,27,今年压着一本线，不想走，好多人只是说走了吧，没人去安慰自己，无所谓。做个逆光人，开始自己的高四。,2162,历日陪夏,423222921
14,2017,5,29,我喜欢你坐在窗边，我坐在你旁边。光穿过你撒像我，而你也深深印在我心里。尽管你是直男，但请允许我卑微怯懦的爱着你，哪怕低到尘埃里。,1780,小梁平局上分,495173806
15,2016,5,2,不管唱了几首歌，这次去长江都是最正确的决定，快大四了，准备考研了，终于见到了燕姿，也是圆了自己一个小愿望。好好加油吧，未来很长，还需要好好走！我们都是自己的光。,1242,难沉,73644761
