index,year,month,day,content,likecount,nickname,user_id
1,2014,10,25,这歌我听了十年……好可怕的数字……,493672,Waii_ooO,13867933
2,2015,6,18,暗恋四年，表白，花了三个星期做视频，背景音乐就是遇见。十动然拒。今年是第六年，我们都要大学毕业了，她想回家乡去考公务员，她说不想在外面漂，但我不可能回去了。这辈子就这样了，应该是不可能了，我没有别的奢望，只希望她健康，幸福。[憨笑],307019,chinaqhy,52429775
3,2016,1,19,那天我约你跑步，可能也就我这种傻子才会约女生晨跑，一夜没睡，五点就在你家楼下站，你八点才下来，说睡过头了。我笑着说，没关系。,298525,桌上有颗糖,52191701
4,2016,2,29,1万评论，希望有2万人幸福[爱心],297174,逝去的旧时光QAQ,48595825
5,2015,11,30,“嘴上说着单身挺好，可是看到两个人，还是会沉默”,156915,阳光橙妮,51051435
6,2014,10,30,从初中听到大学，总是在遇见，总是在离开,154764,修远VicLeo,32734331
7,2015,11,29,校服是我和她唯一穿过的情侣装，毕业照是我和她唯一的合影，我们能遇见，却从没再见,150566,古德奈特先生,98102767
8,2015,11,9,我羡慕那些一听什么歌就能回忆起什么刻骨铭心，然后热泪盈眶的人。我没有什么轰轰烈烈的故事，导致我听一首歌回想起的都是“啊，这是前年大雪去吃烤鸭堵在路上听的歌，好饿啊。。”“啊，这是高中在那家麻辣香锅的店里循环放的歌，不知道还在不在，好饿啊。。。”,106541,晚上我们吃什么呢,41437933
9,2014,10,18,每首歌里都藏着一段旧时光。,70049,Deaconx,31209604
10,2017,5,23,今天下班有点晚，可地铁还是那么挤，在车尾无意看到一个满脸泪水的姑娘，她没有表情没有声音，但是眼泪一直在流，很想给她一个拥抱，我知道在这繁盛生命里的孤独，望你开心。,64665,徽子启,35695953
11,2015,5,7,我排着队拿着爱的号码牌。可特么的为毛前面老有人插队[流泪],62235,善本天蓝,35561114
12,2018,1,13,“根据北宋哲学家邵雍的计算，世界上的事物将在十二万九千六百年后，完全重现。也就是说，在十二万九千六百年之后，我还会遇见你”,53257,独自挥霍这斑驳了的青春170420,470688917
13,2014,10,19,高一的时候特别喜欢听，那时候一人在外读书，没什么事[憨笑]，可是每天都必须和妈妈哭半个小时才能写zuoye[呲牙][开心],42877,fresh-to-die,35208349
14,2014,10,10,这首怎么听都不会腻，好淡,38023,帅绝非长久之计,16557987
15,2014,10,7,不急不躁 谜底有一天总会解开 等的人 他在多远？,26722,帐号已注销,31003064
