index,year,month,day,content,likecount,nickname,user_id
1,2014,8,9,这不是广告歌，银泰也没有给钱，银泰大楼是北京很有特色的大楼，它不是多么显眼，多么具有代表性，也不是北京的地标性建筑。但是就是这一大楼是在北京经常可以看到的，它默默见证着城市的变化，不是那么显眼。希望这城市能带给你自信，这是在北京生活的外地人的心情写照，是孙燕姿新专辑中我最喜欢的。,3073,Kevin大少,9467050
2,2016,11,27,当时银泰外面的LED都写出:”感谢燕姿”了。。。。,2033,hhm0323,267366002
3,2015,6,20,这首真是克卜勒里的隐藏神曲,1269,叫我棍哥,75715874
4,2014,11,4,这是我这张专辑里最喜欢的一首歌[哀伤],1219,littlesnowdome,18846969
5,2014,2,27,这张专辑给100分 90分的水准 词不水 曲不俗(以我听完一遍记不住旋律为标准)最关键是没有一首是奇怪的 新潮的 电子的 或者中英混杂的伪爵士 那似乎是近俩年豆瓣音乐人的标配…还有10分感情分 声音没变 感觉没变 她的海报曾在我床头贴过四年。,1161,怪弼-FREAK,1665030
6,2014,11,13,下次陪二姐去帝都逛逛银泰好了。。,933,孙燕美,542076
7,2015,5,21,你很幸福，不再去唱那些苦大仇深的失恋歌，你让我们发现你唱这些都市小幸福也是这样美。你甚至抛弃了天后的头衔低调地出专辑，低调地开演唱会。好多人觉得克卜勒很平淡，我却觉得克卜勒这专在平淡中却力量十足，你做的歌我都喜欢～,773,Jonny1120,31156342
8,2016,1,29,突然觉得我们这些90后好幸福，中学时代有杰伦，燕姿，jj，梁静茹，she⋯⋯而十多年过去了他们依然闪耀,509,谨之之,35342390
9,2015,1,1,和男友相遇就是在旅行，在一个繁华而拥挤的城市里，人海茫茫遇见自己遇见他，公交车地铁步伐也无比忙乱，可我们还是陪着彼此去了一个又一个城市，看着每个城市的变迁，看着每一个像银泰的建筑物成为许多人眼中匆匆一面的景点，每个城市都有自己的味道，这首银泰就是这样。,438,李草乙,38994700
10,2014,10,14,[大哭][大哭]为毛总有人觉得这是广告歌，虽然被感谢了大半年，但是真不是广告歌啊,428,帐号已注销,37833626
11,2015,8,21,武汉的朋友们，在中南堵过车的朋友们，中建三局的大楼好有代入感。。。,372,我家阿不,43272583
12,2015,1,7,有想去北京读博的想法,349,MOUNE,3834078
13,2015,5,28,很好奇一个台湾词人怎么会选了这么一个奇特的角度来填这首歌的词....,320,用户35956088,35956088
14,2015,6,26,燕姿说 那时候她想把这首歌收录进专辑的时候 很多人都不支持 而专辑出来的时候很多人都跟她说 我喜欢这首歌 真的是再不好的歌 出自她的口都会变得好听,277,张村长如我,56544622
15,2015,2,27,居然又是一年了，去年我在地铁上听着，准备去自主招生考试，心里想着去见一个人，就这样，一年了，什么都不复从前，但对这歌的爱倒是没变。,269,佳佳大魔汪,573076
