index,year,month,day,content,likecount,nickname,user_id
1,2015,3,7,人生最大的错觉就是——他喜欢我,2814,说放弃要放哪里,9683208
2,2015,2,16,两年后我才想起来翻出你送的本子，丑丑的钢笔字，七篇日记。我们在一起甚至不到十天。后来的日子里一直很费解那时是怎样一种情感，每天莫名其妙地哭啊哭，惊悸而有点陶醉。现在大概有点明白了。我们在两端暗恋的暮年选择开始一段关系，让故事从起点就是一种带着苦涩而腥甜的强求。这是场天大的误会。,1051,RimaLazulita,33426985
3,2015,2,12,I'm here,720,宁振轩,37445546
4,2015,2,21,有多少人是看了I'm here后来听这首歌的？,540,本质的白酱,258087
5,2015,9,25,克卜勒这张专辑能听十年。,475,叁界皆苦,49511240
6,2015,5,21,副歌部分完全游弋在假声里、气息拿捏、情绪表达都非常纯属……怪不得有人说我姿这一张克卜勒有炫技的嫌疑～,472,能猫桑,563187
7,2015,2,1,"     小巷
     又弯又长
   
     没有门
     没有窗

     我拿着把旧钥匙
     敲着厚厚的墙",459,十一休,48979453
8,2015,1,16,岑宁儿写给燕姿的歌，大家可以听听她自己演唱的版本，另有一番味道[亲亲],406,柏妮婉,9698677
9,2017,7,17,我不是为了什么什么here才来听的，而是因为一个人，孙燕姿。,325,陈簌醨子,509419163
10,2015,6,24,只是想听一首尚好青春就睡觉，顺着专辑放到这里，顺利的失眠了,252,一撮蒜蓉烤生蚝,1112193
11,2015,7,3,以为再也不会给别人伤害自己的机会，果然只是自以为而已。,189,Potato_o,46644565
12,2018,6,20,我是男生，我喜欢他。他不接受，我就在手机这边说这是个玩笑，编了一个谎，把女同学的照片发给他说这才是我喜欢的人；他在手机那边说没事没事，根本没有放在心上，还要帮我追到我喜欢的那个人。果然，最大的错觉，是他喜欢我。,100,2032MOMO,560929217
13,2019,1,11,暧昧上头的那几秒 像极了爱情[心碎],73,是红豆味,272060755
14,2019,3,20,银泰和错觉是这张专辑隐藏的两大神曲,38,小半仙171111,637269614
15,2019,2,11,在snh里，可以看到好多种女孩间的感情，其中一种就是《错觉》吧。今天看了一个up主的视频，知道了这首歌。,35,狗嗨起来,39905945
