index,year,month,day,content,likecount,nickname,user_id
1,2015,3,25,总有一个人 你认为自己可以一直等 结果等到的只有自己幼稚的幻想 和单纯爱情观的分崩离析,1319,帐号已注销,546384
2,2015,2,11,我知道的啊 你不爱我,923,眠椛,37548159
3,2015,1,12,最爱之一，喜欢这种淡淡的哀怨，淡淡的离别，淡淡的述说太多的离别。也许有时候伤痕没有原因，我爱你也没有原因，也许真的只是一种感觉，也许当它碎了我也会想起你，多想成为你的隐形人看看那边的你，目睹你也跟我一样的孤独，于是只能给你一个淡淡的吻，可惜梦醒了。,542,散若烟云,35996981
4,2015,11,16,克卜勒巡演香港站，话筒意外失灵，然而这四分钟，歌迷用大合唱陪她唱完两首歌，一首《隐形人》。一首《我也很想他》。做到如此很棒,343,一只疯疯癫癫的米老鼠er,7559497
5,2015,1,2,忘记了几岁生日 收到人生中的第一盒磁带 就是燕姿的这张专辑 现在大三 ⊙ω⊙ 还是很喜欢,277,多肉酱想去永无岛,37773470
6,2015,10,18,原来听这首歌总会想到你 后来觉得 你配不上这首歌,267,mylittlekiwi,50573437
7,2015,1,14,初中时买了燕姿的这专辑的磁带，遥想一下将近十年就这么过了。。。😥,252,javycou,47022864
8,2015,2,1,     看你幸福好了。,222,十一休,48979453
9,2015,7,22,听情歌，要理智，切勿对号入座。如果中毒太深，请试听“啊多么痛的领悟……”你就懂了。,209,Jack_岩,81436268
10,2016,3,26,试着听了很多歌手的歌，才发现永远只有周杰伦和孙燕姿的歌，听不腻[大哭],207,梯田上的搁浅,124875098
11,2015,1,12,也曾不顾一切 也不止一次两次三次 到头来 他们总是用实际行动告诉我 所谓“不值得”   不离 才配 不弃 ,179,嗯我是孤寡老人,14254177
12,2015,12,5,独自听着《隐形人》的傻姑娘，对不起，三年前的我对不起你的有太多太多，后来才知道没有你在我身边，再多探险的旅程也失去了它的意义，是否你还迷信我们，是否你还听信永恒，是否还会接受这样一个我？20天后考研结束我已经决定去找你，你还会再给我一个机会吗？,156,歌歌小宝,101855058
13,2016,2,11,其实感情的事情不在其中又怎么好插手呢？所有的指手画脚都不过是在自说自话罢了，你觉得你看到了全部，可是还有好多好多你没有看到的，犹豫的愧疚的小心翼翼的奋不顾身的，怎么就可以轻易说出你根本不喜欢他这样否定一个人全部感情的话。好久好久了说到底我还是在意,86,Charlie啊啊,45801469
14,2016,11,20,燕姿上热搜了，不知道下次巡演是什么时候，还欠一场演唱会呢。希望真到燕姿巡演的时候，正好也有一起去听演唱会的人。,27,Dilast,46863278
