index,year,month,day,content,likecount,nickname,user_id
1,2015,3,17,孙燕姿的雨天，莫文蔚的阴天，周杰伦的晴天，总有一款适合你。,63115,如果我爱上你的笑容,20432324
2,2017,10,27,很庆幸那天你删了我后，第二天是雨天，在雨水中，大街上没人注意到我控制不住的眼泪，借着雨势，那天我哭的酣畅淋漓。晚上还喊了关系好的哥们去吃饭，好好地倾诉了一番，之后还是一如既往的嘻嘻哈哈。那天是十月的武汉，后来每年十月的雨天，我都会感觉格外冷一些。,21422,帐号已注销,414435387
3,2014,11,12,在我们疯狂听Jay的时期，好像有一部分人的青春是属于孙燕姿的。你能体谅，我有雨天，偶尔胆怯，你都了解。,16392,耳朵爱吃鱼宝宝,40756439
4,2015,3,1,我的青春男声周杰伦，女声孙燕姿，没有另外。,12095,你和罐头,10990625
5,2015,3,9,牵手和分手来自同一双手,10397,容小花花,47272021
6,2015,2,28,喜欢杰伦，燕姿，大同，陶喆的点赞[可爱],8800,天灰灰欲落雨,30780809
7,2016,2,8,我今年32岁，之前从没在意过自己的年龄。直到喜欢上一位比我小七岁的女孩，，突然开始自卑。不知如何是好,8105,mengxr123,108976879
8,2016,4,1,我喜欢你 就算今天41℃也喜欢你 今天下暴雨也喜欢你 今天干巴巴没有风也喜欢你 今天出现彩虹也喜欢你 天气不会影响我的心情 毕竟气象殊异 可于我而言 你永远是你 我喜欢你很久了,6352,肾宝片儿呐,71388360
9,2015,2,24,记得我们看最后一场电影的那天下着倾盆的大雨，你把你的校服外套给我挡雨然后慢慢走在我前面一点的地方，那时我心情不好，也是第一次莫名对你发了脾气[哀伤]然后你没怎么理我一个月，又忽然在一个夜晚对我表白…偶然听到这首歌，忆起当时幼稚，到现在还在后悔当初拒绝了你。可是已经走不回你身边了.,5673,夜月辰星,48296827
10,2014,12,7,那时候我说我喜欢孙燕姿你说你正在听这个歌。我们第一次见面也是个雨天。我不相信命中注定但我相信你的出现一定是必然的。希望能一直走下去。,4349,MySong_,39841437
11,2015,12,8,巴黎的大雨天 我们为了省地铁票的钱 愣是从卢浮宫走到了铁塔 我们挤在同一把伞下却还是避免不了全身湿透 一路走一路后悔为了省钱冻成了狗 现在想想那是最美的回忆 谢谢你陪我走了这些年 哪怕最终我们没能在一起,4050,帐号已注销,106788320
12,2014,10,22,每次听燕姿的歌都有特别的感觉.既熟悉又颤动！,2372,半曰仙,19528463
13,2016,1,20,你们尚好的青春都是孙燕姿，而我的童年就已经都是孙燕姿了[大哭][大哭][大哭],2293,跳舞的小谷_,98206866
14,2016,3,19,2016.3.19.中午12点54分现在在一间便利店躲雨，前阵子刚和她分手，承诺的一起去深圳发展，现在只剩下我一人。拿着一纸简历不知道怎么走过这雨天，我想想或许应该走慢一点，因为我感觉正如孙燕姿所说的我要体谅我的雨天。加油！Richard[憨笑],1871,Richard_chan的一堆事一堆情,96726575
15,2015,4,7,Alin和燕姿互动起来了,1010,帐号已注销,37007511
