index,year,month,day,content,likecount,nickname,user_id
1,2014,12,27,南京演唱会，燕姿一边唱这首歌我一边哭，旁边的陌生妹子轻轻拍着我的背。我的人生好像一直很多雨天。,3328,茶泡饭啾,37718478
2,2016,4,1,不好意思，南京没有唱这首歌 。只有郑州站唱了一次。,1791,做回单细胞,46780674
3,2014,9,23,[亲亲]克卜勒最喜欢的歌,816,夜越黑梦违背,36943231
4,2014,11,20,整张专辑有这首歌足矣。[爱心],792,周七七J,41481738
5,2014,12,2,喜欢了你10年，每首歌都能哼得出，我觉得很骄傲[亲亲][亲亲],659,Ccc菜籽,41558799
6,2016,3,10,网易评论的好处在于，评论完之后就找不到自己的评论了，只有当别人给你点赞的时候，你才会突然想起当时听这首歌的心情,650,丸子鸭biu,128295084
7,2014,10,30,今夜的临港雨来得太突然，旁人疯也似的匆匆逃离，为了远离那些嘶吼，尖叫，我带上耳机继续走着，他们看我的眼神好怪，我又不是动物，只不过雨渐渐大了，路上也没人了，安静也挺好的～回宿舍了，舍友笑道这是哪来的大水鸭～白痴！听首歌，洗澡睡觉！,635,稼小狼,2003792
8,2015,12,25,还记得，郑州演唱会大雨倾盆，安可唱的雨还是不停的落下。我就在燕姿正前方，离她不到两米。这是这几年里最美好的一件事。,559,美好的雀斑,113276650
9,2014,6,1,燕姿的声音最干净，哈哈最爱。,434,何稽,18361788
10,2015,2,10,和女朋友异地恋，每次我都一个人去看演唱会，马上毕业了，她要和我一起去看周杰伦…看了这么多评论，我觉得我该再考虑考虑[口罩],358,Hi_Leo,983696
11,2015,10,31,西安，大雨，冻成狗。自习室只有四个人，我再复习考研数学。五十多天后希望有个好结果。[拜]🏻,328,urnotrui,44137258
12,2015,2,8,怎么都是看了演唱会分手的……,328,Stefanie__sun,41549275
13,2014,12,28,在太阳很好的天气，听着这么一首。穿得很厚，半眯着眼睛看掉光了叶子的树干，周围的人群仿佛都要隐匿。认识你的日子老得创造了历史。,280,kid_kid,6702118
14,2014,10,20,醉人的口琴,237,恐高的天行者,34609002
15,2015,1,27,"终于听见下雨的声音
于是我的世界被吵醒
发现你始终 很靠近
默默的陪在 我身边 态度坚定",224,宜静ELLE,19980016
