index,year,month,day,content,likecount,nickname,user_id
1,2015,9,3,需要你。但是始终 不能和你一起。掉进漩涡。就这样飘着吧。,1310,ifiwereur-stefanie,39254277
2,2015,12,6,无奈有些喜欢，落地变成遗憾。,968,爱过你真的太好了,100531490
3,2016,3,13,我好像从没重要过 你只是偶尔需要我。,758,矗男,54671255
4,2016,1,27,孙燕姿不是有很多经典作品，而是每首歌都是经典作品[爱心],550,跳舞的小谷_,98206866
5,2016,5,29,燕姿在渔人码头演唱会上说这首歌的难度有点大。飘着+漩涡+需要你  就是逆光专辑里面隐藏大神曲,428,黄鹂和白露,250222772
6,2015,8,20,这么好的一首歌，希望更多人听到。你若一直唱，我便一直在。,278,stefanie孙燕姿,33052332
7,2017,6,5,既然成为不了你的老婆 那就成为你老婆的噩梦,256,盛世妖精-,487905531
8,2016,4,9,今天是4月9日，昨天孙燕姿发了新曲，坦白地讲后来很长我时间只听摇滚与民谣并且已经28岁的我再听孙燕姿已经很难再有共鸣，可只要是你，哪怕是唱我的老噶也能给我力量。,190,女_少年,10104890
9,2016,8,16,初三第一次听这首歌就很爱  最爱的一首  现在过去了九年  依然[爱心]都明明需要你 却还犹豫不定  这句歌词最打动我[钟情],183,mayuko然,129593031
10,2017,5,28,前女友分手以后有天晚上突然给我分享了这首歌她当时说的是这首歌好好听我也没在意 今天心血来潮看了下评论我好像终于听懂了真是对不起啊我这么笨💔,132,Z1999,289771852
11,2017,5,1,高考复习时听孙燕姿，失恋时听孙燕姿，感谢歌坛有你。,121,Mac97,290900852
12,2016,2,25,明明是谁。。[惊恐][惊恐][惊恐],107,奈了个馏,42307612
13,2016,1,20,这弦乐太赞了 燕姿的声音驾驭的超完美啊,106,麦可罗,9603650
14,2018,3,30,我们疏远的原因大概是我需要你的时候你都不在。,90,不苦-,32641050
