index,year,month,day,content,likecount,nickname,user_id
1,2017,12,6,曾在一起，不在一起，都是感情！[心碎],6684,妄屿栀枯,467427088
2,2017,11,9,喜欢上一个孙燕姿一样的女孩呢…,4183,帐号已注销,566935492
3,2017,11,9,风衣党打call！《风衣》初听整专最佳！[爱心],3694,我坐在九份的咖啡店,72788572
4,2017,11,9,听说燕姿接下来的专辑的主打曲将会是《羽绒》《棉袄》《秋裤》《围巾》……,2646,光夏睡了,291469630
5,2017,11,9,冷天不需要风衣，只需要耳机的燕姿和怀里的你。,2220,手背桠枝,377911213
6,2017,11,10,09年燕姿the answer is.......演唱会时，我和他去看，他说好冷，我脱下XXL码的风衣套在他170的身躯上，那时候真想这样一辈子温暖他,2197,咕叽咕叽21,251721623
7,2017,12,31,多少老友如今都已离去，多少时光最终化为一声叹息。白色风衣，蓝色的你。那件风衣，叫做回忆。,2008,抬头望到北斗星,9829701
8,2017,11,14,燕姿这首歌想表达的是，那些在人生路上陪我们走过的人，或许走着走着就散了，但是回忆不会丢失，它会拼凑成一件风衣，为我们御寒，陪着我们推门出去，找寻星星。,1459,Y-una,322710590
9,2017,11,9,并不是熬夜的人有多幸运  而是有的人 从一而终都在死守苦等 终于等得到你  成为我最闪亮的光 多谢这么多年借给我这么多的光 当我想起 天空那道源自于你的光芒  我依然还是愿意来听你歌唱。任她们多美丽  都未及你矜贵  毕竟尚好的青春 都是你[爱心],1364,周果亦,98357645
10,2017,11,9,昨天听到了赵雷新歌 今天终于等到孙燕姿是为青春买单。  而且已经预约好了明天乡村泰勒斯威夫特。  今天上海☀️ 而且今天发工资真是美好的一天。 🐦,1055,心安静木吉他,322392402
11,2017,11,9,"风衣青娥有可依，布衾陋室盼风息。
",1027,from-ghetto,248312425
12,2017,11,17,今天晚上买了整个专辑，15元值了，这首歌的MV大爱，看完很有感触，还有很耐听[爱心]，Honey honey和咕叽咕叽我听了几百遍，我怀念的在失恋时听到哭[心碎]这次回归，带着我爱听的歌，谢谢你[拜],899,不瘦二拾斤不换头像,39174041
13,2017,11,13,因为这首歌，双十一买了件风衣[大哭],753,nojivv,2101196
14,2017,11,11,因为燕姿，所以喜欢短发爱笑的女生。,726,枳南子,435795232
15,2017,11,9,我从没穿过风衣，但如果有机会，我想送她一件，在这个深秋，穿起来一定很好看。她不冷了我自然就暖了。,652,麦库姿,344419703
