index,year,month,day,content,likecount,nickname,user_id
1,2014,11,19,这么好听为什么不火！！绝对的冷门金曲！！,3496,19710115号观众,2781851
2,2015,1,30,我得思维里 燕姿没有冷门歌曲,3018,花椒吖好麻,9592890
3,2015,7,11,这歌高潮感情爆发有多强烈你造吗,2093,Hey_好久不见__,64763776
4,2014,12,6,逆光的所有的歌都是金曲。,1637,王八就是鳖,37847681
5,2015,2,6,2007年的逆光里面真的有很多好听的歌曲。只是因为燕姿其他主打实在太火了。,1269,未完成s,52426699
6,2016,5,2,真的可以说这首歌是被路人忽视的歌，但这首歌绝对不输于我怀念的，我不难过的难度和情感，其实它是我怀念的的另一个系列，这首歌我听了不下500遍了，无限循环。莫名地喜欢  每个路口，怎么转都错,1200,黄鹂和白露,250222772
7,2019,9,23,今天是失眠的第8天，大学毕业的第458天，我们分手的720天，谢谢每一位出现在我生命里的人，谢谢你们的陪伴，深话浅说长路慢走，愿往后旅途，三冬暖，春不寒，天黑有灯，下雨有伞。此生尽兴，一腔孤勇，不负勇往。,1047,机智小枫枫,254127349
8,2015,6,16,这歌如果现在出肯定大火,806,JY_Jay,30996773
9,2016,11,18,2016年11月18日，林丹出轨新闻第二天。正在坐月子的谢杏芳更新微博，选择了原谅。谢杏芳写道：“我们一家人会支持这个敢于担当，知错会改的男人，感谢朋友和球迷的关心，我们一家人风雨同舟！”。看到新闻说谢杏芳的微博认证之前的签名是“错在明知是错，快乐该怎么选择，我爱错只能沉默”。,748,鳴游诗人的记忆,30185990
10,2015,6,25,不火正常 听这歌这么多年了，自己一直是少数人 不需要别人附和，我就是我 我一个人,662,Hey_好久不见__,64763776
11,2016,11,18,07年的老歌了。当时这张专辑大中华区150万销量，横扫各大榜单和奖项，这首歌却因为各种原因被打入冷宫，没有像《我怀念的》一样成为烂大街的国民情歌。9年后的今天，却因为世界冠军林丹的出轨，这首歌重新回到大众的视野，让路人惊叹原来9年前就唱出了这么优质的歌曲。所以说，是金子总会发光的。,521,unflaggingseki,33660854
12,2016,11,19,观光团们请给《飘着》的CP《漩涡》足够的尊重[晕],504,忽然相当超人类,74264960
13,2016,11,19,听着孙燕姿的飘着，刷到林丹和谢杏芳结婚的视频，我觉得一个男人真心对你的时候是真的，走了不爱了也是真的，你根本无法判断以后会怎样，所以在每段感情里，都保持随时离开的准备，可能才是最好的自卫的办法吧。sad,351,Alex719,265496399
14,2016,11,18,谢杏芳观光团。既然作为了自己的个人介绍，一定是非常喜欢这首歌，这几句歌词让她感同身受或是有所触动。所以听完这首歌的我，更觉得可怕，我们每个人都首先是作为一个个体，其次才是某个人的她，所以都希望每个还在空中飘着，在挣扎，在妥协的她们，勇敢的逃脱出来。,313,将爱和时光通通看透,50948253
15,2016,11,18,感谢林丹 你的出轨让我知道有这首歌。。。,231,Justwaitingforyow,252121183
