index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,小时候不懂，现在天天被抖音轰炸，才发现孙燕姿是一种什么样的神仙。,0,陈漂亮的男朋友,625502840
2,2019,11,28,歌词写的真好，已经深有体会了,0,返回飓风_,122557969
3,2019,11,27,明明是你先撩的我，到最后却是我动了心[心碎],0,草本说,322063512
4,2019,11,27,悲伤唱出了轻快的感觉,0,正义是普罗透斯的脸蛋,1418202975
5,2019,11,27,啊原来那首同人曲是！！,0,EveeveEveve,406151584
6,2019,11,27,夏天，阳光，窗台的风铃，被风吹起来的窗帘，房间内躺在地板上的我，还有旁边的小风扇～,0,麦子和橘子,397676316
7,2019,11,27,长大了才知道孙燕姿啊,0,我喜欢这世界更喜欢你,117321777
8,2019,11,27,不管是王沥川还是高以翔，都好温柔好绅士，这么好的人怎么可以...✨,1,是gua牛不是蜗牛,535019731
9,2019,11,27,年少时喜欢一个人，只能偷偷喜欢他，也许只能喜欢一个学年，但会记住很久…很久…,1,重庆市渝中区哆利宠物店,137203692
10,2019,11,27,我爱的人不爱我，但我依旧想把「大鱼」中满满的爱都给她！毕竟是深爱的🐻,0,短笛大魔王喵帕斯w,89908660
11,2019,11,26,最近迷上yanzi了[惊恐][惊恐][惊恐],2,LIKEAGGRON,134566201
12,2019,11,26,还有谁？,1,真挚摩天轮,1693988337
13,2019,11,26,很舒服,0,想多点开心,1350528146
14,2019,11,26,在不想学习的时候，总要做一些看似在学习的事，弥补对学习的愧疚,0,是gua牛不是蜗牛,535019731
15,2019,11,26,你的180度是你转变的速度，我却始终无法追上你的速度，想想有点心酸～～,0,呵做自己,385667758
16,2019,11,26,一开口就回到初中的时候了～太久没听,0,超爱吃的鲨鱼,1658377
17,2019,11,26,好久以后听她的歌就好像回到我初中下午两节自习课骑车去二院整牙的时候了୧(⁎˃ ◡˂⁎)୨ꔛ♩来听歌,0,一个普通的美若天仙,351728557
18,2019,11,26,1还是0,0,疾风的猎人,107082757
19,2019,11,25,四年又四年,0,_Indispensable,586126818
20,2019,11,25,"初中的时候把孙燕姿的歌听了个遍 然后高中哼起眼泪成诗，同桌突然跟着唱（不知道懂不懂那种...就是以为大家周围都不会听过 就不怕被嘲笑 结果旁边的人就顺起接 那种感觉...更好了！！！）
上大学哼起绿洲 山羊皮 隆隆的歌 却真的是没人知道了 无边寂寞",3,北丧,72257774
21,2019,11,25,恋爱失败要承受的痛苦。,1,Relife槑,340751803
22,2019,11,24,日推越来越合我意了,2,Bibibiubiu哈哈,569654163
23,2019,11,24,现在听到这首歌的我很困，半梦半醒，看到了台湾的一座小山，我和他一起去郊游，还看到了大海和沙滩。睁开眼，下载了这首歌，并且加入我喜欢,0,沙沫summer,416932772
24,2019,11,24,"我自己一个人住",0,未来的建造师,99454998
25,2019,11,24,为什么我以前没听过这首歌!!,0,甜甜的邓猪宝,35524894
26,2019,11,24,@粒萝吸盘X,0,疯子色,385593319
27,2019,11,24,有点好听～,1,C__Lee,392974796
28,2019,11,24,台好听了吧[流泪],1,JyEaster_,249675038
29,2019,11,23,向往形婚……,0,TyrantKang,61686982
30,2019,11,23,180°,0,jgamt偷懒,360833288
31,2019,11,23,老歌就是经典,0,大福大福大福大福大福大福,390716134
32,2019,11,23,刚开始喜欢的是我喜欢的你，后来喜欢的是你,0,Acidlitchi,330206034
33,2019,11,23,"有些人一开始是喜欢你
后来是喜欢你做他喜欢的你",0,ratooii,1602470560
34,2019,11,22,男人容易厌倦,0,星空ywxk,1644074027
35,2019,11,22,事实证明，男人是怎样都会变心的,0,Firefly_光,110581411
36,2019,11,22,很舒服的调调，循环起来！,1,自然蛋蛋卷,513451127
37,2019,11,22,我要你最后的大福[大哭][大哭][大哭][大哭]dbq我是吃货,1,Karen球球,269380242
38,2019,11,22,男周女孙,0,当前网络不可用哦,380126842
39,2019,11,21,好巧 我喜欢的那位大男孩也很喜欢孙燕姿,0,_Sleepy-,568785514
40,2019,11,21,希望以后可以坦坦荡荡,0,Dinger-Yao,1293540389
41,2019,11,21,回忆起很多年前听mp3上学的日子,0,一艘属引,1484405206
42,2019,11,21,"我知道为什么听着很舒服了，因为uuuuuu:du chu lu chu tu du du bu gu fu 真的押。",2,MichelleQQC,34221939
43,2019,11,21,太好听了呜呜呜 好久没听到这么清新的歌曲了 越听越好听啊!吹爆燕姿!,1,Deer_Lion_,543067405
44,2019,11,21,两条回复间隔四年吗？,0,听着歌能干什么,393294755
45,2019,11,21,好歌儿,1,于英洵,101726916
46,2019,11,21,光听曲调，心情就很好了[吐舌],0,Deer_Lion_,543067405
47,2019,11,20,没有1w+我不服！,0,54646137849647emm,1571867929
48,2019,11,20,氹我 开 心吧,0,座瓶水是我惜可,253248732
49,2019,11,20,舒服了,0,AIONS-,62045876
50,2019,11,20,哈，是谁分享给你的呢？是谁在扮演我曾扮演过的角色。180度是送给你的,0,总算立地顶天,312625296
51,2019,11,20,想加村友,1,革月,584395307
52,2019,11,20,辣鸡学校，吹风机又被收了。心情不好了  听了这首歌瞬间好了好多[大哭],4,等会诶嘿,361532115
53,2019,11,20,好困,0,座瓶水是我惜可,253248732
54,2019,11,20,在滴滴上听到这首歌 瞬间爱上了,1,THREEwww,258891542
55,2019,11,20,这首歌也太符合我现在的感受了吧[流泪],1,一定是她,319144436
56,2019,11,19,我怎么现在才发现这首歌[色],0,蛋糕奶茶多加奶盖,293650551
57,2019,11,19,啊啊啊好听！！！,0,AllanChris,108122010
58,2019,11,19,没人想起她是玻璃，也会心碎,1,取不出昵称怎么办呀,453245288
59,2019,11,18,没办法，太多人因为一点黑点就一棒子打死，冷酷无脑,0,突然就想疯癫的狂舞,82993252
60,2019,11,18,13 123 13,1,MineFujik0,356429625
61,2019,11,18,我今天循环了要有十来遍,3,大君儿琉,598570728
62,2019,11,18,我的日推里竟然有这么好听的歌✨爱了爱了,3,22hz_喚,591129135
63,2019,11,18,是心动的度,1,布鲁斯37号,454262282
64,2019,11,18,"是谁的180度转变的态度，   一句我我有男朋友了，再也不想见你了，你走，，，删了微信，QQ，我发的信息你应该也没看到，应该拉黑了吧，，，
愿小梅永远是大小孩，快乐最重要，，，",1,_小心思,1446917903
