index,year,month,day,content,likecount,nickname,user_id
1,2019,11,8,哈哈😄,0,清心丶得生,16556450
2,2019,10,16,妈耶[憨笑],0,丶Giorgio,107022613
3,2019,10,15,奥力给！！！,0,也不是猪只打呼,355734135
4,2019,10,15,好好听嗷！！！,0,也不是猪只打呼,355734135
5,2019,9,28,前奏就开始沦陷,0,------遇见------,341597666
6,2019,9,12,太有感觉了吧_(:з」∠)_,1,YOUNEEDTOCLAMDONW,421255903
7,2019,9,9,这首太棒了,0,过往云烟视而不见,305289320
8,2019,8,26,在凳子上跳舞,0,孤帆远江湖,28294002
9,2019,8,14,晚安～,0,allrebecca,319240188
10,2019,8,5,天呐姿姿唱爵士也这么有味道的吗！！！我哭得好大声呜呜呜呜呜呜呜她果然是天使！！！我爱她一辈子！！！,2,漂浮群岛et_moi,101098936
11,2019,8,5,啊啊啊我超喜欢这首歌！！！姿姿居然唱了！！！我好快乐！！！！！！！！！,0,漂浮群岛et_moi,101098936
12,2019,8,4,这首好有感觉[可爱],0,非也非飞,440312810
13,2019,7,23,啊神仙音乐神仙声音[色][色][色],0,住在西安的张钊,1734923211
14,2019,7,23,也不一定 哈哈哈哈 还有我这样的喜欢就小心心收藏的,0,守着大王的花栗鼠yu,301332133
15,2019,7,2,也太好听了吧！,0,八九不离食小姐,133898896
16,2019,6,17,这是什么时候的歌？？,0,咪九,336560539
17,2019,5,26,良心[口罩],0,我的头像是只小猫,605474209
18,2019,5,23,打卡,0,枣糕少女宋觉觉,116531378
19,2019,5,3,我一直很喜欢听,1,someone七七,1808451216
20,2019,4,30,太好听了[流泪][流泪][流泪][流泪][流泪],2,天空飞过暖水瓶,423027217
21,2019,3,26,前奏已经听入迷,3,每个人都会很习惯,291726024
22,2019,3,13,前奏已经听入迷，还没听够,2,夕颜May,442465991
23,2019,1,19,演唱会，惊艳！,3,Max磊磊,119468280
24,2019,1,16,我来了,0,反正不会是你的小可爱,257802307
25,2019,1,7,喜欢喜欢喜欢,0,currencybao,258261214
26,2018,12,11,爵里爵气的,5,YDNKS-彻底的-sagoo-Maxist,265426022
27,2018,12,8,北京的大冷天，宅了一天，看完书吃板栗，突然想听这首歌。我的撩人姿。[亲亲],1,mooka,56763445
28,2018,12,6,一直觉得燕姿的声音挺适合唱爵士，懒懒的,2,凭栏望夜落,1474865164
29,2018,11,1,这个女人[流泪]好攻[流泪],1,阿浠阿可,406211703
30,2018,11,1,第一百个！,0,阿浠阿可,406211703
31,2018,10,19,哇哇哇哇哇哇最近好喜欢爵士，燕姿竟然唱爵士了！,1,今天改个什么名呢,131889355
32,2018,9,25,🎧,0,宋岳庭ui,329778691
33,2018,8,19,[爱心],0,听T风,7531873
34,2018,8,18,好有感觉，怎么这么好听～～,0,用户622925168,622925168
35,2018,8,3,🎧,0,_诗芊,81037679
36,2018,6,25,经典爵士曲,1,收集云,134101175
37,2018,5,30,哎呦，这歌不错,2,咕叽-__,543531996
38,2018,4,15,我听完之后看到你的品论😭,0,柏家满满,405054561
39,2018,3,19,start,1,stef流年,1367583538
40,2018,3,15,卡,2,赟光,454310581
41,2018,3,12,好听,1,果汁爱学习,1350631564
42,2018,2,24,[亲亲],2,红色的小刺猬,583494746
43,2018,2,16,想看一场燕姿的演唱会[流泪],1,Jonah乔纳,478575663
44,2018,2,9,骨灰十来年了！是啥？,2,噜噜粥,52720963
45,2018,1,30,不错哦,1,王金1711,632842409
46,2018,1,30,很有感觉哟,2,王金1711,632842409
47,2018,1,26,剧透真的好么？,0,TheBigGhoul,88364478
48,2018,1,18,爱你,1,太阳底下0723,16072610
49,2018,1,13,唱jazz的燕姿,1,Y-una,322710590
50,2018,1,8,骨灰级歌迷才会听的歌[亲亲],27,排队高手,79005480
51,2018,1,5,打卡,1,与准,124868690
52,2017,12,27,jazz 燕姿,1,Spring_露桥闻笛,130021506
53,2017,12,23,打卡,1,鲸与天空ocean,294942951
54,2017,12,10,真爱粉打卡,3,古月人情,564581243
55,2017,12,9,性感姿,0,Maxwell-yao,76345447
56,2017,12,3,哈哈哈打卡,1,H-S_Sun,296312220
57,2017,11,29,姿迷打卡,0,我有努力和这个世界变熟,394296679
58,2017,11,23,哈哈我也是,2,百感交集l,278778830
59,2017,11,23,燕窝群里看到的哈哈,4,EvinBooker,334246656
60,2017,11,3,刚刚把演唱会又翻出来看了一遍[亲亲][亲亲][亲亲]我姿怎么那么好看，唱歌还好听,1,等待下雨的兔几,405563542
61,2017,10,28,姿持你,0,KitKat__,41723861
62,2017,10,5,评论那么少？？,1,饭桶诶饭桶,340393893
63,2017,9,14,好好听[惊恐][惊恐][惊恐][惊恐],1,竟然有人抢了我的昵称,74685696
64,2017,9,12,胡说，只有1分49秒,5,合适的名字还没想出来,67684423
65,2017,8,15,[大哭]好吧,0,素丸子Kwok,17385100
66,2017,8,14,我都评论了肯定知道歌名啊，我只是反问一下我自己,0,跳舞的克卜勒,122786310
67,2017,8,14,就是Dream A  Little Dream Of Me,0,素丸子Kwok,17385100
68,2017,8,14,Cool,0,素丸子Kwok,17385100
