index,year,month,day,content,likecount,nickname,user_id
1,2019,11,23,@A哥一 🤪,0,Heyheyxfy,45158791
2,2019,11,22,不像,0,搜大隔热恩,70872444
3,2019,11,22,情有独钟,0,穿越暮光的帷幕,92874360
4,2019,11,20,在等你的演唱会[可爱],1,丶可惜不是你,271282895
5,2019,11,13,这哪里是22岁的孙燕姿的声音啊，这是天使在唱歌吧！专属于少女燕姿的声音，呀！上头又醉人！,0,燕姿钻石,325132325
6,2019,11,12,我当初也是这么想的，不过我迂回路线找到了一个叫Stefanie的女孩子✌️ ps这首歌是我买的燕姿专辑mp3合集光盘的第一首，在高中破cd机中常驻，清脆笑声传出，就是读碟成功了！,0,_花光所有运气,336116877
7,2019,11,11,姿妈姿妈，,0,今晚又要打游戏,53968087
8,2019,11,9,能以天赋和热爱为生的人真让人羡慕。,0,L_Ivy,363670421
9,2019,11,3,孙燕姿快出来开演唱会[流泪][流泪][流泪],1,XQ0823,489797899
10,2019,11,1,那就是深呼吸好像这一段嘿嘿  只是听到那一段会想起另一首歌而已,0,ChooseBoth,261605079
11,2019,10,31,这首歌2000年，比深呼吸还要早了,0,柒星雪,85911992
12,2019,10,31,燕姿的声音一响起，就是那个夏天，那个雨天，那个透明的青春。,0,EDG_Clearlove10,489173588
13,2019,10,30,孔连顺也能这样笑！,0,剑齿虎战神,32528029
14,2019,10,28,日推真是找回了太多我曾经的歌,1,clovyy66,263867079
15,2019,10,25,甜,0,爱情算哪个小皮球,489304536
16,2019,10,21,哈哈哈，万一是个男的呢[大哭],0,含颗糖就好了,504084169
17,2019,10,20,女神孙燕姿，永远喜欢你,0,秋窗风雨汐1903,1781524381
18,2019,10,18,男有周杰伦，女有孙燕姿 ，出道就是王炸[亲亲],4,拥有八块腹肌的野兽,334031407
19,2019,10,15,好甜好甜,0,开心嘻崽,1502097711
20,2019,10,13,2001年从未恋爱过的我。听着这首歌仿佛恋爱了。,2,喜悦125,485621289
21,2019,10,13,好甜的孙燕姿呀,2,-你要等,124491010
22,2019,10,13,哥哥 晚安,1,图弗洛,315079736
23,2019,10,12,我可不是小孩哦[奸笑]90年大叔飘过,0,HYOUNG-,36261825
24,2019,10,12,最喜欢的一首歌,0,心鱼NANA,1797471007
25,2019,10,10,是谁点了第1000个赞 做我老婆,1,流川森_,46549959
26,2019,10,10,我也是的[流泪],0,Boogaloo木子_EnjoyDancingCrew,374158428
27,2019,10,9,哪个是小孩[撇嘴][撇嘴][撇嘴]我90年的好吗,1,HYOUNG-,36261825
28,2019,10,9,是我们老了吗？现在的小孩都称呼十三姐为姿妈了[惊恐][流泪],1,Boogaloo木子_EnjoyDancingCrew,374158428
29,2019,10,9,爱我请你疯狂一些,1,bulankaa,73550678
30,2019,10,4,999赞，不敢点了👍🏻,1,淡然z_z,537057357
31,2019,10,2,[汗] 我想说完全暴露年纪了，我有一只松下MD,0,是月半达,295489223
32,2019,9,30,我们的燕姿变成了小孩儿口中的姿妈[大哭],1,Comingapril,54182259
33,2019,9,29,姿妈…,1,抽离虚伪,70810825
34,2019,9,27,这是张神奇的专辑，每首都那么那么好听。,0,请给我个,438605078
35,2019,9,22,第一个音节响起，就能穿梭回10多年前……,0,miyaLJ,103158439
36,2019,9,20,同样对这首超有感觉。,0,许木乔_,1390711580
37,2019,9,20,Don't you know i love you 的调调好像  深呼吸  闭上你的眼睛  hahahaha,0,ChooseBoth,261605079
38,2019,9,17,shěn呼吸？？,0,TomNeverglow,47489515
