index,year,month,day,content,likecount,nickname,user_id
1,2019,11,15,15119102 留,0,最酷北极熊,536537630
2,2019,11,5,怎么没人听，神级现场[色],0,深藏功与名啦,293515306
3,2019,10,26,棒棒锤。。。,0,慷游呦呦游悠游啊,1769918292
4,2019,10,11,是的，再来一次呀！,0,别再奋力逞强,122065677
5,2019,8,14,这歌老让我想起EVA。。。,1,B站的2233狼,2759443
6,2019,8,3,声音好好听,0,猪猪侠了喂,300190885
7,2019,7,20,"Hey Jude, Don't be afraid!",0,抚平眉中川,444235171
8,2019,7,17,不自觉跟唱了第一句转眼看到你的 黑！猪！笑抽了。。。[大哭],1,方块0-0先生,1880407395
9,2019,7,3,"我怎么听到的是once more time?
",0,莫被晴子拖欠,92441496
10,2019,7,2,哈哈哈[大哭],0,Stefanie-zkx,1401912067
11,2019,7,2,名字都有燕姿，你是认真的姿迷,0,还是少年么-,626676728
12,2019,6,23,姿迷无处不在，燕姿无可取代,0,Stefanie-zkx,1401912067
13,2019,6,14,哇！噢！,0,十二少Vaticanstar,587867979
14,2019,5,24,很奇怪，这首歌给了我很大安慰，好像看见了生活的生机[多多可怜],3,关于郑州的-记忆,310253050
15,2019,5,19,one more try？,0,小菜啊小蔡,316171636
16,2019,5,12,谁是黑猪？,0,源稚生丶李,421942997
17,2019,5,2,大概是闽南话，一起唱的意思。,0,贾文就是甲骨文,505674734
18,2019,4,26,帮帮嘴，帮唱,0,lpf_fff,113153521
19,2019,4,14,我还没学会怎么去忘记你，我怎么能去开始新的一段。lmm，你开心嘛？,0,太阳打电话给草,46482977
20,2019,4,12,2019/4/12/18:20，评论才247,0,殇三十郎,1324546
21,2019,4,5,嗯,0,座瓶水是我惜可,253248732
22,2019,3,30,燕姿说的棒棒锤是啥意思？,1,孙燕姿铁粉粉粉,1286010242
23,2019,3,24,黑[猪]245,0,已成为一座想念的博物馆,366314939
24,2019,3,23,"看到评论少的时候
我知道我的机会来了
各位爸爸们",5,陈奕迅是哪个神仙,536605694
25,2019,3,9, 一起去看演唱会,0,Syra_,55433581
26,2019,2,27,[多多大笑],0,Jonah乔纳,478575663
27,2019,2,22,"很多人都不知道这场演唱会
评论少也好 让我们私藏",6,八度依然二丁目,491739022
28,2019,2,14,初中合唱曲目 當初英文實在是太爛了 全程含糊不清的跟著瞎哼 想想就覺得好笑[开心]現在覺得很簡單了也不想再去學了 就在我記憶裡這樣含糊一生吧 我會很感激的,2,我请你吃橙子吧,1579572327
29,2019,2,4,我晕毛线,1,带带大毒唯,131762698
30,2019,2,1,Paul McCartney：我很不服,1,保罗的花栗鼠,324086710
31,2019,1,30,236了,0,殺手下留情,567687872
32,2019,1,27,王撸已是故人，COYG！,0,linhom19,352131503
33,2019,1,17,姓袁的不,0,不-醉不会,33121523
34,2019,1,15,截至2019/1/15 17:11，评论也就多了你的一条[大笑],0,密码过期,529690804
35,2018,12,29,[多多大笑][多多大笑][多多大笑],0,古月_星辰,411540622
36,2018,12,26,2018.12.26.23:08竟然只有232条评论？,2,肥珑啊,124177232
37,2018,11,27,个人觉得燕姿的这场演唱会比原声更好听,5,你的阿煜_,382386638
38,2018,11,25,2018年11月25号留,1,兔子先生wqq,1393983421
39,2018,11,13,天呐，燕姿的声音一出来就…[流泪],4,ThemedeYoyo,304792719
40,2018,10,7,[色],1,孙燕姿的粉丝,36733053
41,2018,10,7,超超超超级喜欢,3,有钱阿宅养成中,366576968
42,2018,9,28,吉鲁之歌，我大吉鲁，哈哈哈哈！COYG！,3,我可是赵金辉,254778348
43,2018,9,28,黑豬～哈哈太可愛了～我喜歡巧克力的膚色,0,吳杰婷,345620022
44,2018,9,18,我朋友外号就是黑猪 哈哈,0,以和为贵___,1242338
45,2018,8,14,期待燕姿，希望为母之后再次翻唱这首歌一次，味道会更好,1,还是少年么-,626676728
46,2018,8,12,无论何时 当你感到痛苦 绝望之时 慢慢放下来 不要自己扛着,1,一元好帅,110917438
47,2018,8,12,回复帐号已注销手急写错了，是明成祖，不过朱棣本来的庙号是太宗，嘉靖给改成了成祖[大哭],0,三十八度半,267360657
48,2018,8,3,🎧,0,_诗芊,81037679
49,2018,7,19,她说的是自己写的那首someone，给sammi重新填词唱了。,1,stef流年,1367583538
50,2018,7,13,还是喜欢原版,3,一季又一寂99,481130851
51,2018,7,7,这首歌怎么还不火啊😂,0,杜婴宁,132527879
52,2018,7,4,笑死,0,赤道yu北极,134721438
53,2018,6,24,网易黑猪宣传曲,3,妹子你喜欢吃青椒吗,318096374
54,2018,6,18,火了之后记得给我52个赞,3,Zhai飞哥,387864046
55,2018,6,18,好好听,0,Zhai飞哥,387864046
56,2018,6,16,One more time!!,0,曉金牛,51301444
57,2018,6,16,粉猪[大哭],0,曉金牛,51301444
58,2018,6,9,前面的合唱好好听呀,1,嘿_我要走啦,389702927
59,2018,6,9,第一次是 听 李玟翻唱的。当时挺震撼。后来翻到原唱。[吐舌],2,低头思唸,272179561
60,2018,6,3,"″

如果我
有什么让你不喜欢的地方
麻烦你自己克服一下

″",1,蔡蔡不菜,257318421
61,2018,6,3,你要记住如果有一天我主动找你了，不是我现在才想起，而是我憋不住了,0,蔡蔡不菜,257318421
62,2018,5,29,喜欢你，可是不会再向你表达。,2,尧-大学-问,393514764
63,2018,5,21,超喜欢,1,黑暗行星古兰斯菲亚,495929451
64,2018,5,18,好听！！！！,1,请输入昵称077,360346214
65,2018,5,12,Hey my dear friend,3,云壹_,62025305
66,2018,5,7,好听～～,1,四月的的的,1329526521
67,2018,4,27,腾讯有视频了 ,1,訾央伪装小漠漠,247480354
68,2018,3,25,就是好听,1,达那蛋,113832912
69,2018,3,19,封面好酷,2,RogerLin666,377715007
70,2018,3,15,我说我也不知道留什么 但是祝你幸福快乐,2,旧巷子里的猫喵喵,407096578
71,2018,3,13,你好朱德！,0,时代曲_13,281574365
72,2018,3,12,无敌,0,狮子座的追梦人,130780572
73,2018,3,9,好听啊,0,srses,249586597
74,2018,2,26,火前留名。,0,h昔日丶,530099613
75,2018,2,24,这张live 是孙燕姿灵性一览无遗的体现,4,Islandofcyril,48634536
76,2018,2,20,网易有毒,0,深蓝-深蓝-深蓝,471663853
77,2018,2,14,尽然没到999,0,ananda夏磊,308715616
78,2018,2,8,嘿🐷,1,北方爷们儿的非南方姑娘,292210700
79,2018,2,7,手快打错了，不过朱棣原本的庙号是太宗，成祖是嘉靖后的称呼,0,三十八度半,267360657
80,2018,1,18,依然亲爱的，我不会让你失望的吧,0,好笑的爱,104950420
81,2018,1,14,我天生比较黑，我感觉受到了打击！🤔☹️[哀伤],3,保持谦卑与善良,118041466
82,2018,1,14,Hey Jude,0,97如果我是陈奕迅,338113499
83,2018,1,14,满满的回忆  高中时候中午放学就是放这首。,1,97如果我是陈奕迅,338113499
84,2018,1,6,听到，嘿猪，就知道了，哈哈[奸笑][憨笑][可爱],0,linyk爱飞,371565186
85,2017,12,29,To make it better,1,恶_灵_退_散_,330993633
86,2017,12,27,好听到崩溃,1,气氛来了就要醉,308485041
87,2017,12,27,比好声音好听一万倍。[色],1,我来听他的演唱会-,121727237
88,2017,12,27,评论这么少,0,嘻嘻嘻哈哈哈zzz,315309289
89,2017,12,26,好棒ｂ(￣▽￣)ｄ,1,ihanhan,71510995
90,2017,12,25,你好啊。挺好。,0,hhhzz1020,120639130
91,2017,12,24,人嘛，要勇敢，不要怕，大胆往前走。问题是，我在21楼天台边缘了，你还要我继续勇敢走下去吗？,4,没人气的橘,287924409
92,2017,12,22,他特么不叫明成祖吗[呆],3,帐号已注销,40748938
93,2017,12,17,同,0,飒洒逍,549913820
94,2017,12,14,同感,2,friendlyPaul_1998,56363269
95,2017,12,13,偶然听到这首歌，想起高中时候英语老师教过我们的！满满的回忆都是美好,3,易燃易爆炸11,442578008
96,2017,12,11,两个字 到位,2,xyzbuzhidao,274518821
97,2017,12,11,是的哈哈哈哈哈哈哈 开心就好嘛,1,歌曲已屏蔽,267108817
98,2017,12,9,日推第一的人一定是个内心温柔的孩子,0,陈玄奘-,62722293
99,2017,12,7,live版本气势如虹,1,宗虞,15491727
100,2017,12,6,第一次评论! 这歌这么少评论，是网易量身定做推荐给我的么,2,鱼-Dandelion,1288202401
101,2017,11,22,"hey Jude, refrain[男孩]",1,我的英俊,255137082
102,2017,11,9,为我姿刷一波999,1,风灵魍,99362966
103,2017,11,6,[色],0,最近才听说,40416008
104,2017,11,6,喜欢！[爱心],0,最近才听说,40416008
105,2017,11,6,好听！,0,最近才听说,40416008
106,2017,11,1,hey,1,Prisonbreak6,632987360
