index,year,month,day,content,likecount,nickname,user_id
1,2019,10,2,坚持,0,无感_______,281815570
2,2019,10,2,谁的青春不迷茫,0,无感_______,281815570
3,2019,9,30,无论我们最后生疏成什么样子 曾经对你的好都是真的 就算终有一散  也别辜负相遇  希望你不后悔认识我 也是真的快乐过  如果能回到从前 我还会选择你，只要是你 我都愿意                                     ——永远             xiaolong,2,荔枝味的小祖宗呀,1346682230
4,2019,9,30,无论我们最后生疏成什么样子 曾经对你的好都是真的 就算终有一散  也别辜负相遇  希望你不后悔认识我 也是真的快乐过  如果能回到从前 我还会选择你，只要是你 我都愿意               ——永远             xiaolong,2,荔枝味的小祖宗呀,1346682230
5,2019,8,11,hey,0,久厌繁花,1568268629
6,2019,7,6,因为你走错专辑了，这首歌人少的原因是人都跑start自选集去了,0,There_is_no_joke,424102898
7,2019,6,30,两年前？？？,0,Chien-Z,507991936
8,2019,6,12,唯一一个一听到前奏就能猜出歌名，从天黑黑到现在的梵谷，每次都,0,狼行千里全靠腿,617396732
9,2019,1,6,我不想走出去我不想放过她,2,phw6,289373299
10,2018,12,26,超喜欢这个版本啊,0,WannaBeULover,475341431
11,2018,12,26,这首歌居然是首冷门的,0,WannaBeULover,475341431
12,2018,12,23,秀儿，是你吗,0,Zero残月,1346814202
13,2018,10,26,哎呀，一开始听以为是黑猪,1,Akiso,58387404
14,2018,9,25,每个周只听一遍,3,風來的西霖,634373776
15,2018,8,4,🎧,1,_诗芊,81037679
16,2018,7,19,辞职的那天思绪万千，最终还是辞职了，刚毕业就失业，很迷茫！不知道该如何是好，一个专科生毕业，出来社会才知道生活不好混[流泪][流泪],3,湖泊湖水,381072193
17,2018,4,10,[爱心],0,琴枕上的吉他梦,351608322
18,2018,3,18,万里晴空,1,Masked-VeG,269383457
19,2018,3,3,哈哈哈,0,我有努力和这个世界变熟,394296679
20,2018,1,20,第一听的就是燕姿的版本，后来听披头士的觉得还是这个版本好听,3,北方爷们儿的非南方姑娘,292210700
21,2018,1,15,《谁的青春不迷茫》里的歌最喜欢的就是这首了,2,_庐山烟雨浙江潮,511812033
22,2018,1,15,加一,1,_庐山烟雨浙江潮,511812033
23,2018,1,15,同意,0,_庐山烟雨浙江潮,511812033
24,2018,1,12,少听,0,一生所爱只争朝夕,250149777
25,2017,11,28,老师在放披头士的，我来打个卡,1,Qcerkay,253235928
26,2017,11,28,英语课,0,Qcerkay,253235928
27,2017,11,22,其实最喜欢燕姿唱的hey jude了,0,巴伐利亚的雪,315032995
28,2017,9,26,嘿，猪,0,GNDSMG,93828563
29,2017,9,7,想你啊啊啊啊啊啊  克制,0,舒十二,330907219
30,2017,9,4,助攻,0,舒十二,330907219
31,2017,9,2,原做绿叶不做红花,1,夏与曦曦,537452914
32,2017,8,31,怎么更加喜欢这个版本呢,2,蜜糖小魔镜,310369373
33,2017,8,25,刚看请回答1988 豹子夫人在听这歌,1,长安客啊,320945802
34,2017,8,21,嚯…,0,卡纳蓝,17967046
35,2017,8,15,娜娜娜娜娜娜谩骂安娜安南啊,0,帐号已注销,451441430
36,2017,7,23,燕姿的情怀很丰富，这首励志歌就很鼓舞人[可爱],1,-z-Z_-,265472089
37,2017,7,19,相当打动人心，燕姿无敌啊,2,下回再改,508810715
38,2017,7,18,娜娜黑猪😂😂,1,Killorkissme,319701670
39,2017,7,2,"remember to let her into your heart,and you can",2,_darcy,11426785
40,2017,6,28,拉我进去,0,TRswat,423350156
41,2017,6,23,这歌评论怎么少我要留名[猪],0,doumee,89546581
42,2017,5,26,我提议建立一个燕姿歌迷群,0,TRswat,423350156
43,2017,5,26,第一次听这首歌还是02年，十多年过去了，怀念,0,TRswat,423350156
44,2017,4,20,Heyjude[亲亲],0,休眠状态,303051958
