index,year,month,day,content,likecount,nickname,user_id
1,2019,11,13,好喜欢这个demo 好希望这个demo做成一首歌,0,APalmTree,77724898
2,2019,11,6,打卡孙燕姿,0,a龙妹,598051403
3,2019,11,5,好听啊,0,y1lgsewusq44,2034000817
4,2019,10,31,嘿嘿,0,_吴子诚,275017518
5,2019,10,22,我在充电宝上就印了,1,KeplerTDV,120584731
6,2019,10,13,我好爱这张专辑,0,Thatis-to-forgeteverything,315573047
7,2019,10,12,可能你耳屎太多了,2,笨比用户,1356224797
8,2019,10,9,头像跟我一模一样，听的也跟我一模一样,1,爱生活爱燕姿,560609259
9,2019,9,10,我记得年轻无极限，爱姿永不变。这是暴露年龄的口号！,0,龙卷风19900214,1662910838
10,2019,9,3,好听～,0,君小懒呀,1728902881
11,2019,8,27,逆光和是时候是我觉得燕姿最棒的专辑。和有没有大火的金曲无关。单制作、概念等等各个方面都是我最喜欢的。,1,迷人阿维,119914105
12,2019,8,27,这张专辑真的太吸引人了！从头到尾，首首经典。,4,遇见了空白格,443138058
13,2019,8,22,吼吼吼,0,梦幻病,1457618662
14,2019,8,22,耶耶耶,0,梦幻病,1457618662
15,2019,8,22,超喜欢的,0,梦幻病,1457618662
16,2019,8,20,大漠孤烟直,2,windbreaker风衣,1482000199
17,2019,8,17,居然听出了可怕。。。我一直听到这首歌的感觉是：很神秘的感觉，飞上云层去到天际，看到夕阳印在云层的颜色。反正很神秘就是了。,1,prince-Joshua,117961245
18,2019,8,6,小星球大爆炸！,2,Crzero,342048268
19,2019,8,5,哈哈哈哈哈我也震惊了，这张专辑发行的时候我还在初中，第一次听的感觉很有苏格兰风情，没想到会有人害怕😂,0,AnnaLiwww,70933270
20,2019,8,3,像泰坦尼克号经典片段欸,1,愉快的月光,319192728
21,2019,7,31,这个开头和结尾的钢琴曲都是燕姿自己作词作曲弹的，我都超级爱，80后老阿姨泪目,0,lolaJLC,1296494356
22,2019,7,29,听了七八年 第一次听人说觉得可怕😂 神奇 果然音乐给每个人的感觉不一样～,1,NTUfail,71924954
23,2019,7,26,每个人的感受都不同。,0,轩欢乐,434603805
24,2019,7,26,哪里可怕了。。。,0,人血馒头薛之谦嘻不知道别来问我,1529460927
25,2019,7,25,什么好可怕？这么舒缓......,8,霉头霉脑云散月现自在飞花slay,42294326
26,2019,7,1,我觉得这首歌好可怕，真的好可怕，华晨宇的癌我觉得不可怕，还想拥抱他，可是这首歌我觉得真的好可怕！,3,轩欢乐,434603805
27,2019,6,25,当年省了一个星期零花钱 预售买了这张专辑呢,2,子_曾经曰过,68668808
28,2019,5,17,好像芭比公主里打开故事的感觉,5,凡凡凡凡噢,496134976
29,2019,5,8,好听,3,AL7和SM4出了才改名,302557474
30,2019,4,28,好大气,1,梦幻病,1457618662
31,2019,4,28,姿迷哪儿都有 用心交个朋友[多多大笑],1,WishJoyYangzi,597728006
32,2019,4,28,这张还有intro和outro，听完整的啊,3,ImOkay823,50669672
33,2019,4,2,[奸笑]同意,0,鼕尋瑾萱,1657520634
34,2019,3,25,与我姿相约2020,8,伴读小书童1812,1692114998
35,2019,3,22,12年光阴,4,倾乐声,120197077
36,2019,3,22,偷偷的过去了12年，12年前的今天依然历历在目！我怀念的,5,匿宝,134174587
37,2019,3,22,12周年，谢谢陪伴,3,東远_,248162703
38,2019,3,22,12周年，谢谢陪伴,4,燕姿我好想你,403139403
39,2019,3,22,逆光12周年快乐,2,星岛的妳,48746821
40,2019,3,20,07年了还听磁带呐,0,hanimal,269609516
41,2019,3,10,看来也是磁带开始的人啦,0,Savilliams,33156891
42,2019,3,3,亲你。,1,馬疚,316424926
43,2019,2,22,是不是以前你们都是这样 一张专辑前面来首intro,3,只顾摇摆,389123561
