index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,爱姿19年,0,s1ck1000,1471605268
2,2019,11,19,扯淡吧你[可爱],0,joozi_翥,7550672
3,2019,11,11,好听,0,跳舞的梵谷180930,1542066811
4,2019,11,9,"虽然我是01年的，但是孙燕姿的歌也陪伴着我走过了这些年[爱心]
爱你",0,-天太寒-,1747699488
5,2019,11,9,leave sb alone  都tm滚开(︶︹︺)哼,0,零缺点-,545352622
6,2019,11,3,听燕姿的歌真的会充满力量,0,XQ0823,489797899
7,2019,11,1,鸡皮疙瘩！,0,809飞行器,382389158
8,2019,10,29,静静,0,克卜勒_wu,97556018
9,2019,10,29,加油，一切都会好起来的,0,苑子潯的小号,1548957065
10,2019,10,29,孙燕姿你这首歌唱的是我吗？,0,苑子潯的小号,1548957065
11,2019,10,28,我们不是做错只是不知所措,0,不遑多让o_O,1944277967
12,2019,10,25,看着评论，感到喜欢燕姿是一件骄傲的事~[奸笑],0,当夏日微凉,592810705
13,2019,10,25,在线反对,0,回首仍盼机会问候,472592776
14,2019,10,22,Leave me alone please.,0,成小姿S,84991554
15,2019,10,16,认同,0,苑子潯的小号,1548957065
16,2019,10,7,糟！！一个人越听越兴奋，睡不着了,1,Beeovenvan,1847499670
17,2019,10,4,Leave me alone,0,XQ0823,489797899
18,2019,10,4,现场很棒,0,XQ0823,489797899
19,2019,9,30,"那年夏天，我十岁。
燕姿永远刻在我那年夏天的回忆里。整整二十年了，依然对燕姿的歌声情有独钟。",0,镜子中1802,1366765262
20,2019,9,28,真的一模一样！唱一句就发现唱不下去了。调很难找!!!,1,柒星雪,85911992
21,2019,9,28,都g换成j,1,木子金子,348600221
22,2019,9,28,陈医生.leave me 额朗～～,0,木子金子,348600221
23,2019,9,25,我的天，爱姿病患者[多多调皮],0,_等级7,127307421
24,2019,9,23,自闭了,0,奔三的中二小仙女,64254456
25,2019,9,23,一天不听浑身不舒服。,0,難得一堅,645761304
26,2019,9,22,对，看了现场太酷了,0,prince-Joshua,117961245
27,2019,9,22,哈哈哈，牛姿双粉飘过,0,prince-Joshua,117961245
28,2019,9,22,也可以翻译成：莫挨老子,2,He_will_never,589668850
29,2019,9,18,每天不听孙燕姿的歌就感觉少了啥 有没有一样的 嘿嘿,6,AnyiDee,1787306591
30,2019,9,17,但是我们想的毕竟不同,0,懒人鄂,618820446
31,2019,9,15,能量好大,0,ddiya亚,1286511189
32,2019,9,14,这是吗啡君的留言，在这里等候一枚名为“小短”的姐姐！[大笑],0,正午打盹的猫,2861080
33,2019,9,11,我！不！苟！同！[大哭],0,用心良苦xt,304060938
34,2019,9,3,15年了，重听孙燕姿，无法自拔了！,2,不迁怒__不贰过,1649765111
35,2019,8,27,同意加一,2,销声匿迹无疾而终,445641861
36,2019,8,25,我不要谁给我快乐，因为快乐总带给我不快乐,1,一个人的天空w,403894272
37,2019,8,21,燕子的歌都好听,1,自然卷都是坏蛋吧,549854503
38,2019,8,17,反对加一,0,乘沫,287394037
39,2019,8,10,"no, I can't",0,城西北方向,564352709
40,2019,8,8,嗯哼 都给我滚就OK,0,XOXOHEMA,358153691
41,2019,8,7,这首歌超飒，真的感觉我姿歌曲风格多到用不完,1,-甛甛甛-,1329282840
42,2019,8,3,哈哈哈哈哈哈哈哈哈,0,Kepler__r,413257278
43,2019,8,3,我不想要谁给我快乐，因为快乐总带给我不快乐,0,识刀客,623315109
44,2019,7,31,想要风平浪静......,0,top_Aprilworld,1303520511
45,2019,7,31,今天28岁生日，一个人，听着这首歌，特别想哭。躺床上想了很多，回忆过去，真的失去了特别特别多，伤过别人，也被伤过，没有一个能谈心的朋友，而自己也一事无成。研究生毕业到现在，还是不知道自己到底想要什么。真的真的很不喜欢现在的自己，所以，leave me alone.,0,克卜勒_wu,97556018
