index,year,month,day,content,likecount,nickname,user_id
1,2019,11,20,安东尼说leave可以一直单曲循环,0,辣辣yo,386306962
2,2019,11,18,用我最大的决心 要自己 爱了放了没有恐惧,1,鳐不可及,320937730
3,2019,11,12,这里头是不是有尤克里里？,0,一套卷圈,516975397
4,2019,11,11,你没对我说再见，所以我没走远[流泪],0,无忧的凨,1337917522
5,2019,11,7,口琴好评,0,孙鳌头呀,502416807
6,2019,10,28,只怕说了再见，也是在也不见..,1,-竹柒,1420146251
7,2019,10,25,这首歌转音这么好听竟然排不上前50,0,美妙兮兮的daddy,535978520
8,2019,10,19,打卡，燕姿爱你哦[亲亲],0,皓月星尘,499727006
9,2019,10,15,当初因为她的转音喜欢她，这首歌没火也很庆幸。[可爱],2,小倩190629,1893942327
10,2019,10,13,14年重庆站巡演 居然有这歌 难怪燕姿会晕倒,2,captainsunX,409974564
11,2019,10,13,你没对我说再见。,1,CherryJam酱,345404741
12,2019,10,11,任何时候听都有一种淡淡忧伤的感觉,1,mulholland_,273351029
13,2019,10,4,过往画面让心在下雨,1,不遑多让o_O,1944277967
14,2019,9,28,太治愈了，天啊,2,霉头霉脑云散月现自在飞花slay,42294326
15,2019,9,26,超喜欢,0,霉头霉脑云散月现自在飞花slay,42294326
16,2019,9,26,炫技什么鬼？？？,0,霉头霉脑云散月现自在飞花slay,42294326
17,2019,9,23,怎么评论这么少,0,XQ0823,489797899
18,2019,9,19,这该死的转音，害我听了好几遍。,1,Selina硕,1821627430
19,2019,9,18,这世界有没有地方 能永远都晴朗,3,失控的养乐多,1710507470
20,2019,9,18,这世界有没有地方。能永远都晴朗。,2,也不是猪只打呼,355734135
21,2019,9,16,看安东尼的《红》 里面说他最喜欢孙燕姿的 leave 百听不厌,3,朱雨小瘦子,1418648017
22,2019,9,13, 十年了。我还在这里，而你应该在天堂拥有新的幸福了吧？,1,陌上蕈,310643715
23,2019,9,12,快乐却早已跟随你leave,1,江哩狸鲤立,316915534
24,2019,9,11,这首太杀了,0,没完没了昂,248268686
25,2019,9,7,呜呜呜,0,也不是猪只打呼,355734135
26,2019,9,7,太好听辽,1,也不是猪只打呼,355734135
27,2019,8,29,leave,0,风逝雨鱼,417004205
28,2019,8,26,[西西心动],0,该昵称无法显示刷新也没用,30617500
29,2019,8,26,身旁没你 地球失去重量,0,晚安丶Elsa,1286909159
30,2019,8,25,超级喜欢这首歌，最爱的专辑！,0,小四的酱油,493214532
31,2019,8,25,真的超喜欢副歌和整首歌的风格,0,努力者-,503702742
32,2019,8,23,“还记得青涩那年。”,1,妄您,1471515622
