index,year,month,day,content,likecount,nickname,user_id
1,2019,11,11,vino是啥意思，怎么莫文蔚也有一首叫vino的歌,0,巴拉巴老腊肉,255300958
2,2019,9,28,俺又来啦！,0,也不是猪只打呼,355734135
3,2019,9,28,真好听听听啊啊啊啊,0,也不是猪只打呼,355734135
4,2019,9,21,这首好可爱！,0,彩虹金刚刚刚刚,1401962569
5,2019,9,18,就说没听过，原来大陆版没收录,2,Heeenk,9433780
6,2019,9,13,啊啊啊啊啊啊啊啊a,0,也不是猪只打呼,355734135
7,2019,9,13,这也太好听辽,1,也不是猪只打呼,355734135
8,2019,9,13,呜呜呜这是啥宝藏,1,也不是猪只打呼,355734135
9,2019,9,7,这首在台版专辑，大陆是未知的精彩,0,气场太弱,115128568
10,2019,8,30,我买的是假专辑吗，怎么没听过[大哭],1,Linuxchen,279751935
11,2019,8,8,"哈哈哈哈哈，我姿太可爱了
ｸﾞｯ!(๑•̀ㅂ•́)و✧",0,将军领,387504811
12,2019,8,7,哈哈哈哈哈哈哈哈哈原来是广告，就说我想半天vino在这里是什么意思,0,漂浮群岛et_moi,101098936
13,2019,8,7,打卡,0,孙燕姿丶,1813871469
14,2019,8,6,广告曲✌,0,我很鱼块,125768521
15,2019,8,1,内地版没收录这首歌,0,Bluebird1234,415517666
16,2019,7,23,姿瘾犯了哈哈哈,0,Durrat,61051105
17,2019,7,17,天呐我没听过！！！,1,fortpoi,124239758
18,2019,7,12,卡,0,Chertime,83946830
19,2019,7,10,好听,0,姿家人,263952201
20,2019,7,7,雅马哈vino摩托车的广告曲,1,RainbowAfterTheRain,59825347
21,2019,7,7,我竟然没听过这首,0,RainbowAfterTheRain,59825347
22,2019,7,1,还挺好听呀,0,kehongkh,327339341
23,2019,6,9,"内地版本没收录这首歌",0,USK快快发歌,251076020
24,2019,5,25,可能中了孙燕姿的毒，广告曲都觉得好听。。,2,mathroccck,321013777
25,2019,5,7,这里怎么没人?,0,克卜勒的风衣,590298867
26,2019,4,25,你这首歌为什么吸不到评论,2,小懒男121,607826579
27,2019,3,30,我的专辑里…没有这一首？,3,怪噜洋芋,7754324
28,2019,3,18,"vinovino let's go yiyayiya,～可爱爆炸",2,佐大战,2487621
29,2019,3,11,当年我妈送我上学下学一定要在车里放的,5,三位疏,41558056
30,2019,3,3,我找到宝藏了,0,全黑噢耶,304720287
31,2019,2,18,应该是一个电动车的牌子,0,李大眼儿er,265707791
32,2019,2,17,没记错的话这首好像是某个广告曲。,1,Nembutal,285968582
33,2019,2,12,我勒个去，你自己没写清楚。我评论也没说什么过分的话。这就生气？,4,s1ck1000,1471605268
34,2019,2,12,13年的姿迷，不是2013年。谁规定每首都要听完？？？你看不懂别瞎评论,0,未央mmmmmmmn,97961009
35,2019,2,10,可怕，,0,s1ck1000,1471605268
36,2019,2,10,vino是什么意思..,0,s1ck1000,1471605268
37,2019,2,10,[惶恐]这个真冷门，13年都没听过这个,0,未央mmmmmmmn,97961009
38,2019,1,23,这首歌的评论少得不正常,1,大吉大利宝宝,545189629
39,2019,1,3,VinoVino别理周阴中,7,Vaults,297210873
40,2019,1,2, 开心,1,孙燕姿的小迷妹啊,327977684
41,2019,1,2,买的衣服终于发货了 开心。,1,孙燕姿的小迷妹啊,327977684
42,2019,1,2,希望2019 燕姿和 姿迷都开开心心， 如愿以偿。 ,3,孙燕姿的小迷妹啊,327977684
43,2018,12,23,嘟噜噜噜~所有听燕姿的人都要心情好呀！,5,燕姿小迷妹_yanzi,1342726442
44,2018,12,21,燕姿的歌不能没有了,0,爱听音乐的果砸,429655736
45,2018,12,3,回顾,1,桃太郎了了,590041986
46,2018,11,29,很好听啊！为啥没什么评论！,0,坂田乔治丶,290180072
47,2018,11,26,我居然对这个没印象了，这张我明明买了正版CD啊啊啊啊,3,snsd--,123692741
