index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,燕姿是新加坡人噢,0,珙桐TT,262782973
2,2019,11,18,孙燕姿是新加坡人哦 不是中国人,0,王不对称,254940840
3,2019,11,17,开口脆.一直听着那首柯南的歌.等在翻她的歌曲.真的是我喜欢的那种,1,魔化贝,249145012
4,2019,11,9,这歌我一直很喜欢。,0,小牛西西,1354695781
5,2019,11,9,月亮悄悄关了灯 然后它看到地球人有的数羊有的打鼾 有的梦里有巧克力喷泉 还有的一直亮灯未眠.,2,江河吞易水,1456691842
6,2019,10,28,这就是《未完成》的英文填词啊,6,JasontakestoDaisy,379545169
7,2019,10,27,请给我一点力量，我会焕然如新,0,苑子潯的小号,1548957065
8,2019,10,20,好喜欢这句“你怎会知道，这其实是你的歌”,1,苑子潯的小号,1548957065
9,2019,10,18,这首歌不好听吗？是我燕姿不迷人了还是我提不动刀了？,0,朝花夕拾下呐喊时的彷徨,433845606
10,2019,10,9,当年最爱的一张专辑 ,1,StarBow晓墨,300780039
11,2019,10,5,多年以后听，比记忆中的要好听诶，酷酷的,0,默聆和煦,304799910
12,2019,10,3,好喜欢这个！。,0,素还真今天你家爆炸了吗,308995913
13,2019,10,2,坡国官方语是英语啊,0,苑子潯的小号,1548957065
14,2019,9,25,孙燕姿那里有坡英？？坡英我映像中只有年纪大点的才有了。。,1,Evol-AR,68393669
15,2019,9,23,在旋律上没有另外一首吸引人而已，两个人都是歌手，一起合作，怎么会不用心呢,5,月是少年明-,307136367
16,2019,9,16,去拍一种常见的岛国动作大片,1,射8小时不倒,473567292
17,2019,9,11,你不能因为觉得另外一首好听就说这首不用心。。,6,NTUfail,71924954
18,2019,9,10,我也是一开始最喜欢tonight，听多了这首就中毒了！！,3,fairyfaih,564158493
19,2019,9,6,一个人的音色还是会随着时间改变的吧？歌手的音色应该也有黄金时代吧。。。。,3,蒙蒙帮主,97464721
20,2019,9,5,新加坡人,3,波波夫Popov,590243090
21,2019,9,2,中文版是：未完成,1,梁彦直,396843464
22,2019,8,27,仓木麻衣[撇嘴][撇嘴],1,星海2006,308406294
23,2019,8,25,居然和仓布麻衣合作了两次,0,程序员小王,34651122
24,2019,8,18,额，我一直都喜欢这一首,1,白茶清欢易沉溺,269202442
25,2019,8,13,燕姿的假音我至今没有听过比她更好听的,0,万古啊长存,629173321
26,2019,8,2,此梗有一定道理。其他人不是隐退就是下海或者已逝,0,Asphy_LM,98255660
27,2019,8,2,同初中,1,Asphy_LM,98255660
28,2019,8,2,两人合作后两人的音乐活动从未在社交平台上互相宣传，这个想都不用想了,1,Asphy_LM,98255660
29,2019,8,2,我一直觉得这个比tonight好听……,3,Asphy_LM,98255660
30,2019,8,2,泉水已去，好心痛~~~,1,有D野,391354891
31,2019,8,2,日文歌好听吗？听不懂,0,网易云云端中的音乐,1682693834
32,2019,7,25,想象一下，如果20周年巡演北京或者台北站请到仓木麻衣当嘉宾来合唱这两首合作歌曲，多惊喜多感慨呀。,5,古拉13,8696424
33,2019,7,23,7.23老大生日快乐！你的歌，都是我的故事,3,肉肉哒小胖子乐乐,42652435
34,2019,7,21,初中的时候为了学这首歌，把歌词抄在笔记本里。。。十几年过去了,3,prince-Joshua,117961245
35,2019,7,17,坂井泉水了解一下,1,冬天的奥利奥1812,1691301002
36,2019,7,11,这是英文版........,0,霉头霉脑云散月现自在飞花slay,42294326
37,2019,7,11,这就是未完成英文版........,0,霉头霉脑云散月现自在飞花slay,42294326
38,2019,7,8,我姿的词啊,1,RainbowAfterTheRain,59825347
39,2019,7,6,类似于旅风少女 甜蜜暴击？/狗头/,0,strawberry憬,1719849098
40,2019,7,3,生日快乐,0,霉头霉脑云散月现自在飞花slay,42294326
41,2019,7,1,燕姿,0,JayStories,302910732
42,2019,6,26,就是 走进茫茫人海里,6,家养型浣熊,69839733
43,2019,6,26,当年存钱买了未完成的原版大碟，一直觉得燕姿就是我未完成的休止符。,1,威尔士麦浪,101463380
44,2019,6,26,my story your song,1,搞糊涂王,357078283
45,2019,6,26,下海是什么意思？,0,strawberry憬,1719849098
46,2019,6,25,孙燕姿是新加坡人啊,2,该账号因涉黄已被封禁,328627229
47,2019,6,25,感觉一些地方倒放了,0,上大人丘乙己,298211370
48,2019,6,25,好听,0,HappySun0727,252757745
49,2019,6,25,据我朋友称 仓木麻衣是唯一唱过柯南主题曲还没有下海的了,0,家养型浣熊,69839733
50,2019,6,25,她的歌曲灵感来源不是前任吗,0,西瓜12345611,300668121
