index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,cd版原带里面好像有对话，“现在晚上几点”，“10点”,0,StopTheClock,70663689
2,2019,11,25,真的！！,0,zorro樱狼厨,286946328
3,2019,11,25,对啊，我就是爱她，真的,0,不得不爱2016,125751389
4,2019,11,22,完美,1,Beeovenvan,1847499670
5,2019,11,14,哟西,0,红茶拿铁不好喝,1324554780
6,2019,11,12,真的,0,XQ0823,489797899
7,2019,11,1,2000年的你和我。。哎,0,逝去的记忆盒,572386799
8,2019,11,1,考古队来了,0,qiuQAJ,505290620
9,2019,10,2,孙燕姿小朋友真可爱！！！,1,也不是猪只打呼,355734135
10,2019,9,21,你最可爱，你最迷人！,0,霉头霉脑云散月现自在飞花slay,42294326
11,2019,8,30,小学四年级,1,碧海澜天Reagan,338226744
12,2019,8,30,我以前说过等我结婚就用真的当bgm ,6,秦什么呀,126393255
13,2019,8,29,哈吃哈涨,0,衣柜里总少了那么一件衣服,484115148
14,2019,8,28,真的,0,许单挑,259352999
15,2019,8,28,是真的！！！[流泪],0,也不是猪只打呼,355734135
16,2019,8,28,nmd真可爱哈哈哈哈哈哈哈哈哈哈哈哈,0,也不是猪只打呼,355734135
17,2019,8,26,真的！,1,女神是孙燕姿啊,395256634
18,2019,8,21,记录我完美的一天,0,雨中曲猫猫猫,1656874884
19,2019,8,21,晚安。,0,Kepler小姿,342372326
20,2018,11,5,小时候还找谱子弹这段 难忘的回忆,4,Konata0111,40499033
21,2019,8,10,哒啦～哒啦～哒啦来凑评论数～,0,天空之上的Polaris,111696096
22,2019,8,5,现在3:32 想把姿的歌翻来覆去听完,2,_Feibb,124496200
23,2019,7,31,要和2整整齐齐,1,丰阝君,296235500
24,2019,7,27,真的,0,Kepler小姿,342372326
25,2019,7,27,真的！,0,Ariana_Grande____,35032031
26,2019,7,26,demo让我爱上真的！,0,Sparrrrk,270935914
27,2019,7,24,是真的诶[憨笑],0,咔咔鲁,86372802
28,2019,7,23,加一刚刚好,0,風華正茂Hi-,625016798
29,2019,7,22,两首on the road的评论数一定要一样[吐舌][吐舌],1,诃德w,1517229786
30,2019,7,19,真的！！！🥰😌,0,Lynne1707,352842633
31,2019,7,14,宇多田也是這樣呢 唉[流感],0,一个有着80后情愫的90后,47638914
32,2019,7,10,真的哈哈哈,1,霉头霉脑云散月现自在飞花slay,42294326
33,2019,7,6,demo 2过来打卡的，为了配齐评论数。。。。[吐舌][吐舌][吐舌],1,青芒雪见,52215123
34,2019,6,30,真的真的,1,RainbowAfterTheRain,59825347
35,2019,6,30,我都是第一张开始听的 就这样一张张循环🔄,1,StefX,300674075
36,2019,6,26,真的,2,大大大王康,61558428
37,2019,6,15,特意去听了下 真的 喏,1,飞侠卡卡,427053792
38,2019,6,15,很喜欢,0,飞侠卡卡,427053792
39,2019,6,1,期待呢～,0,赵瓜瓜Zachary,276311770
40,2019,5,31,2020演唱会,0,狮子小猫,125984587
41,2019,5,25,哒哒哒哒浪,0,爱笨笨1707,541538599
42,2019,5,18,燕姿好棒！,2,愿君依旧笑,559237310
43,2019,5,16,瞬间泪目，我的青春！,7,时间煮鱼abc,2971048
44,2019,5,3,明显是高跟鞋，但是鞋跟不高那种,0,Kafucheng,391808401
45,2019,4,26,我的天，还没听我就点了求歌词,4,封黜宁,295759931
46,2019,4,19,真的,1,画眉不吃虾,14295076
47,2019,4,17,哈哈哈哈哈哈你真的太认真,0,雾越温,105684187
48,2019,4,7,来了,0,冰冰的小荔枝,286300516
49,2019,3,26,用CD听的,2,SngEeTzeSng,104396853
50,2019,3,20,可以的,0,hanimal,269609516
51,2019,3,20,最喜欢这张专辑,2,Jasmine可能睡着了,562436486
52,2019,3,8,真好听～,0,Rsaki,124389591
53,2019,3,5,真的,1,没人比我更爱韶涵和燕姿,1332471327
54,2019,3,3,找到小时候听磁带的感觉了,3,Oo轨迹oO,70104043
55,2019,2,27,真的好爱你  我真的愿意,1,瑚屠屠,317448296
56,2019,2,24,yes,1,臼乐,431672710
57,2019,2,24,磁带a面的第一首歌,2,Lyreyantg,302541814
58,2019,2,24,谁的谁的迷听自己偶像不都是一张专辑一张专辑地听吗[惶恐],5,123年七班,550796333
59,2019,1,21,是真的！！！！！绝对是真的,1,花莫笑丶,514517742
60,2019,1,12,跟着哼起来,0,leave_yezi,72484127
61,2019,1,12,单曲除外，好多专辑（依我看来)都是作者用心排列和编曲，然鹅国内很少人从头到尾听，也几乎没人打开碟序看┐(´•_•`)┌ ,0,__Yomi__,70577874
62,2019,1,11,真逗，专辑第一首就真姿迷了,6,帐号已注销,61957976
63,2019,1,11,网络没有普及的年代，磁带真的是从头听到尾的,0,sl是一个冒烟的小火车,338267569
64,2019,1,7,任性  也有这样的哈哈哈哈哈哈哈,4,Joyce的橙子,1665584207
65,2019,1,4,年度报告来的 这首我一天听了67遍,5,雨还是不停地落下_,100825170
66,2019,1,3,哒啦哒，哒啦～哒啦哒哒啦哒啦，哒啦哒啦哒啦哒啦哒啦,0,吴迪迪迪迪di,329247569
67,2018,12,30,真的是很少人完整听一张专辑的嘛。,2,__Yomi__,70577874
68,2018,12,27,[爱心][爱心][爱心],0,西尔莎-罗男,286466113
69,2018,12,22,我想听演唱会,0,xyyyfs,400069797
70,2018,12,18,喜欢燕姿的清唱胜过于配音,2,ccchensss,384144707
71,2018,12,5,回去听一次不就知道了？还没记错的话...,1,cllllllllllllllllllllock,106425088
72,2018,11,25,我来了,1,Euphemiayang,76221517
73,2018,11,24,喵喵喵打个卡我来嘻嘻~,0,瞳瞳丶,282319602
74,2018,11,15,卧姿醉美,0,后悔没减肥,34563973
75,2018,11,7,我真的真的真的超爱这首歌,0,我才是强强强,55800971
76,2018,11,5,小时候还找谱子弹这段 难忘的回忆,4,Konata0111,40499033
77,2018,11,4,她真的超爱真的这首歌,4,ZY-7,17531038
78,2018,11,1,哈哈,0,永远爱贾隆平,423398340
79,2018,10,25,demo好听,0,雨还是不停地落下_,100825170
80,2018,10,24,哒~哒~嗯哒,1,MA-ong,126553193
81,2018,10,24,真的，真的是！,0,虫虫和马,452792472
82,2018,10,21,听了这么多遍第一次注意到前面的脚步声,1,going_up_stef,372536854
83,2018,10,20,打卡,0,凌晨Jce,115773497
84,2018,10,19,这么多年才发现真的是真的,0,Stefwaves,448402545
85,2018,10,11,哼一哼都这么好听,3,Islandofcyril,48634536
86,2018,10,7,深夜被前面的脚步声吓到[大哭],4,辣椒茄子茄子,1598373857
87,2018,10,4,每次听到这首demo，就想起少年时粉色的磁带，这张专辑，真是听了无数遍！！！,6,Kafucheng,391808401
88,2018,9,28,2018.9.28.16.16开始我要的幸福,2,隐藏的失落,410988
89,2018,9,22,又来重温了 还有谢谢送我这张专辑的薇薇儿[牵手],4,是红柚的季节啊,437448524
90,2018,9,22,很喜欢后来的真的啊 [爱心],2,是红柚的季节啊,437448524
91,2018,9,16,18年了 燕姿找到了幸福 我们呢,2,飞侠卡卡,427053792
92,2018,8,26,喜欢燕姿，每首999，顶起[拜],3,沉溪峻,37560902
93,2018,8,23,当年买了一本CD 没有MV 这种意境现在听起来还有,2,逝去的记忆盒,572386799
94,2018,8,21,我倒觉得做的很好 ,7,林守乐,55243746
95,2018,8,15,大家好现在是十一点五十三分儿胡乱弹给小曼老师哄她睡觉💤,3,东区林俊杰,337913018
96,2018,8,9,Demo永远都是最美的，因为你有想象的空间，“这首demo到底会写成什么样呢？”，这首demo最终做成的那首《真的》，其实是低于预期的。,9,daniel宣,1328788670
97,2018,8,3,最爱孙燕姿，,1,跳舞的梵谷yanzi,318974517
98,2018,8,2,我的天 我的天 竟然有哼唱版 就这样 爱了～,1,_诗芊,81037679
99,2018,8,2,🎧,0,_诗芊,81037679
100,2018,7,30,燕姿二宝出生了,5,我想我只需要一把吉他,131864962
101,2018,7,30,小时候买的盗版带，听这个很短的片段，我以为我被骗了,1,咸面包卷,78359663
102,2018,7,23,生日快乐,0,本欧尼,414681413
103,2018,7,23,生日快乐,0,小豆瓣儿_,37086195
104,2018,7,23,生日快乐,0,没那么幸运z,477204429
105,2018,7,16,听不够,0,半颜--,1388348843
106,2018,7,16,嗓音真的是好听，干净清爽,2,半颜--,1388348843
107,2018,7,8,真的,0,朱一金,626735320
108,2018,7,4,好听,0,Holoens,51390388
109,2018,7,3,我在四处找人的脚步声,0,火星蜘蛛夏日姿迷,300161727
110,2018,7,3,好的😄,0,执意看浪,117317859
111,2018,6,18,燕姿走路和清嗓子的声音也好好听,0,_shengxiang,57645729
112,2018,6,9,真的好爱你真的愿意,0,Young千寻,1332033067
113,2018,6,9,2020！！我一定会去的,3,84号--,369885446
114,2018,6,5,为什么觉得听这首歌很舒服呢,0,郁闷中的牙刷,269942332
115,2018,6,3,真的,2,暮至明,94756999
116,2018,5,28,燕姿哈哈哈哈,1,TibetteIsReal,473846069
117,2018,5,27,最近迷上了这首demo，一天要听八百遍。,4,雨还是不停地落下_,100825170
118,2018,5,23,晚安曲,2,茉的岛屿,437714758
119,2018,5,10,第一天,0,此地西北有高楼,305286192
120,2018,5,7,姿迷无处不在，燕姿无可取代～～,4,四月的的的,1329526521
121,2018,5,3,300+[亲亲],0,遇姿人,541269428
122,2018,4,27,这个就是真的这首歌，你可以搜一下,0,NumbLater,115418975
123,2018,4,24,晚安。,0,Joey_kqXl,12326566
124,2018,4,14,[星星],0,宇宙最帅世界最美,444380578
125,2018,4,10,这是彩蛋哇！跟漫威电影一样[憨笑],0,控场,40913104
126,2018,4,10,真的,0,毛毛虫0912,323067104
127,2018,4,10,"hello,yanzi",0,毛毛虫0912,323067104
128,2018,4,1,对 后来就是真的那首歌,0,火星大队长,486834629
129,2018,3,23,最喜欢这张专辑 ,1,害淡,45874458
130,2018,3,21,录音棚里发生了什么？[大哭][大哭],0,o0-listener-0o,131095397
131,2018,3,20,好多年了   还好你们都还在,4,麦兜卡卡西,109075328
132,2018,3,15,[亲],0,鄒爸比,85768778
133,2018,3,12,哒，呃嗯,0,33轉的LP,630862795
134,2018,3,9,还有任性的一个,1,33轉的LP,630862795
135,2018,3,8,我的，你去一边,0,豫西小天王,594110291
136,2018,3,3,越来越爱这个女人怎么办,2,小小烁,80544605
137,2018,3,1,18年了，你还善良吗,3,stef流年,1367583538
138,2018,2,26,真的很爱你,0,-Ariana_Grande-,585410257
139,2018,2,24, 真的,0,未完成19991230,503310441
140,2018,2,19,姑娘是真的么,0,just131425,421709923
141,2018,2,18,那估计你能找很多,0,什么都你先先先,280543525
142,2018,2,12,不管要去哪里,4,极美欢庆,351351231
143,2018,2,7,找到没  那个…找到的话能不能分我一个呗,2,冯77777,290575424
