index,year,month,day,content,likecount,nickname,user_id
1,2019,11,11,可真好听。,0,也不是猪只打呼,355734135
2,2019,11,11,快乐。,0,也不是猪只打呼,355734135
3,2019,11,6,我和我的祖国，比他好听！,0,西北一匹野马,261252904
4,2019,11,6,国宝我姿,0,SngEeTze--,1600031708
5,2019,11,5,这么好听的歌[爱心],0,ydd云朵朵,1829909255
6,2019,11,3,超超超超级好听啊！,0,粘好看,123721650
7,2019,10,19,这首歌得有十几年了吧，还是初中那会听到的呢，估计也只有80和90初听过，满满的回忆。,0,有音留白,70673196
8,2019,10,4,爱燕姿,1,跳舞的梵谷yanzi,318974517
9,2019,10,4,啊啊啊啊好听,1,跳舞的梵谷yanzi,318974517
10,2019,9,23,国庆歌也这么好听,0,XQ0823,489797899
11,2019,9,19,听过一次念念不忘 ,0,bulankaa,73550678
12,2019,8,26,羡慕啊哈哈哈,0,女神是孙燕姿啊,395256634
13,2019,8,21,太好听了,0,薇雨润恩泽,468343061
14,2019,8,20,我唱的最好的别人家国庆歌,0,7things_,1318437548
15,2019,8,12,就是不要所有的歌曲都要规矩的唱[大笑],1,O_oHULLO,343829645
16,2019,8,9,祝新加坡54周年生日快乐！！,0,大爱星星哥,373056591
17,2019,8,9,新加坡生日快乐,1,麦丽素0723,544048498
18,2019,8,9,每天都来听歌颂祖国哈哈哈哈,0,我很鱼块,125768521
19,2019,8,6,想去新加坡呜呜呜呜呜呜,1,漂浮群岛et_moi,101098936
20,2019,7,29,是啊。一直都是天后级别的。基本就是2000后最有口碑最低调的天后了。虽然我也喜欢梁静茹和田馥甄。。。但是孙燕姿真的在整个华人圈是新生代之光。,1,五音符号,278349798
21,2019,7,26,好听好听好听好听,0,非也非飞,440312810
22,2019,7,25,比起中文版更喜欢这个版本,0,不想再宅下去的肥猫,76550530
23,2019,7,25,歌颂祖国的歌曲也这么好听,0,韩小蒙,119193024
24,2019,7,23,majulah singapura，是马来语的[大笑],0,Raja_Of_India,610914675
25,2019,7,22,姿妈好看,0,万古啊长存,629173321
26,2019,7,22,我也是,0,万古啊长存,629173321
27,2019,7,19,啊啊啊啊，太好听了，还好学,0,诗不再远方,552405431
28,2019,7,17,我的天，我终于听出来这首歌和全心全意是一样的[鬼脸],2,hydrogenhi,1597587086
29,2019,7,8,我在新加坡上的中学，每年国庆日前后，学校食堂的大屏幕滚动播放这首三百遍～ 边吃饭边看燕姿好幸福哇哈哈,8,Mbindifferentia,35180645
30,2019,7,5,你好哇,0,可欣Amy,255521509
31,2019,7,5,姿迷好[大笑],0,Jay爷,600324080
32,2019,7,4,加我一个，棒棒哒,0,可欣Amy,255521509
33,2019,7,4,这首歌这么好听都没人嘛,0,蹦蹦跳跳的叶修,631451960
34,2019,7,3,是了是了 期待她20年演唱会,1,啊啊啊阿窈,578848548
35,2019,7,3,是不是牛逼的，外籍歌手第一个。,0,路灯下的的夜明珠,1820234735
36,2019,7,2,特意在刚刚去看了mv哈哈哈哈第一个镜头,0,啊啊啊阿窈,578848548
37,2019,6,28,唱新加坡国歌的燕姿我也喜欢,0,愿君依旧笑,559237310
38,2019,6,28,还有JJ单独唱的,0,5513071104,254716616
39,2019,6,27,燕姿的地位早在08年《北京欢迎您》就被国家定位了，去看看MV,2,路灯下的的夜明珠,1820234735
40,2019,6,22,这个不是新加坡的国歌,1,aaaatfug,1389979856
41,2019,6,22,不是，新加坡国歌是：Majulah Singapore  前进吧 新加坡,0,aaaatfug,1389979856
42,2019,6,18,可怕的是十几年过去了，突然翻到我竟然还能跟着唱,1,陪你从小猫咪到大老虎,127848722
43,2019,6,11,爱国歌都这么好听！,2,小米糕啊,1436371488
44,2019,6,9,哈哈哈哈 歌颂祖国都能唱的这么好听 真棒,0,feifeii13,309479010
45,2019,6,9,虽然不是国歌，但是也是国字辈，地位相当高！,1,来世做个凡人吧,432742197
46,2019,6,9,是的，虽然不是国歌，但是也是国字辈，地位相当高！,0,来世做个凡人吧,432742197
47,2019,5,26,新加坡国歌吗？,0,feifeii13,309479010
48,2019,5,23,真好听,0,枣糕少女宋觉觉,116531378
49,2019,5,12,燕姿也太强了吧,1,愿君依旧笑,559237310
50,2019,4,30,自从喜欢了孙燕姿。新加坡一直就是我最想常驻的城市,8,天空飞过暖水瓶,423027217
51,2019,4,30,这就是新加坡版的《我和我的祖国》啊[大哭],2,天空飞过暖水瓶,423027217
52,2019,4,28,我说呢 纳闷了半天没听过这首,0,Adam_Lambert,87478266
53,2019,4,14,只有新加坡版本有收录,0,小青浪a,645753127
54,2019,3,31,cp粉吗？这cp也是够冷的，现在也是冷的彻彻底底哈哈哈哈哈哈哈哈,1,自饰者180816,1557408903
55,2019,3,29,专辑里应该是没有这首歌的吧,0,呼吸喘气,53960052
56,2019,3,15,路过章宜机场特意翻出这首歌来听,2,ass后,341473772
57,2019,2,16,我说为什么THE MOMENT这张专的曲量这么大呢。。。,1,Nembutal,285968582
58,2019,2,11,全心全意英文版,1,s1ck1000,1471605268
59,2019,2,1,这歌词翻译的把人家国名都抹了。。。像话吗？,3,___Captain_,292737203
60,2019,1,30,好好听,1,没有一步之遥,53340270
61,2019,1,24,推荐corrinne may的【song for Singapore】,2,一kepler,1409592056
62,2019,1,9,[大笑],0,成小姿S,84991554
63,2019,1,8,换算过来就是两千五了呢 完全够燕姿学画画了😂😂😂,0,跳舞的范骨,511674794
64,2018,12,9,[色],0,子之选天,1391150898
65,2018,11,30,鸡皮疙瘩嘤嘤嘤，好感动,0,乖乖做姐的新宠吧,421681150
66,2018,11,26,打卡 ,0,孙燕姿的小迷妹啊,327977684
67,2018,11,24,这个是真喜欢  可是我是个学渣  ~~~ 怎么都学不会。,0,孙燕姿的小迷妹啊,327977684
68,2018,11,16,新加坡很多类似这样的歌曲 都是非常好听的,2,AnnaLeung33,469526962
69,2018,11,3,喜欢发音~,1,半颗山楂,395288548
70,2018,11,3,好听啊！,0,半颗山楂,395288548
71,2018,10,30,homeland[爱心],0,小谣爷,96193057
72,2018,9,9,2018-9-9打卡[可爱],0,hall6hi,125857298
