index,year,month,day,content,likecount,nickname,user_id
1,2019,9,7,祝愿我明年抢到前排得票,6,Joyce的橙子,1665584207
2,2019,8,30,明年一定有我！,3,一点点都不静静,17445521
3,2019,8,29,天黑黑绝了,3,仍有余力,345391206
4,2019,8,13,居然听了好想哭[流泪],4,cy909191,254876722
5,2019,8,5,好棒啊呜呜呜我也想去演唱会,3,漂浮群岛et_moi,101098936
6,2019,7,30,第 100,3,哈那我就取一个很好听的名字吧,481734149
7,2019,7,23,期待明年演唱会,4,liooHu,133689341
8,2019,7,22,希望我明年能抢到演唱会的票！！,4,用户己注消_,277655260
9,2019,7,16,天黑黑1:44-2:13,2,雨还是不停地落下_,100825170
10,2019,7,2,明年会有我！！,2,八九不离食小姐,133898896
11,2019,6,30,第二首错了，2002年没有梦不落,1,重庆北站南广场,1439971379
12,2019,6,23,期待,0,Eminoparte,77208914
13,2019,6,21,明年能听到这么有趣的开场就好了,5,Londinium_,299325388
14,2019,5,29,2020极美欢庆,0,看斜阳照大地,67282306
15,2019,5,4,有一次采访里面说了啦，上海已经确定有啦，但是具体时间还没定呢～,1,322嘟嘟233,567185975
16,2019,4,30,风筝那里用的什么神仙乐器,1,bally网易,364839968
17,2019,4,30,没看到有宣传呢？,0,天空飞过暖水瓶,423027217
18,2019,4,28,从来没有一个女生像她这样唱歌🎤,4,bally网易,364839968
19,2019,4,27,01：44-02：13,1,雨还是不停地落下_,100825170
20,2019,4,27,天黑黑这一段太好听了,1,雨还是不停地落下_,100825170
21,2019,3,7,结束时的也很好听,2,雨还是不停地落下_,100825170
22,2018,12,18,梦不落是后出的专辑里面的歌，当然不能算,4,不用了86,477409141
23,2018,11,20,怎么这么嗨[色],1,LXLXliu,134589028
24,2018,11,18,有的,2,姿妈的小宝宝,528245384
25,2018,11,15,2020年会有演唱会吗,0,结菜,57780277
26,2018,11,7,风筝～梦不落～随堂测验～绿光～天黑黑～venus（你们是不是真爱粉啊，居然没听出梦不落。。。）[撇嘴],0,Toitoto,613797943
27,2018,10,12,是小提琴吧 我也这么觉得,0,想要的了解666,534790142
28,2018,9,19,天黑黑也太好听了8,2,新垣結衣的衣,113558510
29,2018,9,1,我说我听前奏听不出来是燕姿的哪首歌，原来是串烧……,2,旧昔扰梦,260855652
30,2018,8,8,在大学电脑机房发现的这个视频，从此无数次的回去看[色],1,出林,114509557
31,2018,8,3,🎧,0,_诗芊,81037679
32,2018,7,18,情迷乐器快感天黑黑[色],0,-涂白黑色记忆-,47455291
33,2018,7,4,听到到天黑黑伴奏直接泪目,4,Sulite_,343351961
34,2018,6,27,老了，听到这儿都开始热泪盈眶,3,帐号已注销,611383393
35,2018,6,17,好喜欢(｢･ω･)  stefanie,1,我调了七点半闹钟,515810036
36,2018,6,16,那还能叫真爱粉？,6,李大奔丨,93689035
37,2018,5,24,说明你不是真爱,5,-屿生,70805517
38,2018,5,6,最后是venus,1,张泽雅katrina,102270647
39,2018,5,6,作为真爱粉，这些歌咋都没听过,0,王岩1990,76288149
40,2018,5,2,视频看了很多遍了,0,33轉的LP,630862795
41,2018,4,28,贼喜欢燕姿演唱会开头的大串烧,0,180cm一,115012093
42,2018,4,15,听燕姿十几年了，转眼都2018年了，现在已是两个孩儿他爹，再次听到这个开场有点控记不句记几！,1,带头大王,275151304
43,2018,3,20,[呆][呆],0,stef流年,1367583538
44,2018,2,25,这个还真是第一次听到，不错,0,静安寺070707,279042764
45,2018,2,11,风筝～随堂测验～绿光～天黑黑～,0,Dealbreakerrr,1718082
46,2018,2,11,我一直在听这个，在等你的演唱会,0,Dealbreakerrr,1718082
47,2018,2,4,燕姿 燕姿 燕姿 燕姿,2,姿迷Kepler,62776498
48,2018,1,31,还要去看,3,王金1711,632842409
49,2018,1,31,生完二胎赶紧开演唱会吧,4,王金1711,632842409
50,2018,1,26,燕姿，快点开演唱会,4,我有努力和这个世界变熟,394296679
51,2018,1,12,我动态有这首歌演唱会实录 欢迎分享转载,2,Z不要那么熊急啊,67803003
52,2017,12,26,這個是哪些歌串起來的啊？有人知道嘛,1,11嘢,472333884
53,2017,12,23,连这个都很好听😊,0,梦游姿,555864141
54,2017,12,22,期待卧姿的演唱会,1,麦丽素0723,544048498
55,2017,12,13,来来来，节奏带起来[呲牙],0,天涯木桩,318254408
56,2017,12,10,好听,2,古月人情,564581243
57,2017,11,5,天黑黑用乐器演奏的曲子太好听了,4,新垣結衣的衣,113558510
58,2017,10,27,想听听那个主持是谁,1,帐号已注销,85211370
59,2017,9,24,[可爱],0,_伊布拉希莫维奇,370006218
60,2017,9,4,听这个也会泪奔,1,Dealbreakerrr,1718082
61,2017,8,23,跳舞的梵谷,1,想去吹太平洋的风,431966292
62,2017,8,7,小紫霞快来救救我吧,0,帐号已注销,111389855
63,2017,7,6,[可爱]十月新專，買買買。,3,鄒爸比,85768778
64,2017,7,6,[憨笑]姿媽好帥噢。,1,鄒爸比,85768778
65,2017,6,18,[呆]好听哭,0,帐号已注销,99902158
66,2017,6,18,天黑黑那一段简直泪目哭,0,我是丑王,127718208
67,2017,6,12,[爱心],1,徐丨若木,246749232
68,2017,6,11,有视频,0,跳舞的克卜勒,122786310
69,2017,5,28,好好听,0,气氛来了就要醉,308485041
70,2017,5,27,赶紧的吧 新一轮巡演什么时候开,2,行星Kepler,6971200
71,2017,5,16,听着听着戳中泪点,1,麦格哇家爱里里莫爱哇,109733203
72,2017,5,14,天黑黑那段真的好听,1,麦格哇家爱里里莫爱哇,109733203
73,2017,5,7,哈哈，差不多啦！走火入魔还不算[憨笑],1,小酷酷酷酷sala,294870222
74,2017,5,7,你有毒,1,帐号已注销,124859943
75,2017,5,7,才再听一遍？不够！循环多几十遍[开心],1,小酷酷酷酷sala,294870222
76,2017,5,4,没演唱会靠live活 上班嗨一天,2,吃西瓜瓜吃西,59099578
77,2017,5,3,助攻,0,阿Dar,94482447
78,2017,4,28,卅,0,一笑為何,39228948
79,2017,3,11, 好听[色],0,bally网易,364839968
80,2017,2,17,超爱,0,sunyanzi33,40958518
81,2017,1,20,初中最爱专辑没有之一,0,herbiey,39220745
82,2016,12,22,要有现场的MV就好了,0,爱喝伊利,44669133
83,2016,12,6,知道了，头发很乱,0,帐号已注销,124859943
84,2016,12,6,没有,0,你很搞笑你很奇怪你頭髮很亂,99743796
85,2016,12,3,又再听了一遍，我还有救吗？[呆],0,帐号已注销,124859943
86,2016,11,12,以前听歌是把整个演唱会下下来然后转MP3格式，这个开场听了不下百遍,7,乾乾乾LXQ,74819010
87,2016,11,1,燕姿燕姿燕姿,3,帐号已注销,124859943
88,2016,10,14,买的第一张燕姿专辑，从此爱上她的歌声,3,拥抱wl,278484682
89,2016,8,5,啦啦啦啦啦啦啦啦啦啦啦啦,4,苏三伞,111844957
90,2016,8,2,天黑黑的这种纯音乐版本好棒！！！,8,Hi天铖,73794505
91,2016,5,18,那年的开场乐，就奠定了基调，那个会害羞 会撒娇 的小燕姿  尤其爵士版的《风筝》不能不爱！,6,十字街头29,84520410
92,2016,4,16,[亲亲],3,可阳快飞,115746724
93,2016,3,31,讨厌这个装嗨的DJ。,7,Halshr,8804763
94,2016,1,15,日常循环[开心],3,孙燕姿小朋友,62573427
95,2016,1,3,原来这些歌还可以这样，天黑黑快版真好听,4,ssisiss,56578313
96,2015,10,28,图片换的挺勤啊[奸笑],2,口水哥啊,84140487
97,2015,10,16,发现一首评论少的好听的歌就像发现了新大陆一样,3,负一,13907343
98,2015,10,10,这首歌特别适合空间感好的人画速写时听，相信我,2,木莓果酱,53372016
99,2015,8,23,这首真的好听,2,Rufi0,87729212
100,2015,7,17,燕姿燕姿,2,举个西木,60673274
101,2015,5,28,接连延续的曲调，普通逝去的我们自己。。。May It is time to say ~~~,8,长亭缱绻,19515209
102,2015,4,28,风筝～随堂测验～绿光～天黑黑～,40,夏小莫,869908
103,2015,3,12,今年还想再看一次燕姿的演唱会,31,Jonny1120,31156342
104,2015,1,8,好多串起来，连续接连的如同逝去的我自己,53,长亭缱绻,19515209
