index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,为什么我今天才发现这么美的一首曲子[流泪],0,就当我没有名字吧112,326421915
2,2019,11,14,我要在这里留言,0,holly_乔,563872807
3,2019,11,11,长了也许就少了现在的感觉了[可爱],0,大吉大利宝宝,545189629
4,2019,11,11,五十几秒写出了一辈子,1,euyl,1481688045
5,2019,11,4,是燕子弹的嘛[可爱],0,音乐人何石,2544176
6,2019,10,29,好喜欢这段旋律,0,不逾矩的坏孩子,280639432
7,2019,10,28,这首曲子一响起就泪目,0,vInCent哇,48926777
8,2019,10,27,我的手机铃声，百听不厌,1,我只会乱乱唱,272309134
9,2019,10,24,我的孤单星球里什么都没有 只有你被保留,3,患难相撑,1436527863
10,2019,10,16,啊啊啊啊我爱！,0,Kepler_zyr,1411824923
11,2019,10,13,我好爱这张专辑,0,Thatis-to-forgeteverything,315573047
12,2019,10,8,呜呜呜呜呜呜爱了,1,取昵称太难了阿,494222538
13,2019,9,29,"回忆太过诡辩
回想起那张脸
回不去的昨天 都被藏起的想念
回头看那些年
回收了的誓言 
还站在原点  分裂撕碎后沉淀
回味那些甜 
回眸再一眼
如果当初再成熟一点
也能求得一夜好睡 与安眠
————
【小27·不成熟的词】
晚安，我最爱的燕姿
以及爱她的你们❤️",4,是小27吖,106458515
14,2019,9,29,听到旋律瞬间哭成泪人了，我最爱的燕姿啊，2020年的演唱会，一定一定要，见你。,3,是小27吖,106458515
15,2019,9,14,无敌了,0,姿迷,7559252
16,2019,9,13,身在异乡为异客，望月圆，泪沾襟！,1,SSYANITY,504036005
17,2019,9,12,短！！！！！！,1,Svtearry,61858054
18,2019,9,11,希望其他人永远不要填词，就这样就好…,2,euyl,1481688045
19,2019,8,29,呜真好听,0,_不加糖有点甜,128108088
20,2019,8,23,呜呜呜神仙[流泪],0,也不是猪只打呼,355734135
21,2019,8,22,这首歌有钢琴谱吗,0,舻谡丶,330124603
22,2019,8,7,七夕快乐，分手的第537天，想你,4,祝你开心天天开心,282800473
23,2019,8,5,好好听,0,-澍辞-,427704425
24,2019,8,5,好听,0,八月长安x,263542124
25,2019,7,29,燕姿,1,倾贰_,340059430
26,2019,7,29,这首是燕姿自作曲自己弹的,2,NTUfail,71924954
27,2019,7,29,我也！第一个音出来就想哭 好奇怪,0,NTUfail,71924954
28,2019,7,24,爱你呀,0,远山大可爱,136780134
29,2019,7,19,好听 可以当婚礼背景,1,7things_,1318437548
30,2019,7,16,有吉他谱吗？,0,广东省化州市光头,1884948551
31,2019,7,14,孤独星球,0,霉头霉脑云散月现自在飞花slay,42294326
32,2019,7,6,曾经是我的手机铃声[爱心]特别爱,0,忧姿,338688999
33,2019,7,3,这首可以循环一直听 然后一直伤感,2,Erika_Linder,305117600
34,2019,6,29,伤感,0,Stef-y,368904262
35,2019,6,27,因为懒😂,0,有好歌就给我推荐,577250471
36,2019,6,26,感谢,0,反正没人会发现,307780018
37,2019,6,26,雨还是不停地落下 在她的克卜勒专辑中,0,Yandy1999,296665805
38,2019,6,26,哪首???,0,反正没人会发现,307780018
39,2019,6,23,好想听姿唱这首,0,栗未未_,1876466529
40,2019,6,22,这是燕姿作的曲？太厉害了吧,0,雨陨,31875806
41,2019,6,20,正在做铃声。。。,0,银子子,95736525
42,2019,6,20,好听  可以一直循环,0,为什么是猪捏,443671359
43,2019,6,20,多谢款待,0,拾贰楼-,508110321
44,2019,6,17,怕太火[鬼脸],0,Tenglor,380575786
45,2019,6,8,现在也不晚,0,派派521,79899271
46,2019,6,8,最喜欢的outro，没有之一。,2,派派521,79899271
47,2019,6,7,啊哈 怎么这么好听[亲亲],1,小米糕啊,1436371488
48,2019,5,29,那个时代的人都是才子才女，收录的也是真实乐器弹出来的最真实的声音,3,Doris312,383292625
49,2019,5,12,手机铃声，真的好好听,1,___-___---___--__,283840308
