index,year,month,day,content,likecount,nickname,user_id
1,2019,11,12,这是一首没有被污染的歌,1,贾法儿,588035567
2,2019,11,10,我猜，是2015年暑假[多多大笑],0,风言言的夏天_,309291861
3,2019,11,10,以前的QQ炫舞2.0大厅就是这个歌,1,风言言的夏天_,309291861
4,2019,10,27,好好听，刚刚广播听到的,0,魔可呀,437918121
5,2019,10,21,"记得当年高考完
回家的时候我在爸车上放这首歌[大笑]",2,陈凌辰,515200380
6,2019,10,20,听着很爽啊,0,月落_心醉,509304671
7,2019,10,11,这是真的(//∇//),0,嘿嘿嘿纠结喝喝小酒的,1308617457
8,2019,10,2,好听,0,Kepler2014,361306103
9,2019,10,1,超喜欢的一首歌 好好几年前第一次听就单曲循环了😌,1,拨开木叶,1307756482
10,2019,9,28,握手,0,夕颜May,442465991
11,2019,9,27,这歌词仿佛有种radio gaga的风味，燕姿不愧是摇滚少女,2,Sarnetha,1476243481
12,2019,9,27,[多多大笑][多多大笑],0,大黄鸭嘴兽,336723139
13,2019,9,26,这里,0,最喜欢辛稼轩了哈哈哈,286854605
14,2019,9,25,可真好听,2,也不是猪只打呼,355734135
15,2019,9,17,才发现结尾有电码[多多大笑]就是不知道电码意思是什么,3,大黄鸭嘴兽,336723139
16,2019,9,17,这不是传说！！,0,l克制l,1542611800
17,2019,9,16,好怀念,0,偷偷藏在云村的秀子,1564722475
18,2019,9,12,想QQ炫舞了，当年的暑假。。。多年过去仍挥之不去,4,给你一瓢泼大雨,369758110
19,2019,9,11,太帅,0,XQ0823,489797899
20,2019,9,3,我姿最帅的单封[色][亲亲][亲亲][亲亲],0,霉头霉脑云散月现自在飞花slay,42294326
21,2019,8,30,好好听,1,含笑半步颠癫颠,547346016
22,2019,8,29,这首歌也是烂大街了，每条街都有一首radio[大哭]燕姿的风格太多变了,1,万古啊长存,629173321
23,2019,8,28,你是魔鬼吗哈哈哈哈也不看看这是什么时间的,5,鹿不撞,89096914
24,2019,8,27,逐梦演艺圈了解一下,7,柏珞,558492921
25,2019,8,26,哪里尴尬了？,0,小凪无风,1760703119
26,2019,8,22,孙燕姿的歌中最爱，没有之一,1,纵风扬尘,349997845
27,2019,8,22,我也是，因为想起一段时光一个人,0,prince-Joshua,117961245
28,2019,8,22,找到同频率的人太难,2,aprilworld,476591793
29,2019,8,21,拔剑吧  情敌,1,御魂惨案,564523238
30,2019,8,20,电台,0,沈思丁,131513929
31,2019,8,20,居然有一样感觉的人,0,Eristy-,254519233
32,2019,8,14,为什么会有人觉得这首歌难听，我觉得这首歌听起来很爽啊！！,5,刘薄荷和阿楚,505373104
33,2019,8,13,以前还觉得太简单，现在听发现其实编曲已经很圆润了。,2,我pop子今天就是要打爆你,309328510
34,2019,8,12,我的青春,2,过瘾墨江,1443937842
35,2019,8,9,这首歌听着我好想哭,1,FutureDecade,626178850
36,2019,8,5,怀旧,0,轻语时安,1896842576
37,2019,8,4,好听,0,Goon66,122002802
38,2019,7,27,你说的太对了！[爱心][爱心][爱心],0,孙燕姿best,46251605
39,2019,7,26,孙燕姿+周杰伦=我的青春[可爱][可爱][可爱],2,鱿鱼圈的圈圈,617198191
40,2019,7,26,孙燕姿的歌 还真没有难听的 一首都没有啊,10,米虫回来了,56423786
41,2019,7,25,哈哈哈哈哈哈,1,大何向东流_,274382098
42,2019,7,24,又是一首怀旧作品..,0,讨厌吃花生但是最爱喝花生豆浆,1887226608
43,2019,7,22,第一遍听，太惊艳了！实话（虽然什么歌经过燕姿之口都变好听）真的很好听啊，我十三姐真是曲风多变[强]#你这一刻在听什么歌# ,5,多伦多火神,340331492
44,2019,7,20,早就想夸单封了[色],0,霉头霉脑云散月现自在飞花slay,42294326
45,2019,7,18,没必要在这刷存在感吧…直接切歌不就好了吗,4,烈火浇愁,128188399
46,2019,7,17,是的，会开始喜欢男生了,11,Sulite_,343351961
47,2019,7,16,姿妈 张悬＋一个陈绮贞,1,_吴子诚,275017518
48,2019,7,14,姿妈 安溥+1,1,谁动了我的enchanted,296627581
49,2019,7,13,你这评论也尴尬的不行啊,4,ZHbin呀,635742893
50,2019,7,12,照片是马冬梅？？？？,0,飞翼火烛,73759849
51,2019,7,12,初三的歌儿，初三的人儿，又在哪儿,0,-杉泽-,495300822
52,2019,7,11,结尾处是什么代码吗？,0,爱吃栗子糕,52757837
53,2019,7,11,好听好听好听,0,重景tongtong,345086612
54,2019,7,10,争议较大的一首作品，当年听印象很深刻,0,你今天还没火吗,40896768
55,2019,7,8,燕姿听了想打人[大哭],7,霉头霉脑云散月现自在飞花slay,42294326
56,2019,7,4,第一次听就超喜欢，真的超喜欢，好几年了吧,4,霉头霉脑云散月现自在飞花slay,42294326
57,2019,7,1,芭乐适合你[大笑],1,NzAIXYz,128457035
58,2019,7,1,果然中国人还是适合芭乐啊 coco那几张专销量好惨[大笑]在欧美乐坛轮了几遍以后华语还是芭乐[大笑],1,NzAIXYz,128457035
59,2019,7,1,有点小红莓的赶脚[呲牙],0,Derek-Sh,313741807
60,2019,6,30,你行你上,3,故人叹190406,1816545972
61,2019,6,27,老喜欢这个歌曲了  ,3,石代帝国,77796438
62,2019,6,26,以前是老人机看不到歌词，然后一遍遍地听，一遍遍地写歌词改词，改到觉得应该没错了，现在看看歌词还是写错了好多啊[爱心]都是回忆啊[爱心],3,有个宝贝叫温木杉,487145156
63,2019,6,25,这是15年燕姿演唱会安可的一首歌 至今还记得全场起立晃动荧光棒大合唱 ,2,yuyuyuyuyu歌,334989214
64,2019,6,19,时隔两年再次打卡,0,U-nparalleled,466861044
65,2019,6,14,后知后觉,1,很摇滚滴事,98010521
66,2019,6,13,打卡,0,PPLAY丶,285226592
67,2019,6,11,封面后期也不给P下[大哭],1,小米糕啊,1436371488
68,2019,6,11,被吐槽的歌都莫名好听的呀[亲亲],0,小米糕啊,1436371488
69,2019,6,9,14年的青岛演唱会，是我的第一场演唱会，尽管是分手演唱会，还是带给我太多太多的难忘得部分。五年啦，今天是出道19周年，新歌很好听！听到声音一出来就疯了，我爱她。,1,张家强x,7094505
70,2019,6,9,怀疑歌曲有约德尔成分。,2,刘翠红红红红,1312353741
71,2019,6,6,没文化还真可怕鸭,3,心里已经有了那个池昌旭,1764242471
72,2019,5,30,我真的不想在孙燕姿歌底下再看到不爱听出去这种话，人家来听还给出评价说明认真听了不是很好吗？有多少直接不愿意听或者切歌走了ok  歌迷负责自我陶醉即可，不要管别人陶不陶醉,3,NTUfail,71924954
73,2019,5,30,路人嘲就嘲咯，粉丝没必要反驳。当年这首歌出来本就很多歌迷不喜欢，现在的歌迷们要大度点，歌手和歌本就是要面向所有听众的，批评只要不是无理谩骂都该全盘接受。,1,NTUfail,71924954
74,2019,5,30,那请你去听别的,3,鸨还是老的浪,283557629
75,2019,5,29,我们唱着唱着就笑了……噗嗤,0,慵慵囷,3204860
76,2019,5,29,不喜欢听就不要胡乱评论,2,泫浅,1301436661
77,2019,5,27,深圳保安90.5每天中午都发这首歌,1,某时某刻fly,1287172451
78,2019,5,27,难听 歌词尴尬的不行,1,慵慵囷,3204860
79,2019,5,26,@eatwelllivewell ,0,陈黏人,33068148
80,2019,5,24,燕姿，期待演唱会,1,喜爱拿铁的猪,1744284842
81,2019,5,18,不好意思战车来的 走错了,0,RiessenTME,339572648
82,2019,5,17,听得好爽啊😆,0,喂喂我这么称呼你-,255723851
83,2019,5,16,不是啊，2015年好像来长沙 演唱会是压轴嘉宾。然后还没等到孙燕姿很多人就散场了，但是等到最后她一出来我就哭了，一开口就哭了,0,2Heads-,132104870
84,2019,5,15,奶茶店放过,0,王小龙180719,1502638308
85,2019,5,15,真带劲，燕姿,0,stefanielgl,644180982
86,2019,5,14,cool~,0,雨还是不停地落下_,100825170
87,2019,5,12,同爱燕姿 安溥啊,3,孙鳌头呀,502416807
88,2019,5,11,怀念当年玩QQ炫舞的日子。。,4,风言言的夏天_,309291861
89,2019,5,10,当时评论两级化，吵的那么凶，现在回头看真的好棒。老大的歌果然是要听多遍才能get到。,3,stefmissyou,451484132
90,2019,5,8,很适合蹦迪啊，副歌部分听着挺爽的,0,ImOkay823,50669672
91,2019,5,6,我觉得这是这几年燕姿快歌中最特别的一首,1,RRRRReady,315053588
92,2019,4,30,听着前奏有种遥远的不可名说的律动，这感觉独特而着迷。,2,8怀旧,466841510
93,2019,4,28,我喜欢这个封面，有意思,2,518124,393138893
94,2019,4,25,说中了，我89年的,1,宙斯盾10,1803440462
95,2019,4,21,一w+,0,滚蛋吧ba爱情君,135754891
96,2019,4,17,还真是,1,Six_姿young,290089077
97,2019,4,15,一样一样，初中的时候在CCTV15看过MV,0,昨日雨中与你擦肩而过,1598637550
98,2019,4,13,回过头来看这首歌编曲神了，风格正是现在流行的风格。,1,微笑mimilee,1667144785
99,2019,4,11,你是幸运的,0,大黄鸭嘴兽,336723139
100,2019,4,5,好几年了,1,夜色王位太阳,247410385
101,2019,4,3,一开始是初中在CCTV音乐频道上听到的 现在想想也是四年过去了,7,aka_Lilquack,417111542
102,2019,3,23,真是再次听到还是很好听啊,1,郭大豆豆,261848434
103,2019,3,23,妈耶好听，这么久依然不过时,0,竹狸子,432495623
104,2019,3,17,唱啥都好听,0,沉默还是傻笑,561691774
105,2019,3,16,欢快的歌曲,0,孙燕姿我爱你啦,541028460
106,2019,3,16,记得长沙那场孙燕姿最后压轴这首我听哭了 真的 一晃眼四年了 物是人非 ,3,2Heads-,132104870
107,2019,3,6,好几年了吧～,1,大叔有话说,1674818166
108,2019,3,6,2020年等你喔！,1,青山惠美_,81814134
109,2019,2,28,radio，ready go！抖腿开始,1,逃亡的kepler,104111830
110,2019,2,28,女人求你出来营业,3,热血无赖i,298260003
111,2019,2,27,哇哦,0,Stef-木魚,70036533
112,2019,2,27,发行四年了！,1,_燕窝_,485300141
113,2019,2,27,radio~radio~,1,一样夏天,290200252
114,2019,2,25,超棒,0,Islandofcyril,48634536
115,2019,2,25,唱什么都好听,0,Islandofcyril,48634536
116,2019,2,23,[奸笑]时隔四年，又来了,1,张冰呀1,56258909
117,2019,2,23,听到我们唱着唱着就笑了 就真的笑了的我 哈哈哈哈,1,Eileen_orange,412743642
118,2019,2,21,好听,1,shellyrin1785,126016499
119,2019,2,20,emmm也就那样😂,0,小淑女Stefanie,328345552
120,2019,2,17,然后我就很自信的写着我的答案（心情愉悦）,2,小淑女Stefanie,328345552
121,2019,2,17,radio,0,暮至明,94756999
122,2019,2,5,高中时和同桌一起唱,0,卡哇伊噫噫噫,411288513
123,2019,2,5,太好听了,0,甜甜的嘴边,133664689
124,2019,2,3,喜欢这个背景的重低音摇滚～,0,人间消亡_,1666660784
125,2019,1,27,我觉得很可爱啊😄,2,小米糕啊,1436371488
126,2019,1,27,挺好听的，越听越带感[大哭],2,转身是空,111727561
127,2019,1,27,孙燕姿,0,DannaDesign,433542716
128,2019,1,26,哇,0,易仇,508434147
129,2019,1,25,只是记得以前听过今天终于找到了,2,浅湖蓝丶,330543229
130,2019,1,21,武汉 阳,0,亟开水,103233002
131,2019,1,19,每次考数学，脑中都会有这首歌。。。不自觉哼出来。。那些快乐的，俩人游,0,小淑女Stefanie,328345552
132,2019,1,5,世界上为什么会有孙燕姿这种神奇的存在,1,自作之人,124346199
133,2019,1,2,15年克卜勒的记忆,2,星岛的妳,48746821
134,2019,1,2,洗脑神曲,0,孙燕姿的小迷妹啊,327977684
135,2018,12,24,真的超喜欢孙燕姿,2,AMcx,301385706
136,2018,12,21,很多的,4,H-S_Sun,296312220
137,2018,12,20,厉害了,1,zlovestef,37262024
138,2018,12,20,加我一个[开心] 一听燕姿的歌就停不下来了<(｀^´)>,1,瑾言C15,560195010
139,2018,12,18,为数不多的能回忆起来的其中之一，在高考前一个漫长的夜里陪过我的之一，RADIO,1,添先生2233,326389702
140,2018,12,17,不可思议，还有00后姿迷[多多大笑],1,zlovestef,37262024
141,2018,12,16,你居然还在线[大哭][大哭][大哭],0,大吉大利宝宝,545189629
142,2018,12,16,对啊[可爱],1,大吉大利宝宝,545189629
143,2018,12,16,00后姿迷？,0,zlovestef,37262024
144,2018,12,16,沧口的飘过。。。,0,大吉大利宝宝,545189629
145,2018,12,9,歌詞不知所云,0,土豆薏仁,3113335
146,2018,12,3,初中听的歌再听一遍,2,要把所有可爱的女孩子扛回家,295442843
147,2018,12,1,[憨笑],0,_吴子诚,275017518
148,2018,11,27,hhhhhhhh 还是我  就是我 ,1,孙燕姿的小迷妹啊,327977684
149,2018,11,24,有段时间为了早起 只能把姿姐的歌调成闹钟  这样才没有起床气。 尤其是这首  简直充满活力 推荐给大家~~~,0,孙燕姿的小迷妹啊,327977684
150,2018,11,24, 魔音穿脑。！！！！,0,孙燕姿的小迷妹啊,327977684
151,2018,11,23,[圈],0,不秘密花园,288941161
152,2018,11,19,中考之前的时候没有智能机，只有一个可以听广播诺基亚。每周末都听广播，经常能听到这首radio。转眼现在都大一了。正在写作业的时候突然想起来这首歌，听着听着就想家了，想回到回不去的过去。,7,天津相声广播,361214136
153,2018,11,18,你是魔鬼吗,1,毛毛雨猫猫鱼茂茂豫,530763625
154,2018,11,17,[圈],0,不秘密花园,288941161
155,2018,11,1,那些快乐的两人游,0,SivonaSun,351089454
156,2018,10,27,在电台上听过好几次了,0,180cm一,115012093
157,2018,10,26,超喜欢这首歌，第一次听这个歌是在公交上,1,i惦记,428472865
158,2018,10,26,中间一段radio很洗脑,0,汪汪謬,1334289405
159,2018,10,24,我觉得挺好的呀,0,猴子先生很有范,352007799
160,2018,10,22,哦～哦～哦～哦～,1,going_up_stef,372536854
161,2018,10,15,这首歌很好听好嘛！,0,大理大理大理大理,58420777
162,2018,10,14,“我们爱着爱着，就死亡了。”,1,卑华,599475028
163,2018,10,11,果然我是唱着唱着就笑了[惊恐],1,帐号已注销,124500049
164,2018,10,3,这首歌是我以前高中的闹钟…虽然挺好听的…现在听着…感觉不太对,3,wanshioo,131212748
165,2018,10,2,稀饭前奏,0,vivi-suger,432411995
166,2018,10,1,喜欢,0,天越亮夜越黑,369782654
167,2018,10,1,开车听这歌，上坡像下坡！！,0,woo迪,1562169942
168,2018,9,30,大部分人看到radio可能反应是收音机📻  但是在程序员里  这不是单选按钮嘛[大哭],1,不听电音不舒服斯基,286227837
169,2018,9,26,只要燕姿一开口，所有一般抓耳的旋律都能提100分（顶锅盖跑）,1,用户277381598,277381598
170,2018,9,23,应该会喜欢另外一个男生吧,9,keystroke,99220196
171,2018,9,20,+1,1,Nickle丶丶,537398257
172,2018,9,18,"上厕所突然脑抽想起一句跟着radio，赶紧来查是啥歌。
感觉记忆力越来越差了，3分钟不管就能忘了这茬[流泪]",0,甜豆腐脑-,41525212
173,2018,9,16,初中听的歌，现在都已经大一了，觉得现在的自己就像是失去宝玉的贾宝玉，没有灵性了,4,银土Gintama,554076295
174,2018,9,8,五个字收割了一片人头,1,燃烧的麦田_Leo,2026506
175,2018,9,1,好久前,0,SamWANGRui,325778852
176,2018,8,25,这歌实在是好听 引起强烈舒适 收藏了,1,韬er,566922467
177,2018,8,23,最不希望孙燕姿的歌上抖音,22,限定小天-,1413597589
178,2018,8,20,2015-3-28 我在春茧,0,晓略略,622973341
179,2018,8,20,巧了巧了 我也是！,0,Hi峰,35514997
180,2018,8,19,天啊  好好听呐,0,vInCent哇,48926777
181,2018,8,17,听到就开心,2,Islandofcyril,48634536
182,2018,8,16,我也是,0,努力去见啵啵虎,418168054
183,2018,8,8,每次燕姿唱歌时眼里的光，说白了就是天使吧。,2,Lucas_____W,1533153928
184,2018,8,6,嗯,0,萌德的牙刷,93392886
185,2018,8,5,哈哈radio沦为弃子咯,0,极美欢庆,351351231
186,2018,8,5,哇竟然能看到同时喜欢孙燕姿莫文蔚张悬的人 喜欢你！,4,_诗芊,81037679
187,2018,8,5,漂浮群岛真是炸裂哎,2,9号天台,53103092
188,2018,8,5,什么鬼，她出的唱片除了翻唱从来都唱中文的啊,0,9号天台,53103092
189,2018,8,5,听着很开心,0,Islandofcyril,48634536
190,2018,8,3,[憨笑],1,毛毛虫0912,323067104
191,2018,7,30,20岁刚出头是男孩最穷的时候 20岁刚出头是女孩子最漂亮的时候 贫穷对我来说只是晚上吃馒头和吃牛排的区别 无损我的快乐 可当我爱上一个姑娘的时候 我才深深的感受到了什么是贫穷所带来的自卑.我只恨我自己，在最没有能力的年纪遇到了最想照顾一生的人。,1,社会你佩奇哥打屎你,1307447225
192,2018,7,23,燕姿，生日快乐啊[可爱][可爱][憨笑][憨笑],1,windbreaker风衣,1482000199
193,2018,7,23,生日快乐,0,小宝Alex,7550628
194,2018,7,22,喜欢得紧,1,Big穿山乙,368281366
195,2018,7,20,15年的那個暑假，在QQ炫舞建了一個舞團，認識了一群朋友，當時放的背景音樂里最喜歡這首。如今三年過去，朋友還在，聯繫也從未斷過，衹是大都各忙各的很少上游戲了，但會在節假日相聚。每次听這歌都會無比懷念當年的時光。網友亦是友，希望未來我們還一直是朋友，努力長大努力變好終有一天我們會相見❤,1,旧巷子的常青藤,604774417
196,2018,7,16,[爱心][爱心][爱心],0,成小姿S,84991554
197,2018,7,16,我在黄岛28路上,0,zlovestef,37262024
198,2018,7,15,有  现在正在城阳613路公交车上，要不要一块来扭一下[憨笑],1,王王王王大头,478754148
199,2018,7,10,[爱心][爱心][爱心],0,成小姿S,84991554
200,2018,6,30,玩炫舞听到的，在搜歌名的时候RIDO？不对，RIAO？不对不对。最后几个组合对了∠( ᐛ 」∠)＿好听,4,-guardian,136113959
201,2018,6,25,biu～biu～,4,暮至明,94756999
202,2018,6,21,前奏也太好听了吧！！！！！！,3,Anastasia_Shelley,105637092
203,2018,6,19,喜欢你 从一始终,4,卢涵雅的小时候,1460775486
204,2018,6,17,当时超喜欢超喜欢这首诶,1,君寻百目,265236291
205,2018,6,16,Σ(ﾟ∀ﾟﾉ)ﾉ好久没听都快忘了燕姿还有首radiO，莫名想笑,3,焦66666,254074207
206,2018,6,15,魏思涵？,0,BayMaxxxxxxxxxxxxxx,119682757
207,2018,6,14,突然随机到这首歌。想起刚出的时候，边看MV边听，觉得…………（逃）但是听多了觉得好带感！,0,喝果汁的皮卡皮,345257766
208,2018,6,13,我爱你  wsh  我会去找你的,0,温紫鸢,541046769
209,2018,6,13,前年CCTV音乐频道👌,3,老猫不吃糖,626642535
210,2018,6,11,那些快乐的两人yuo[大哭],1,AF358,1311460144
211,2018,6,8,～,0,JXCgd,364971934
212,2018,6,2,歌很好啊。,0,hikepl,445921712
213,2018,6,2,很惊讶的感觉 ,0,dadiogaosai,127038608
214,2018,6,1,不是另一个封面？,1,O_oHULLO,343829645
215,2018,5,30,觉得这首歌迷之好听,0,欲望把眼前的地板铺满呀,85679579
216,2018,5,27,fhhu,1,跳舞的梵谷yanzi,318974517
217,2018,5,27,ghjko,1,跳舞的梵谷yanzi,318974517
218,2018,5,27,",jjcjj",2,跳舞的梵谷yanzi,318974517
219,2018,5,22,"也是好听的啊
",0,辉仔Huiman,92679814
220,2018,5,21,很简单的,0,打野只会韩信,434991014
221,2018,5,21,韩信怎么玩,0,oh_siesie,86021476
222,2018,5,19,晚安,0,Provelife,258586644
223,2018,5,19,听到中间总忍不住想扭一扭[惊恐],1,-历历万乡--,111679039
224,2018,5,17,那你很早熟啊,0,孙燕姿i,580757445
225,2018,5,17,彼此彼此,0,孙燕姿i,580757445
226,2018,5,17,四年前有吗[大笑],0,孙燕姿i,580757445
227,2018,5,15,听着听着，就有让我耳朵惊喜,0,打野只会韩信,434991014
228,2018,5,13,孙燕姿,1,飯沒餾透,263738375
229,2018,5,13,你唱的这不是梦龙的嘛,0,DolceMelodramma,342371648
230,2018,5,12,saaa,1,跳舞的梵谷yanzi,318974517
231,2018,5,12,aaa,1,跳舞的梵谷yanzi,318974517
232,2018,5,12,best stefanie sun,1,跳舞的梵谷yanzi,318974517
233,2018,5,12,ai yanzi,1,跳舞的梵谷yanzi,318974517
234,2018,5,9,好吧看见了， 我再找找。,0,跳舞的克卜勒,122786310
235,2018,5,9,封面真的美哭了！,0,橘子上校,326722465
