index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,"2020,极美欢庆❤",0,FAKINGRID,380794258
2,2019,11,26,莎 比，新加坡人均gdp6万美元,0,VC水手,38928305
3,2019,11,14,如果我们能共同吟唱一首歌 💫,0,苑子潯的小号,1548957065
4,2019,11,13,哈哈哈哈哈哈哈哈,0,isNn丶,362158056
5,2019,11,13,2020等你❤️,0,isNn丶,362158056
6,2019,10,20,我经常会忘记，原来燕姿是外国人[大哭][大哭],2,大1术家,1346752910
7,2019,10,15,高中还在全班面前唱了这首歌，尴尬啊,2,goosyn,68391602
8,2019,10,3,哈哈哈哈一样！！,1,是Rita呀,407277313
9,2019,9,26,怎么这么好听？？？？,1,也不是猪只打呼,355734135
10,2019,9,17,只有我觉得这声音和这歌不搭吗[多多捂脸],2,雷火丸,48475543
11,2019,9,8,芭提雅人妖秀来的,2,秋居爱吃榴莲,121299997
12,2019,8,22,哈哈哈哈哈哈哈我刚刚！,2,W__ill,321272094
13,2019,8,15,ASEAN 是东盟吧。。。 而且这歌就是东盟四十周年庆典主题曲 翻译成亚洲是不是？？？,0,1646--,1391137970
14,2019,8,14,无聊翻到的，但我还是想说一句，Asean是东盟，不是亚洲…（或许我有点杠）,0,像不像轻浮的人,270701976
15,2019,8,9,高音惊艳了,1,Islandofcyril,48634536
16,2019,7,31,对,0,Lpogdlkekiey黄力羿烊_真名黄明,509556060
17,2019,7,31,好听,0,Lpogdlkekiey黄力羿烊_真名黄明,509556060
18,2019,7,31,牛逼了,0,Lpogdlkekiey黄力羿烊_真名黄明,509556060
19,2019,7,31,我爱她呜呜呜呜呜呜呜呜呜我爱孙燕姿一辈子,1,漂浮群岛et_moi,101098936
20,2019,7,24,这首歌真的太冷了,4,苑子潯的小号,1548957065
21,2019,7,23,这个时候的声音就是年轻啊,0,可木其,277747948
22,2019,7,23,永远记得是您给我勇气参加过小比赛,1,左撇子笨蛋,17493502
23,2019,7,16,个人认为有点翻译错误，首先，ten different lands应该指的是东盟10个成员国，不至于五湖四海；其次，ASEAN指的是东盟不是亚洲。,4,光荣永生,1325890970
24,2019,7,15,刚上大学听到的燕姿超棒的一首,1,错生不错过,422192437
