index,year,month,day,content,likecount,nickname,user_id
1,2019,11,3,王菲唱的很好，但是这首歌不适合用中文，副歌部分显得很凌乱，英文版就流畅很多,0,未-完-成,494969845
2,2019,9,27,然而，燕姿这个版本比录音室版，比起原唱，比我这十年听过的所有音乐，它一直毫无动摇的排在第一位，任何风格，任何音乐都无法撼动它在我心中的地位,1,百溪流,256052963
3,2019,8,27,冷战！！,0,Sudelula,39835876
4,2019,6,4,现场也是无敌赞,2,Black丶Cherry,14624296
5,2019,6,3,她是live，现场版的，多评论的在专辑里面,0,十三-是燕姿啊,1732072007
6,2019,5,14,怀念那个黄金年代,0,format_N,9139549
7,2019,4,21,个人觉得比原唱好听[可爱],2,万物生cici,100031969
8,2019,4,16,你才不是只能去读书呢,0,怪你过分美丽溶,329227816
9,2019,4,8,超喜欢哦，燕姿,0,介鸠,1299398814
10,2019,3,29,冷战原版的英文歌,0,余厝,133932279
11,2019,3,27,冷战?,0,座瓶水是我惜可,253248732
12,2019,3,14,哈哈 好像是王菲翻唱的,0,wyh爱喝酸奶,385588235
13,2019,3,4,加油,0,尺昂,286459577
14,2019,3,4,2019.3.4 02:32 103,0,myleslie-,394880094
15,2019,2,16,一个考研失败的人听着舒服多了,1,我是夏凉凉,530449274
16,2019,1,29,晚安,0,121个逸儿,129095979
17,2019,1,11,真的是太爱这首了❤️,0,你好燕姿,550973036
18,2019,1,7,这首前面真的不好唱啊,0,currencybao,258261214
19,2018,10,29,什么时候才会还有巡回演唱会呢,0,钰云来,73411919
20,2018,10,27,这么好听的一首歌评论这么少？！？！,0,浮力森林3,581434241
21,2018,10,14,王菲的冷战啊！没想到还有英文版,0,Quanling君,428295306
22,2018,10,7,[可爱]姿媽唱英文歌是另一番味道，喜歡。,2,鄒爸比,85768778
23,2018,9,15,唱英文歌真性感,3,星岛的妳,48746821
24,2018,9,12,结婚淡出了而已，当年唯一能和周杰伦抗衡的人。。把王力宏张惠妹压着打,5,彼得潘与狼,261245021
