index,year,month,day,content,likecount,nickname,user_id
1,2019,11,20,太牛逼了,0,sunjiahang,375838001
2,2019,10,24,我太想她啦,0,别跟我说话看着烦,96118978
3,2019,8,29,这是有多大的勇气才能写出这样的歌啊,0,L温一壶月光下酒H,293511544
4,2019,8,3,你真没素质,2,肖笑宇居然被注册了,345279741
5,2019,7,29,因为明日之子又来重温一遍燕子,0,七莳夏目-,588284345
6,2019,7,23,摩托罗拉V8手机来电音[可爱],0,If_Days,135855163
7,2019,7,12,王菲不是原版哦，只是拿了曲编了词，原版是一个外国歌手。,0,rfmjs,1357855390
8,2019,7,4,最喜欢这个版本，没有之一,0,大大大少,100821550
9,2019,6,26,咋,0,H_ct,498017170
10,2019,6,25,@H_ct ,0,Timinging,279550359
11,2019,6,11,好听[憨笑],0,卑劣志人,416361685
12,2019,5,7,为什么没火,0,天天年年平日快乐,1331454641
13,2019,4,30,三版风格完全不同好吧！,0,苍绿965,120167972
14,2019,4,26,每次都会听,0,自愈1826,444017122
15,2019,4,12,耳聋呗，怪谁？,6,stay-hungry-stay-foolish555,310511803
16,2019,4,12,孙燕姿自己都是菲佣，谢谢,8,stay-hungry-stay-foolish555,310511803
17,2019,3,27,冷战?,0,座瓶水是我惜可,253248732
18,2019,3,6,years go by,1,四流咸鱼喵,358796064
19,2019,2,24,嘻嘻，又找到一首好歌,0,临落车,11851353
20,2019,2,5,希望这首歌永永远远不要火，永永远远做我的私藏，我们的私藏……,4,旧梦重知,1385586061
21,2019,1,23,从2011年开始的第一部智能手机开始，这首歌的副歌部分就是我的手机铃声,0,hanimal,269609516
22,2019,1,22,原唱始终没有走出困顿挣扎的一生 要想获得内心的自由 光有决心是不足够的 还得有智慧,0,圆麦麦圆圆,558585694
23,2018,12,26,王菲的冷战,0,努力靠谱好青年,325689476
24,2018,12,14,I hear my voice ,0,蜜蜂Ws,321213789
25,2018,12,6,各有千秋，王菲和我姿唱的都很好听,0,Stefci,289753945
26,2018,12,6,燕姿的英文好像中国老师教的,0,云升大泽,20314440
27,2018,11,28,以前听燕姿翻唱只觉得很动人，今天才知道这歌背后的悲伤故事…,0,阿朝_-,46675672
28,2018,11,17,不知道这歌为啥没火,0,为了忘却的开始,569988027
29,2018,10,13,有点难过,0,kasdv,136445624
30,2018,10,3,她可真动人啊,0,chasingstarrrs,117358822
31,2018,9,30,日推,0,宓妃的小跟班i,329740380
32,2018,9,15,搞不懂在这里撕王菲干嘛，燕姿都说她是王菲的粉了。就像王菲翻唱邓丽君的歌，你们也去王菲的翻唱评论区撕邓？,5,一只很酷的Tiny,267089065
33,2018,9,3,搞事？恕我直言我觉得你跟shit也没法比[哀伤],5,我还是自习去了,513562276
34,2018,8,26,[爱心],0,别再奋力逞强,122065677
35,2018,8,6,听歌识曲自己哼出来的举个爪~[亲亲],0,本王不是喵,98432748
36,2018,8,4,🎧,0,_诗芊,81037679
37,2018,7,25,应该更多的倾听你才对啊,0,Will---J,84766767
38,2018,6,10,果然燕姿的每一首歌都好听。,0,我想打个啊湫,110331701
39,2018,6,7,好喇 当然偶也4!,0,-KeTsu-,61904310
40,2018,6,7,当时就听啦 还是喜翻中文版ovo,0,你不哄我是吗,263554298
41,2018,6,7,@你不哄我是吗 oh!wow!,0,-KeTsu-,61904310
42,2018,5,1,"多少次深夜辗转反侧
想着自己该以什么方式引起她的注意

事实上，直接表达就好了，想那么多嘛呢",1,想换个呢称,87509404
43,2018,4,28,好听,0,O_oHULLO,343829645
44,2018,4,24,🎧,0,_诗芊,81037679
45,2018,4,21,孙燕姿唱的很有味道,0,小新nna,5778500
46,2018,4,15,没有999+你们都在听什么歌???（x_x；）,0,SEEK170609,503420942
47,2018,4,4,这首翻唱是燕姿最被低估的一首歌，没有之一。,0,凌晨Jce,115773497
48,2018,3,16,热评里竟然还会有这些这样的评论,1,厂啊厂_,574710364
49,2018,3,9,恕我直言，同为菲粉，你真给王菲丢脸。,3,0825151532343,287008590
50,2018,2,19,[可爱],0,惆悵客_,96944993
51,2018,2,7, 哇哇哇,0,fadedlostandfound,347075980
52,2018,2,6,拿到了，哈哈[亲亲],0,不倒的翁wa,56655266
53,2018,2,6,这发音，感觉好难,0,fadedlostandfound,347075980
54,2018,2,6,先恭喜你，然后坐等，哈哈,0,fadedlostandfound,347075980
55,2018,2,6,歌词没有词曲作者。,0,红泉路上,52644782
56,2018,2,5,拿到offer我就发红包[拜][拜][拜],1,不倒的翁wa,56655266
57,2018,1,21,有韵味但还没到收藏的程度,0,RoseateFlamingo,47327750
58,2017,12,24,从 here~开始，情绪开始激动，  到casualty爆发 ，就算前面silent了那么长时间，总算是有了一个发泄的出口，再到后来释怀的silent，这是她唱给我的感觉。而之前王的版本，却是真的silent all these song，压抑的基调，不同的人不同的演绎不同的解读。不撕,6,sherry0102034,67703859
59,2017,12,18,"简简单单，平平淡淡才是真。
沉默这些年，与世无争，只愿顺利安好踏实。[憨笑][憨笑]",1,丶Transparence,384611008
60,2017,12,17,对,0,xiaowss1993,338800894
61,2017,12,17,助攻999,0,xiaowss1993,338800894
62,2017,12,15,真好听。,0,AIlennolan,467487362
63,2017,12,9,好听☺️,0,十万光年那么远,496675056
64,2017,11,29,孙燕姿的英文真的很有感觉,1,韩韩韩老板,438304792
65,2017,11,25,每次听到都忍不住要多听几遍,0,aowinky,114854869
66,2017,11,14,燕姿这首歌这么棒为什么评论那么少？？！[发怒][发怒],1,孑然一身摇曳成幻影,282303734
67,2017,11,11,太TM好听了。,1,小墨的歌,357307538
68,2017,11,6,菲的版本听的是心碎，姿的版本是倔强破碎。,0,Rae很想你,474491638
69,2017,11,4,原唱是Tori Amos？,2,解构公园巡游者,260248266
70,2017,11,3,这里是孙燕姿底下，我没去搅事，也请你自重,1,feiffffelixxxxxlin,336271654
71,2017,11,3,好听啊！为什么还没有火起来！,0,冧歌,480621357
