index,year,month,day,content,likecount,nickname,user_id
1,2019,10,13,小姿好可爱！,0,墜落橘子,86574431
2,2019,9,23,单身挺好嗷,0,我放的屁逗是香的不信你闻,23149297
3,2019,9,2,太可爱了我们姿姿呜呜呜,0,漂浮群岛et_moi,101098936
4,2019,8,9,我妒忌,0,幸福是因为互相依靠,263108448
5,2019,8,9,那你啥意思啊,0,葡萄味的开水,1884465287
6,2019,8,8,嫉妒个鬼,0,幸福是因为互相依靠,263108448
7,2019,8,8,你嫉妒啊,0,葡萄味的开水,1884465287
8,2019,8,7,不能[吐舌],0,幸福是因为互相依靠,263108448
9,2019,8,6,26岁的老阿姨了 能不能找到合适的老头子,1,葡萄味的开水,1884465287
10,2019,7,22,太可爱了😊瞬间萌化,0,猫儿志在飞四方,396457856
11,2019,3,24,很好 前排留名,0,已成为一座想念的博物馆,366314939
12,2019,2,28,也算吧，因为最早是燕姿写给郑秀文的好像。,2,食梦动物_,441866810
13,2018,12,1,来人啊，给朕翻译翻译,0,齐天小怪怪,127848620
14,2018,11,19,我是说做滚动歌词的朋友英语听力不及格了啦,0,DoNotRecogniseMe,49401565
15,2018,11,19,燕姿词曲~,0,麦冬两钱,311798486
16,2018,11,18,谁听写的歌词，我fo了,0,DoNotRecogniseMe,49401565
17,2018,11,11,心情不好的时候就来听燕姿的live，搞怪的，可爱的，洒脱的，深情的Colorful yanzi！等你噗嗤一声笑出来，一切就都好了[呲牙][呲牙][呲牙],1,0StefSun,304663132
18,2018,10,26,常听常新[亲亲],1,豆花DOUHUA,69401322
19,2018,10,9,所以今天也要唱这首歌给给～给给给～给给给～给你们听，Someone～～～ （反复听了几遍，给x9，包对）,6,梅西疏影,247369807
20,2018,8,3,🎧,0,_诗芊,81037679
21,2018,7,22,激动的说都不会话了,0,Kepler-_-,300077987
22,2018,5,6,很喜欢燕姿的洒脱可爱！！,0,Erika_Linder,305117600
23,2018,4,29,燕姿的第一首自己创作的歌,3,莫嫌荦确坡头路,302060040
24,2018,4,27,嫩的叻,0,訾央伪装小漠漠,247480354
25,2018,1,30,"gay,gay,gay你们听",17,赵广阔名称已被占用,111795343
26,2018,1,24,[色],0,母鸡哇啦1,129993545
27,2017,12,24,someone孙燕姿最佳创作,3,气氛来了就要醉,308485041
28,2017,12,23,好听好听超好听！,0,梦游姿,555864141
29,2017,12,5,好好好好好好好好喜欢你，,3,我有努力和这个世界变熟,394296679
30,2017,12,4,这音色果然无敌了，这小转音,4,lincyo,96365068
31,2017,11,20,好听[憨笑][憨笑][憨笑],0,kepler水禅钧,288843497
32,2017,11,12,好好好好好爱你哦,1,-羊之一,88871813
33,2017,11,10,[星星][星星][星星][星星],0,丼眠,3418384
34,2017,10,18,找到这里的都是真爱粉，跳舞的梵谷，快出了,9,跳舞的克卜勒,122786310
35,2017,10,18,打卡,0,跳舞的克卜勒,122786310
36,2017,10,15,词曲都是燕姿的,3,茂林二哥,354069064
37,2017,9,14,好好好好好好好好好好可爱[憨笑],2,竟然有人抢了我的昵称,74685696
38,2017,8,22,好好好好好好好好好好好好喜欢😘,2,且忧当生,120718249
39,2017,8,1,总感觉这才是孙燕姿真正的风格~,26,XX_WOOBOY,114091938
40,2017,7,29,这场演唱会很多歌都十分好听。,2,跳舞的克卜勒,122786310
41,2017,7,14,💙,1,rafanie,506647664
42,2017,7,6,动态里有个加号,1,Le_mot-phoebus,302515560
43,2017,7,6,才女姿媽[亲亲],0,鄒爸比,85768778
44,2017,7,3,Mark,0,module-exports,253681125
45,2017,6,23,好好好好好好好好你唱啊,0,crazielily,248313240
46,2017,6,19,真正喜欢这歌的人才能找到这里,4,甲壳猫1704,455487789
47,2017,6,1,好好好好好听哦,0,Ruigenegy,126238341
48,2017,5,22,还还还还还还还还还还还还还还还还还还还不错,6,刀锋_雪狼,109375104
49,2017,5,14,开头姿妈好可可可可可可可可可爱,11,麦格哇家爱里里莫爱哇,109733203
50,2017,5,8,好好好好好好可爱,1,永远有多远灬,346081467
51,2017,5,3,好的，在听喔！！,0,阿Dar,94482447
