index,year,month,day,content,likecount,nickname,user_id
1,2019,11,3,给郑秀文唱过,0,kidult凡,275854908
2,2019,10,2,好长时间没有认认真真的听燕姿的歌了,5,Boogaloo木子_EnjoyDancingCrew,374158428
3,2019,8,26,随机点播晚安,0,樱花莺语,490189846
4,2019,8,15,真好听✔,0,也不是猪只打呼,355734135
5,2019,8,5,太好听了叭,0,方方圆圆嘟嘟,556138588
6,2019,8,5,还有venus,0,花莫笑丶,514517742
7,2019,8,5,这首歌以前不知道循环了多少次,1,花莫笑丶,514517742
8,2019,7,23,今天要把老歌都刷一遍，不上班了哼！,0,Durrat,61051105
9,2019,7,9,歌词好多填错了……,1,-鱼情未了-,52134318
10,2019,6,9,他们成就了她，还是磨灭了她，要更好喔,0,桃太郎了了,590041986
11,2019,6,9,这么有品位,3,桃太郎了了,590041986
12,2019,5,24,郑秀文,0,vInCent哇,48926777
13,2019,5,8,我发现了什么神仙宝藏,2,一颗芝麻豆儿,428000842
14,2019,3,31,这是姿妈十八岁的作品吧，这首曲好像还给哪个女明星唱过来着,4,枯木-不朽,373801319
15,2019,2,16,孙燕姿的每首歌的编曲都很丰富，所以才耐听吧,4,Nembutal,285968582
16,2019,1,15,背书到绝望啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,2,学学学学习学习滚去学习,493577177
17,2019,1,11,这一版的翻译真不错,2,简单的野蛮生长,1408040926
18,2019,1,2,希望2019 燕姿和 姿迷都开开心心， 如愿以偿。 ,1,孙燕姿的小迷妹啊,327977684
19,2018,12,9,这么纯洁地表达，像燕姿一样,2,风吹吹墙倒倒人立立,248112948
20,2018,11,8,老了，老了，,0,晴天__,5558392
21,2018,9,12,老了,0,燕姿狂人,338302779
22,2018,8,3,👏🏻,0,_诗芊,81037679
23,2018,7,16,好歌的评判标准不在于评论的多少,0,佳瑶stef,307806566
24,2018,7,16,cool,0,佳瑶stef,307806566
25,2018,7,7,ju好听,0,Benjamin170721,546841788
26,2018,5,22,很有态度的一首歌 自己词曲。,2,辉仔Huiman,92679814
27,2018,4,1,精辟,0,朱一金,626735320
28,2018,1,6,爱你我的syz,1,掉进糖果洞,498775747
29,2018,1,3,好听,0,风中拾遗,283224068
30,2017,12,13,你十八岁的第一首歌啊，孙燕姿,3,不愿透露姓名的知情人,632967018
31,2017,11,25,妈的，好好听[奸笑],0,藤子小小,259233057
32,2017,11,24,超好听,0,yourtinyairport,482087170
33,2017,11,19,打call,0,少年刘贺之烦恼,72066549
34,2017,11,8,蛮好听的啊[奸笑],0,藤子小小,259233057
35,2017,11,8,喜欢英文版[奸笑],0,藤子小小,259233057
36,2017,11,1,[跳舞][跳舞][跳舞],0,Candyelfffff,120145529
37,2017,10,31,喜欢😍,0,树不白,113497619
38,2017,10,31,对对对,1,林守乐,55243746
