index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,这张专我有磁带的，当年我太小了听不懂，现在再听觉得我姿好有品味！,0,GringottsL,557843151
2,2019,11,24,每过一段时间都要翻这首歌出来听[大笑],0,梵谷不跳舞,132774418
3,2019,11,22,单曲循环中,0,雨天遇见隐形人,53055789
4,2019,11,22,好听,0,依然0未完成,1947737582
5,2019,11,22,你的头像不错[大哭][大哭],0,難得一堅,645761304
6,2019,11,21,这首歌还没999+？,0,雨天遇见隐形人,53055789
7,2019,11,13,嘻嘻(♡˙︶˙♡),0,愿君依旧笑,559237310
8,2019,11,12,[多多可怜][多多大笑],0,zsd655,1856890866
9,2019,11,12,回头仔细看着这首歌的歌词，经历过重大感情变故，现在的我听懂了这首歌。,0,吴珊珊Allen,18379897
10,2019,11,12,那些年，她唱这首歌给我听。现在，我们各有自己的家庭。祝福她！,1,萌神Kary,1502082941
11,2019,11,10,sometimes  love just ain't enough[呲牙],0,o我要的幸福_,356665399
12,2019,11,9,谁能找到吉他谱,0,PEPPER-DADDY,1653893384
13,2019,11,8,There beside you where i used to lay ,0,风之清野,45223464
14,2019,11,4,你知道自己的心不可信有多可悲 为什么还总是学不乖。,0,DacoZ,506872244
15,2019,10,31,这首歌只听孙燕姿版本的,0,绿水悠悠1708,562044240
16,2019,10,31,顶,0,DT燕姿,470003673
17,2019,10,31, 过1000,0,DT燕姿,470003673
18,2019,10,31,我真的好爱这首,1,DT燕姿,470003673
19,2019,10,29,以前是听不懂,0,Islandofcyril,48634536
20,2019,10,28,[亲亲]好听,0,郭大豆豆,261848434
21,2019,10,24,好听,0,sunsuntay,288918787
22,2019,10,23,这么好听怎么那么少评论呢，听这张专辑仿佛回到十几年前，小随声听吱扭吱扭播磁带的时光，那时候真好，没有烦恼,0,蜗牛蜗牛极速,405216967
23,2019,10,21,多出英文歌吧  silent all these years也很耐听,0,废材将军,1781883997
24,2019,10,18,And it's sad when you know it's your heart that you can't trust. 是我最爱的一句歌词：我从不怀疑自己的真心，同时我深刻地了解真心本就瞬息万变，这真让人沮丧。,5,潇羊的羊才不是这只羊,100457642
25,2019,10,18,今天是小叶出差的第一天，想他。,0,芝麻子子,111043602
26,2019,10,17,[流泪][流泪]还是没人，我还是要吹，好听死了！！！,0,新昵称还没想好,67339684
27,2019,10,15,2002年就追的老歌啦～百听不厌,0,彭富贵,112539826
28,2019,10,14,音乐真是个奇妙的东西，多年以后，重新听起这首歌，不自然就想起很多往事，仿佛时光回到了过去，而那些美好的片段也历历在目。,1,别了晚风,268654679
29,2019,10,11,那么好听,1,kendy的风筝,362892899
30,2019,10,11,这首咋没有999,0,kendy的风筝,362892899
