index,year,month,day,content,likecount,nickname,user_id
1,2019,11,2,好听,0,我是甲天下,30479889
2,2019,10,5,一样鸭！,0,燕姿的一个小小粉丝,547938711
3,2019,9,29,欢迎来我们大理[可爱][可爱],0,牙牙在乐,275052344
4,2019,9,29,生活真的太难了 成年人的世界压得我喘不过气，打开网易云循环燕姿的歌，还好还好。也许明天会更好吧,2,牙牙在乐,275052344
5,2019,9,26,我知道 我知道 ,0,心愿无限大_,1296779651
6,2019,9,26,Stefanie,0,PrinsYi,565718520
7,2019,9,21,同00 爱燕姿❤,0,彩虹金刚刚刚刚,1401962569
8,2019,8,30,作为一个00后，真的好爱孙燕姿的歌[流泪],2,凉夜横塘z,1727191527
9,2019,7,26,心里的恐惧有时多过坚强，有你的歌声我不再煎熬，谢谢燕姿。,2,酷酷的阿姿,261060427
10,2019,7,26,写给粉丝的歌，很耐听。,0,酷酷的阿姿,261060427
11,2019,7,23,燕姿生日快乐[呲牙],2,秃秃秃呀,343575467
12,2019,7,23,我也想回家躺一年啊，社会这个锤子,0,Durrat,61051105
13,2019,7,9,哈哈哈哈哈(击掌,0,Stefanie的小熊,389165231
14,2019,7,8,你也是哈哈哈哈哈,0,暖心甜y,540336727
15,2019,7,8,真爱粉,0,Stefanie的小熊,389165231
16,2019,7,8,哈哈哈哈哈爱了,0,暖心甜y,540336727
17,2019,7,8,这是一首温暖我心灵的歌，好爱,0,暖心甜y,540336727
18,2019,7,8,燕姿我爱你(ღ♡‿♡ღ),0,暖心甜y,540336727
19,2019,6,22,小楊同学 加油吧 不也就100来天  相信自己,0,杨羊羊羊羊羊羊羊羊羊楊,414915454
20,2019,6,4,一遍爱上了,0,妳r912,1301160674
21,2019,5,15,在去大理的火车上听到这首，那种感觉真的很棒,0,SDY丶,301842823
22,2019,5,15,有你我不再难熬,0,DT燕姿,470003673
23,2019,5,5,哈罗，I am Stefanie,0,音音乐乐哆RUAI咪,129564873
24,2019,4,30,yanzi是所有感动,1,大琦190417,1827243879
25,2019,4,23,加油哦,0,Devotiontome,545406421
26,2019,3,23,有时候就是单纯的不想上班,2,胖哈二橘,130287904
27,2019,3,8,大爱燕姿,0,爱姿患者,376450780
28,2019,1,19,最爱燕姿[憨笑],0,清清的心,286859891
29,2019,1,6,就因为燕姿我的英文名也要叫Stefanie啦！,3,Stefanie的小熊,389165231
30,2018,12,16,考研那年冬天，一个人的自习室,2,satoshi321,61290579
31,2018,11,23,我补习的那一年，真的好累，这首歌真给了太多太多动力,1,Fix_Y,267329895
32,2018,11,19,感动感动,0,湖人死忠,7776579
33,2018,11,16,我也是一样的,0,用户1565762831,1565762831
34,2018,11,16,我意识恐惧很坚强,0,用户1565762831,1565762831
35,2018,11,15,[大哭],0,隐形姿,97910887
36,2018,11,15,实在不想评论250[惶恐],1,我最萌17,449147743
37,2018,11,15,没道理，这歌评论249？？？,1,我最萌17,449147743
38,2018,11,6,当年在事业巅峰选择休息一年，这样的勇气很难得。现在又是宝妈了，等你回来，燕姿❤,2,用户277381598,277381598
39,2018,10,26,心里的恐惧有时多过坚强,1,豆花DOUHUA,69401322
40,2018,10,15,tomorrow will be better,1,帐号已注销,1465236524
41,2018,10,4,我好想你，zzh,0,女子若江南,32667857
42,2018,10,4,我也是一样的孤独的女人,0,用户1565762831,1565762831
43,2018,9,17,Stefanie Sun,0,Azure--t,1404671315
44,2018,8,14,满满大学的回忆。,2,deechann,269493993
45,2018,8,4,🎧,0,_诗芊,81037679
46,2018,7,8,不要想太多了 凡汐 你能渡过这些风雨的 你不是说你总有一天回去见燕姿吗……会去的 总会去的 坚持...不要放弃希望吧...虽然有时候失望大于希望...那就想想她吧...会过去的。,3,Erika_Linder,305117600
47,2018,7,8,没有人会真正理解你 梦的道路上总是孤独的,1,Erika_Linder,305117600
48,2018,6,29,很孤独...,1,温紫鸢,541046769
49,2018,6,21,最爱孙燕姿,1,跳舞的梵谷yanzi,318974517
50,2018,6,13,猴猴听啊,0,Keplerrrr__,366619926
51,2018,5,23,stefanie😘,0,Qcerkay,253235928
52,2018,5,21,评论真少，歌真好听，心真痛,4,安菲尔德的横梁,352350976
53,2018,5,19,我也有爱姿病,4,麦丽素0723,544048498
54,2018,5,19,超级喜欢,2,麦丽素0723,544048498
55,2018,5,16,安静的声音，痛苦的回忆。。。你还好么？我这辈子最深爱的女人,1,tameiki0206,352353222
56,2018,4,16,评论也太少了吧。,0,木林雨季,15225127
57,2018,4,16,陌生人的喧闹，一句都听不到,0,加勒比海猫007,428936146
58,2018,4,9,[爱心],0,撩动的羊毛,417406802
59,2018,3,31,燕姿的很多歌都会有感触,1,未晴烟雨,121825275
60,2018,3,16,竟然不是李雷和韩梅梅？！,1,张小野123,246138377
61,2018,3,12,从现在开始把所有燕姿的歌评论一遍,1,这回绝不坑,305457330
62,2018,3,6,我有爱姿病！,3,狂野丶cc,368665008
63,2018,3,3,燕姿说，歌词里的“你”，就是我们，有“爱姿病”的一群疯子。,4,BlankSpace_Stylee,426322744
64,2018,1,26,Stefanie Sun,1,拾玖的天,265200192
65,2018,1,8,真好听( •̀∀•́ )比新专辑还好听……声音格外清澈 就喜欢学习的时候听燕姿的歌哈哈哈,2,红豆味的绿豆糕,402246423
66,2018,1,1,Stefanie,0,H小流氓,297607033
67,2017,12,31,最爱的歌,0,反叛的银时,570490151
68,2017,12,29,真正做的相互理解 真的很难啊,1,-不喝汽水,280154211
69,2017,12,10,我知道，也知道，心里的恐惧有时候多过坚强，我知道，我知道，有你明天会更好。超级爱的一首歌，温暖的声音，充满力量的那股倔强，总能瞬间治愈我。,1,Seefan攒人品,7571236
70,2017,12,8,"分享歌词：
我知道 我知道，也许明天会更好。",1,幸福是因为互相依靠,263108448
71,2017,12,3,记得燕姿有个访问，这么打招呼的，hello，I'm Stefanie，然后就自己郑重的起了自己的英文名，而且很盼望别人称呼英文名～,2,Staceyisyy,629476413
72,2017,11,21,❤❤❤,3,就一姿迷,257349522
73,2017,11,21,比心比心[爱心],0,夏明媚,248180663
74,2017,11,19,我的高中时光呀,1,夏屋渠渠兮,384586652
75,2017,11,18,因为网易云没有这首歌,0,古道巷陌,55159904
76,2017,11,18,没道理评论这么少的呀,1,Stefanie_kf,260396530
77,2017,11,17,最近迷恋这首歌和《逃亡》 鼓励着我  遇到困难不要害怕,5,StockholmLover0924,288862976
78,2017,11,17,年轻时的声音格外清澈,0,StockholmLover0924,288862976
79,2017,11,17,心里的恐惧有时多过坚强,0,StockholmLover0924,288862976
80,2017,11,14,喜悦后的悲伤，一个人的勇敢。我知道，我自己知道就好,1,阿波罗的柯莱蒂,645962367
81,2017,11,11,滴,0,莉莉莉莉莉莉爱我,312575447
82,2017,11,10,我听,0,vnaty,296476273
83,2017,11,1,好听，比新专好听，就是没什么人听[汗],2,我不行我不上我就哔哔,274446301
84,2017,10,25,你是在我自己都不爱自己的时候出现的，让我觉得自己值得被爱，我的自信心是你给的，笃定也是你给的，只要你走在我的前面，我就觉得未来总有一天走得到 🍓,3,就是爱杰伦哥哥呀,126260285
85,2017,10,23,每次听到就想起了点播台点歌的岁月，十多年了，现在想想那时是多么的无忧无虑啊！,1,pengyuan1990,57469943
86,2017,10,18,嗯，还在坚持，无悔青春，高三加油！,0,拾玖的天,265200192
87,2017,10,18,每次都会不经意哼起这首,0,小甜甜甜甜,32688970
88,2017,10,14,爱姿,0,姿意燕为,263726012
89,2017,10,8,从她出道开始就喜欢她，曾经考大学的动力也是她，用Walkman 听烂的卡带，后来换成CD，再到大学的mp3，2014年的工体演唱会，去年的青岛演唱会，这个瘦骨嶙峋的女孩一路陪伴我到现在…喜欢她的纯粹简单，今天又来温这首歌，给自己力量,9,小特家的吖头,45034450
90,2017,10,7,[爱心][爱心],0,一格一格一格一格格,504443450
91,2017,10,7,大二啦。十年。,3,麋鹿_先森,466391229
92,2017,10,6,怎么才这么点评论啊,0,LordBY,274953492
93,2017,10,2,燕姿的英文名。,0,麋鹿_先森,466391229
94,2017,9,24,加油加油加油,0,feifeii13,309479010
95,2017,9,23,顶,1,番茄喋喋,77399247
96,2017,9,17,还有98天 不顾一切的跑 向前冲吧,2,洧川以南,298278804
97,2017,9,13,女神,0,我有努力和这个世界变熟,394296679
98,2017,9,13,"第二个会写的英文名字 第一个是我小时候的名字 Ben 
第二首最喜欢的十三的歌 第一个是真的
共勉吧",1,松田启,278186962
99,2017,9,6,最后一场赛跑，他开始垫脚,0,远辰170509,482662464
100,2017,8,28,stefan,0,青鸟芝麻,512810272
101,2017,8,22,我女神,0,举起手来跟我一起摇摆,78132797
102,2017,8,14,我知道，心里的恐惧有时多过坚强，认清恐惧，拥抱他，再继续向前,2,0水蓝冰0,482857897
103,2017,8,14,这首歌怎么这么少的人啊,1,入须归,545543003
104,2017,8,13,好多姿迷，报个到，为咩在我心里这些歌都不是冷门？。。。,0,0水蓝冰0,482857897
105,2017,8,10,才184啊,0,小帅哥有前途,61215195
106,2017,8,2,对孙燕姿的一切都不熟悉，只是她的歌陪了我太多时候。从初一第一次听到《遇见》到现在大三了，时间不久，也就八年,3,一格一格一格一格格,504443450
107,2017,8,2,stefanie,1,Z小柒的信箱,414697675
108,2017,8,1,[爱心],0,大大大雪饼呀,362993190
109,2017,7,29,这首歌这么好听！怎么才这点评论！我不服！[发怒][发怒][发怒],1,别多想喝一杯吧,101108952
110,2017,7,23,[嘴唇]生日快乐呀燕姿,1,我姿态略萌,111719375
111,2017,7,23,大家好 我才是热评,0,xyaoer,52796441
112,2017,7,23,燕姿生日快乐[蛋糕][蛋糕],1,星星和烟火谁会先熄灭,351216208
113,2017,7,22,好听,0,海平平儿,251817046
114,2017,7,5,我从初二一直到现在，最喜欢的女歌手，2001年到现在，16年了，中学陪我听燕姿，给我买燕姿原版磁带的那个他，跟我的青春一起都没了。,5,ps小多啦,64954733
115,2017,7,3,很美好,2,姿意燕为,263726012
116,2017,7,3,我从小学五年级到现在毕业工作一年多了  不是死忠粉 只是单纯的喜欢她的人 她的声音,2,遇见爱姿病患者,288599760
117,2017,7,3,我姿,0,motorcycles,283973423
118,2017,6,29,Stefanie❤️,1,新世纪傲娇少年杨铁柱,32645045
119,2017,6,23,一个人的勇敢 能和谁分享,1,像一条河,133591107
120,2017,6,23,站在最顶端上 却失去光芒,0,像一条河,133591107
121,2017,6,23,爱姿,1,姿意燕为,263726012
122,2017,6,23,姿迷打卡，十五年脑残粉,3,孙燕姿你是光芒果,77464742
123,2017,6,23,滴,0,孙家次女,478048749
124,2017,6,20,你是我们幸福的答案[爱心],0,小梅蕾黛丝,378404999
125,2017,6,20,爱姿,0,姿意燕为,263726012
126,2017,6,20,爱姿,0,姿意燕为,263726012
127,2017,6,19,爱姿,1,姿意燕为,263726012
128,2017,6,18,[爱心],0,历历荔荔,324900983
129,2017,6,16,爱姿,1,姿意燕为,263726012
130,2017,6,13,同感，我从初二到现在大二,1,姿意燕为,263726012
131,2017,6,13,爱姿,2,姿意燕为,263726012
132,2017,6,11,扎铁了 心肝,0,Terist,82279394
133,2017,6,11,过分了啊老铁,0,弥海砂Sherry,91628568
134,2017,6,10,爱姿,1,姿意燕为,263726012
135,2017,6,9,这17年，感谢有燕姿，见证了成长的足迹，相信是很多人的重复人生，每次沮丧或鼓励，都暖在心坎。爱燕姿的人很多，而我只是其中一个。就这样，爱了，17年。,4,小小小流氓呀,265037354
136,2017,6,9,好像有某种魔力，不管我在什么年龄，拥有怎样的心情，都能从燕姿的歌当中找到共鸣、慰藉以及鼓励。高考前从《青春无极限》获得力量;大学时经历异地恋每每听到《爱情证书》都哭得不行;毕业后分手，从破碎的感情里走出来，把《天使的指纹》翻来覆去地听;工作后不断面对挑战，似乎从《银泰》描写的故事里,3,小小小流氓呀,265037354
137,2017,6,9,出道十七周年，爱你十二年了，还会继续爱下去[憨笑][憨笑][憨笑],3,小小小流氓呀,265037354
138,2017,6,9,为啥评论这么少[撇嘴]不服,1,小小小流氓呀,265037354
139,2017,6,9,爱爱爱,0,达浪不浪,6758822
140,2017,6,8,因为你才坚持。,0,于帅楠,250764305
141,2017,6,8,爱姿,1,姿意燕为,263726012
142,2017,6,6,爱姿,1,姿意燕为,263726012
143,2017,6,6,爱姿,1,姿意燕为,263726012
144,2017,6,4,"白夜行
",0,孤独小孩o,273175427
145,2017,6,2,Stefan Damen,0,云海妜光,248125030
146,2017,5,30,爱姿,1,姿意燕为,263726012
147,2017,5,29,"有时心底的恐惧多过坚强。
但只能佯装我很好：）",0,桃夭阿眠,90432178
148,2017,5,26,不知道为什么只要我跟着你唱歌我就会热泪盈眶，你的演唱会第一首天黑黑前奏一响我就泪流满面，从小学五年级到现在工作三年，这是我坚持最久的事了！！！,3,请叫我不挂科大人,83729278
