index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,好像忘了说 我留言这两段英文 就是整首歌在轻声念的东西,0,NTUfail,71924954
2,2019,11,21,时间真的很奇妙。以前听没感觉。现在听懂了,1,喝盆盆奶的熊,1587065067
3,2019,11,19,小时候听觉得感情太平淡，现在听觉得有点缓不过来,0,Eth酱,548294006
4,2019,11,19,这里，从出道到现在，一直喜欢，从未改变,0,Boogaloo木子_EnjoyDancingCrew,374158428
5,2019,11,16,前面姿姿在说啥,0,林守乐,55243746
6,2019,11,15,宝 你会好好的,0,二月花菲,1439614169
7,2019,11,9,2002年的来了,0,东郡,3698520
8,2019,11,9,start 首首经典。致memory,0,PEPPER-DADDY,1653893384
9,2019,10,31,来啦,0,墙角de小蘑菇,3515741
10,2019,10,28,这里～,0,amon_小星_,376629051
11,2019,10,11,燕姿的声音太治愈了,1,就爱乌龙茶,314038099
12,2019,10,5,0:30,1,叠加态,133026520
13,2019,10,2,已经发行了..  我这头猪,0,NTUfail,71924954
14,2019,10,2,"To run as fast as my legs would take me  
even if, Im the last to cross the line  
To let myself die a little  
When you take that part of me away
这是燕姿2002.03.29在自己网站留言提到的，她也没说是什么，就在留言最后突然分享了这段。当时start还未发行",7,NTUfail,71924954
15,2019,10,2,"Give me the courage to speak as I stand  
And spew, my uncontinuos, unwavering thoughts  
My beliefs, my two cents worth  
The courage to be the one who withstands  
All my ideals of a great man  
To be the best even if no one is watching",10,NTUfail,71924954
16,2019,10,2,37s左右开始到39轻声说的英文是什么？,0,NTUfail,71924954
17,2019,10,2,that i would be good？,0,过往云烟视而不见,305289320
18,2019,10,2,好伤心，好难过,0,过往云烟视而不见,305289320
19,2019,9,28,overwhelmed 居然写成overland 这听力也是够牛逼,1,脾气极坏坏,69970383
20,2019,9,18,孙燕姿我爱你,0,DT燕姿,470003673
21,2019,9,10,会的 加油。,0,我是魏胖子,529178480
22,2019,9,7,If I lost my hair and youth.十年后才能读懂,6,Jessicalive,514855360
23,2019,9,4,在这里,0,镡友,481209807
24,2019,9,3,印象里《风筝》还是买的磁带，到这张买了CD。,0,一然_RAN,45648179
25,2019,8,31,仗着自己的一副好嗓子,1,坏兔子_,451109516
26,2019,8,29,很累，但我会好的。,0,baristaDepp,349760258
27,2019,8,19,这里,0,刚睡醒的辛巴,254718082
28,2019,8,8,瘦的人三步幻化成猴 胖的人两步秒变成猪 于是有了五官与表情的性质温柔,0,Hatherii-,109104754
29,2019,8,8,唱出自己 已经是自己的坐标了,1,Hatherii-,109104754
30,2019,8,7,That  I   would be good,2,young-杨0723,395271988
31,2019,8,3,I'm here,0,奇迹红蓝_,260997844
32,2019,8,3,嗯，再循环这首歌一次就睡觉，又是听燕姿的一个夜晚。感谢燕姿的歌声，给我安慰和勇气。,2,木心山石,1403121485
33,2019,7,28,早啊，新的一天，请加油！,1,树wm,123279055
34,2019,7,26,燕姿最爱的歌手，加拿大歌手艾拉妮丝[爱心][爱心][爱心][爱心],2,霉头霉脑云散月现自在飞花slay,42294326
35,2019,7,23,生快～,2,左撇子笨蛋,17493502
36,2019,7,22,开头我以为我点进了AMSR🤣,1,守着大王的花栗鼠yu,301332133
37,2019,7,17,give me the courage,1,Stefanie的小熊,389165231
38,2019,7,12,我会好🌈,1,树wm,123279055
39,2019,7,5,歌词好多错误 没人审查吗,1,是_时候,555105313
40,2019,7,4,在这里[多多大笑],0,静女17,408893513
41,2019,7,2,that i would be good,0,吹歌,2858903
42,2019,6,30,大学的时候想 失恋了应该听孙燕姿的歌吧 但是真的失恋 怎么会听孙燕姿呢 怕是走不出去的,1,idylly,625573327
43,2019,6,25,start里面的啊，,0,s1ck1000,1471605268
44,2019,6,25,that i would be good，whether with or without you。,0,s1ck1000,1471605268
45,2019,6,25,明天会好么？,0,泛泛之南,402114422
46,2019,6,23,这歌很适合孤独和伤心的时候听,1,LeoRossi,52412911
47,2019,6,21,喜欢听歌，感人的歌,2,司南阿,563426707
48,2019,6,18,前奏响起心都碎了,0,one宝宝,622595614
49,2019,6,15,这里,0,十三-是燕姿啊,1732072007
50,2019,6,11,几天的流感，工作的无意义，使得精神和身体都不由自主的疲惫不堪，好像被击倒了，此刻蜷缩在这首歌里，自我疗愈,3,美好的回忆Stefanie,1383766847
51,2019,6,11,"中间有句歌词错了
that I would be good
even when I am overwhelmed",2,美好的回忆Stefanie,1383766847
52,2019,6,2,翻译不是很准确,0,别再奋力逞强,122065677
53,2019,5,30,好有质感的声音,2,Islandofcyril,48634536
54,2019,5,25,第一次听啊！,0,wokansheihewoyiyang,113113844
55,2019,5,22,我会好好的 就算满怀怒意,0,Davie504,57455489
56,2019,5,22,歌词很治愈[爱心],0,Davie504,57455489
57,2019,5,12,能唱出来，听吗[呲牙],0,风之清野,45223464
58,2019,5,12,前面的你都能听出来吗？能打出来吗？,0,安草smart,268247207
59,2019,5,11,here,0,stefmissyou,451484132
60,2019,5,11,超级棒，又来了,1,姿家人,263952201
