index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,爱你,0,kkkkrysliang,109966174
2,2019,10,5,回头看 真的想哭 还是向前看吧,0,StefX,300674075
3,2019,7,16,女神！,0,xstefaniex,361032908
4,2019,7,8,现在是2019年7月，你姿妈终于出来“营业”了，曾经她给我的感动，曾经“陪伴”我度过的那些时光又浮现脑海中，而她和她的歌声不仅仅是在回忆中，一直一直都是我的现在进行时。虽然知道，她“营业”一段时间后，还是会再次回归家庭，我理解支持她，却还是害怕，像星期五晚就开始害怕星期一要上班[亲亲],2,7things_,1318437548
5,2019,7,3,the last one,0,小北辙,92879236
6,2019,1,17,我是尚好的青春遇见Stef，又见面了,0,H-S_Sun,296312220
7,2019,1,17,2020，燕姿等你,0,H-S_Sun,296312220
8,2018,8,5,放心离开我,1,_诗芊,81037679
9,2018,7,23,生日快乐,0,Maxwell-yao,76345447
10,2018,7,13,谢谢喜欢孙燕姿,2,我有努力和这个世界变熟,394296679
11,2018,7,13,我当然喜欢孙燕姿啦！,4,Erika_Linder,305117600
12,2018,4,26,评论这么少！！！,0,吉尔迦美拾,335057542
13,2018,4,8,支持燕姿[爱心],1,漩葫芦娃喔,414644145
14,2018,3,31,next moment...,0,大力plus,54291801
15,2018,2,15,想看一场燕姿的演唱会[流泪],5,Jonah乔纳,478575663
16,2018,2,4,我会记得你,5,极美欢庆,351351231
17,2018,1,22,希望你会喜欢孙燕姿,5,我有努力和这个世界变熟,394296679
18,2017,12,8,这一刻 很高兴认识你,0,赠我阙歌,400425048
19,2017,11,19,11:53,1,林守乐,55243746
20,2017,11,18,青春不再 歌还在 唱歌的人还在 还唱平日快乐给我听 ,4,訾央伪装小漠漠,247480354
21,2017,10,27,那些还飞翔着 不可思议的梦,3,qlz1995,262297290
22,2017,9,1,现在三年一张,0,先文八一,396635715
23,2017,8,31,跳舞的梵谷💃,2,十头牛也拉不回的傻包子,396134707
24,2017,8,31,咦，我姿妈这首歌评论好少,0,十头牛也拉不回的傻包子,396134707
25,2017,8,27,🙉放心离开我,4,黑暗行星古兰斯菲亚,495929451
26,2017,8,23,這一刻，該睡了，疲憊了。,4,鄒爸比,85768778
27,2017,7,15,现在还记得燕姿在the moment演唱会上，坐在台阶唱着这歌，哭着说要休息一年。曾经的燕姿一年三张专辑，如今懒人姿你倒是快发专辑，快开演唱会啊,26,低调毅点,15764674
28,2017,7,4,很久很久没有再听，曾经听了六年，为何每首歌都让我泪流满面,4,hhhhhhhhh-------,63487576
29,2017,6,2,放心离开我💓我会记得你,3,黑暗行星古兰斯菲亚,495929451
30,2017,5,7,我肯定会喜欢燕子啊！,3,扎西德勒虫子,280430268
31,2017,5,4,这一刻,1,木头晨,57869920
32,2017,5,2,52.42,1,晴天_zk,76170866
33,2017,4,21,421.41,1,阿Dar,94482447
34,2017,4,4,只是远行 不是逃避 告别是为延续回忆永恒的华丽,2,南瓜稀饭下南瓜的王C,267237714
35,2017,3,31,這一刻，在來送機的路上，怕錯過時間，百般焦急。,4,鄒爸比,85768778
36,2017,2,13,从小听到大 燕姿的歌声一直是我最喜欢的女声，希望能够保护好自己的喉咙，能偶尔回到聚光灯下 给大家带来惊喜,6,Immerwill,56052024
37,2017,1,4,百感交集的我，听到14年前的这首歌。03年，怎么感觉那么遥远却又近在咫尺呢？今年跨年燕姿你的高音已经上不去了，很想你。,4,左轮手枪的听歌日常,261076236
38,2017,1,2,是把希望去掉把,2,楊小GUO,97597120
39,2016,10,22,[爱心][爱心],3,夙夜听风,129118102
40,2016,10,8,希望你能喜欢孙燕姿   要把能字去掉,9,t不善表达,97737177
41,2016,9,23,我会记得 这一刻,1,梅菜扣肉OvO,73709058
42,2016,9,11,我燕姿。刷点评论呢[大笑],1,逆光光光光光,308878328
43,2016,8,29,[亲亲][亲亲],1,Swedish丶House丶Mafia,306994277
44,2016,8,8,[亲亲][亲亲][亲亲],2,太阳底下0723,16072610
45,2016,8,5,😘😘,1,举个西木,60673274
46,2016,7,19,我燕姿,2,motorcycles,283973423
47,2016,6,28,[亲亲],3,可阳快飞,115746724
48,2016,6,26,百感交集的我🙃️,3,乐观的YNJ,288483967
49,2016,6,26,[晕][晕][晕][晕][晕],1,乐观的YNJ,288483967
50,2016,6,24,❤️,1,CECINING,48442071
51,2016,6,12,滴滴滴,1,帐号已注销,12333774
52,2016,6,9,知道我青岛站跟唱这个是我这辈子唱过最用力的一首歌。唱完这首歌演唱会就结束了，她就要走了。太舍不得。十六年我还会继续,8,于帅楠,250764305
53,2016,5,21,克卜勒巡演....,1,流氓果籃子,121787348
54,2016,5,21,这首歌克卜巡演勒不是有唱吗☺️,1,流氓果籃子,121787348
55,2016,5,7,嗯呢[大笑],0,海外小仙人,65586509
56,2016,5,6,小时候当做童话看过，知道我姿也看过也喜欢的时候内心的欣喜难以言说😳,2,孙燕姿的手,100429699
57,2016,5,5,燕姿什么时候再唱这首歌给我们听呢？好久没听到了,3,帐号已注销,124859943
58,2016,4,14,这一路的风景。,0,进度导向,87157407
59,2016,3,13,因为这首歌的MV而看了小公主，燕姿推荐的书，赞一个,5,海外小仙人,65586509
60,2016,3,4,只是远行，不是逃避，告别是为延续回忆永恒的华丽[亲亲],2,阿政三岁呀,122671103
61,2016,2,3,现在婚也结了娃也有了，变身幸福辣妈了，已经没有心境再去唱这首了[可爱],2,啊彩虹金刚,36813307
62,2016,1,14,[吐舌][吐舌],0,生而有命_,39691799
63,2016,1,6,最喜欢,0,Lemonce,254144
64,2016,1,6,我印象中 这时她最后一次唱这首歌 答案是有没有唱 我不记得了,0,朕知道了呵呵,3356923
65,2015,11,29,封面好美,0,十块钱也是钱,85104849
66,2015,11,2,赞赞赞[大笑][大笑][大笑],1,梦的尽头有美丽的期待,79058718
67,2015,9,27,[呲牙][呲牙][呲牙],0,TTian湉,48705052
68,2015,9,4,[亲亲],1,该昵称无法显示刷新也没用,30617500
69,2015,8,28,沙发被我承包了！,1,王小野子,45050196
