index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,15年青岛演唱会，很庆幸的去看了，谢谢燕姿陪伴我的青春时光,1,小愁sun,123285234
2,2019,11,20,200天,0,Duduu鸟,349383299
3,2019,11,20,我觉得你不会回来了，可是我还是好舍不得你们啊💙❤️💚💛💜,0,SteSaku,395203361
4,2019,11,18,只是远行，不是逃避,1,跳舞的梵谷yanzi,318974517
5,2019,11,18,什么意思(҂⌣̀_⌣́),0,跳舞的梵谷yanzi,318974517
6,2019,11,17,是高三时候的单曲循环，今天也很想回到高中时代🍃,1,CHENVQING,272696975
7,2019,11,16,请坚定地走下去吧,0,丽兹牛骨,246956957
8,2019,11,16,三次“绚烂的彩虹”，每一次的“绚烂”，都唱的不一样，感情上的层层递进啊！为为什么这样的细节都处理的这么好，我的燕姿啊，我怎么到今天才发现？,0,燕姿钻石,325132325
9,2019,11,12,下次演唱会看燕姿的,1,计时人生,258834281
10,2019,11,11,考试作文写上了燕姿这首歌,2,苑子潯的小号,1548957065
11,2019,11,9,真的好听,0,万能青年张有才,64195909
12,2019,11,8,爱燕姿，期待2020,1,跳舞的梵谷yanzi,318974517
13,2019,11,7,这首的精华！,0,isNn丶,362158056
14,2019,11,5,追寻的 一直都是心的自由,0,孙燕姿的锁骨,17714009
15,2019,11,4,这是我人生第一次买的专辑，初中的时候每天挂着耳机写作业，每晚陪伴我的一直是这坚韧又温柔的声音。后来在网上看到有网友自制的《野猪大改造》的剪辑版，BGM就是这首。那时候在网吧一遍又一遍地循环播放，每次纸飞机伴着前奏出现在画面上的时候总想哭。一次次的告别教会我成长，每一刻都要记得,1,shingko,12898242
16,2019,11,4,大学时期我在ktv唱过这首歌,0,Likeastarlostinsummer,100006756
17,2019,11,3,wow,0,帐号已注销,12597561
18,2019,11,1,每次离职的时候，耳边就想起这首歌，百感交集,3,乌克丽丽的蜜桃C,36524906
19,2019,10,31,还能看到燕姿，百感交集,2,XQ0823,489797899
20,2019,10,24,白鹤,0,今天也想早下班,100940086
21,2019,10,24,这首歌里满满的都是14岁的自己对燕姿的不舍和等待，每次听都仿佛穿越了时光，4截5号电池，步步高复读机，耳朵里的音乐，周末回家的班车里拥挤的人，车窗外掠过的风景……,3,转身是空,111727561
22,2019,10,24,只远行 不逃避,1,s酸牛奶s,1838933174
23,2019,10,22,本命歌,0,Silhouette_you,536551045
24,2019,10,16,我的青春啊！,0,皓元兒,114928060
25,2019,10,14,2020必須見燕姿  那是好多人的整個青春 ,1,Kenneth_RUI,360827895
26,2019,10,13,这首歌是燕姿暂别歌坛的专辑[奸笑],0,Linedis,613632822
27,2019,10,13,感觉有点像飘着,0,星星祝福曲,84604843
28,2019,10,12,期待2020呀！！！！！！,2,跳舞的梵谷yanzi,318974517
29,2019,10,8,又回到起点……,0,番薯跳海海蓝蓝,101039567
30,2019,10,6,2003，燕姿说要暂别一年。这首新歌就这样，一直陪着我度过了十六年。只是远行，不是逃避。像最初相信着，我会找到自由。,1,西府海棠,2780312
31,2019,10,6,好美。,0,kirakirabushi,61668196
32,2019,10,4,我的入坑曲啊[流泪],0,請叫宋長老,373701684
33,2019,10,3,我会找到自由 自由,0,seeufri,446934100
34,2019,10,2,过了十六年自然很感动,1,XQ0823,489797899
35,2019,10,2,这一刻我仍然心动,0,Anesthesiala,440458827
36,2019,9,30,巨好听,0,w2c_,335192537
37,2019,9,25,"只是远行 不是逃避
告别是为了延续回忆的华丽
03年的退隐让人心疼
现在的她有了自己的家庭
休息多长时间姿迷也是满含期待
🤗🤗",2,vfvbbccxvg,1570192506
38,2019,9,21,坚定自己 加油,0,priness_chen,1674921765
39,2019,9,21,黄雅莉当年选超女的歌，因为这歌而喜欢某种坚持和倔强的雅丽……哈哈，青涩的少女时光,0,晨曦蔚蓝style0913,301859932
40,2019,9,20,祝好,0,感觉视听者_,424924893
41,2019,9,15,被陈见夏李燃炸过来,3,蜡笔没了小新0816,1738989421
42,2019,9,13,爸爸 今天是你的三七 放心吧 我会好好照顾妈妈 我也会更加努力 继续做你的骄傲,5,抹茶红豆冬,65598494
43,2019,9,12,成长的记忆[拜],0,孙裴涓_,569045206
44,2019,9,5,爱了八年的歌,2,orisola,436604251
45,2019,9,2,我加了洋葱,0,卟-呐呐,395187064
46,2019,9,2,明年演唱会要是唱这首我会哭死[流泪],2,_不加糖有点甜,128108088
47,2019,8,31,她在离开我的高铁上 说 这首歌送给你,0,Kang卫康,388037893
48,2019,8,30,我酱爆感觉到  艾立个moment 要爆了~,0,Doraemoon丶,120556676
49,2019,8,27,吴庆隆编的钢伴超棒,0,Lombokii,53374793
50,2019,8,25,那一刻真的是这样！ 每一首听过的歌 都私藏着那几分钟间的记忆啊 或是刷牙洗脸的循环播放 或是课间的午睡歇息 或是晚自习下飞奔出教学楼戴上耳机的期待 又或是一年年暑日都在变化的冰饮配料吧,3,方方正正小口口,423327023
51,2019,8,24,明年看你演唱会真怕眼妆哭花 但是 还是好幸福啊 这一刻 渐渐疲惫的羽翼 也要努力 想你,2,由唱到听,117439976
52,2019,8,24,明年还想听你唱这首[爱心],0,由唱到听,117439976
53,2019,8,23,真好,1,云云云云流,1334766690
54,2019,8,22,发行16周年，云村写的发行日期为啥是8.1啊？依然记得当年要暂别一年的难过，但是又怎么会想到后来这么多年的永恒华丽，“我一定会回来，一定会变得更好”，她从来不会食言[爱心],0,carp77,418117269
55,2019,8,22,16年了,1,_知更,278482085
56,2019,8,22,纪念一下16周年,1,Sparkling_諾,124377359
57,2019,8,22,16年了，时间好快，我都喜欢你17年了,1,stefanie丫丫,531016582
58,2019,8,22,16年,1,stef虎牙,86952410
59,2019,8,22,这一刻,0,ayummmm,1456527579
60,2019,8,22,每次绝对和一段感觉说再见的时候，这首歌给我力量,2,功灿Snekrs,1832171305
61,2019,8,13,这么多年！！,2,Tczyj_,275147502
62,2019,8,13,JS搜一下,0,NoPanic2,62027373
63,2019,8,12,我也不想把这些当成跟自己的对抗，但总有影子拖着我,0,半座城池丶,500055772
64,2019,8,11,前奏一出 眼睛就涩了,2,luobo77lele,97888661
65,2019,8,10,我也是,0,反叛的银时,570490151
66,2019,8,9,我也是,0,迷幻shinee,400625173
67,2019,8,9,14年厦门场，这首歌前奏一出来眼泪控制不住的落下了,2,迷幻shinee,400625173
68,2019,8,9,我也是，14年在厦门，这首歌一出来控住不住的落泪的，我是男生,1,迷幻shinee,400625173
69,2019,8,6,小学在老家，中学在县城，大学离家越来越远，这首歌陪伴15年前还不够勇敢的我。,2,在云端未来的十年,10080917
70,2019,8,6,16年前的歌了~唉~时间好快,0,遮羞布罢了,33532401
71,2019,8,6,放心离开我,1,Peterety,537414131
72,2019,8,4,前奏一起全身酥麻……十多年没听这首歌了。the moment很满足,2,花莫笑丶,514517742
73,2019,8,3,"鸟的起飞是寻找下一个方向
叶的落下是另一段旅程的开始
这一刻是结束也是开始
这一刻能留下的印记是什么
在脑海中记得的是什么
追求的是什么 放弃的是什么
1000个念头闪过或许还没有答案
抉择 过程 是必经的",1,是小27吖,106458515
74,2019,8,1,2003年，台风天电台听的这首歌首播，又再另一个台风天买的这张专辑，第一次发现宝藏歌手,1,阿茫m_light,29586995
