index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,冲鸭,0,美的没天理,472249253
2,2019,11,18,U P 2 U,0,识刀客,623315109
3,2019,11,3,胡侦探传说之夏日酒吧[呲牙],0,V6一生推forever,349372450
4,2019,10,8,我的磁带没有这首歌,0,LaraJean,109941853
5,2019,10,7,我记得当时买这个专辑的磁带没有这首[大笑],0,yuna00800,334275067
6,2019,10,5,真爱粉,0,叠加态,133026520
7,2019,9,14,太好听了！,0,AnyiDee,1787306591
8,2019,9,10,真好听[色][色][色],0,也不是猪只打呼,355734135
9,2019,8,11,以前这一首和《作战》，我真的听好多次，太欢快太可爱了我姿！,2,cy909191,254876722
10,2019,8,10,好听,0,反叛的银时,570490151
11,2019,8,9,优秀,0,甜齁齁,491342026
12,2019,8,3,我的网名，别人不懂我的态度,2,Kepler蔚蓝的海蓝色,46929889
13,2019,8,2,真的最后亿遍,0,小胜ww,535934914
14,2019,7,31,燕姿冲鸭！！,0,Kepler__r,413257278
15,2019,7,30,燕姿式摇滚,1,盗PortgasDAce,120876629
16,2019,7,20,我当初是怎么听到这首歌的……,0,快送我出家,302527318
17,2019,7,20,听的孙燕姿的第一首歌,0,雨雪雅筑,299379248
18,2019,7,16,这么好听的歌，不应该这么少的评论,1,你有药吗我有病,453738812
19,2019,7,13,俺已经复习1087遍了惹,0,o呆毛,407968
20,2019,7,13,请复习130遍惹,0,Christina-Aguilera,76483469
21,2019,7,13,姐姐俺记错了惹 是另一首么有。。。。。,0,o呆毛,407968
22,2019,7,13,p呢，我买的专辑有哒[撇嘴],0,Christina-Aguilera,76483469
23,2019,7,13,哈哈哈哈,0,Christina-Aguilera,76483469
24,2019,7,8,是不是很无聊啊[奸笑],1,一皇甫暮云一,384113640
25,2019,7,7,hhhh你也是用听歌识曲查出来的?,1,匈坂真由理,430294506
26,2019,7,7,666夏日酒吧,1,一皇甫暮云一,384113640
27,2019,7,3,胡侦探,1,匈坂真由理,430294506
28,2019,7,2,以前的盗版磁带我都舍不得买，没钱啊[皱眉][皱眉],1,木兰鸡仔-Joe,488896302
29,2019,7,2,盗版磁带里有[多多捂脸],1,冷杉已经被注册,285270275
30,2019,7,1,第三首,0,kendy的风筝,362892899
31,2019,6,30,我竟然没听过[大哭]码,0,RainbowAfterTheRain,59825347
32,2019,6,28,这首大陆版好像没引进吧,1,o呆毛,407968
33,2019,6,25,主题曲听过，mv没看过,1,木兰鸡仔-Joe,488896302
34,2019,6,25,那你听过麦当劳主题曲吗？还有看电视孙许蔡版本的,1,s1ck1000,1471605268
35,2019,6,25,雅芳,0,s1ck1000,1471605268
36,2019,6,25,开始测试左右耳机,0,狂野的拉佐格尔大人,49367215
37,2019,6,15,这是一首广告歌曲，Up2U彩妆广告，那时萧亚轩也做了这个广告的代言，印象深刻,6,你们爱的大飞,259678257
38,2019,6,15,说，为什么这么爱看广告,1,你们爱的大飞,259678257
39,2019,6,13,好听的声音好听的旋律,0,1sukie,474229791
40,2019,5,25,燕姿的歌我只有英文的不会，因为我英语太差了[流泪],1,经纬180729,1536664663
41,2019,5,25,来复习一下我姿的广告歌[大哭],2,经纬180729,1536664663
42,2019,5,22,当年的入坑歌曲 是个广告主题曲[多多大哭],3,AA小波波,571353318
43,2019,5,22,喜欢燕姿的快歌,0,Davie504,57455489
44,2019,5,1,燕姿的入坑曲，暴露年纪了。,2,Iris被注册了,93219592
45,2019,4,22,哈哈哈哈我太年轻啦 虽然很早就听过这首 但现在才知道是广告歌,0,fortpoi,124239758
46,2019,4,17,小时候可喜欢了，欢快的节奏,0,尤里_多尔戈鲁基,61490366
47,2019,4,15,我没听过[哀伤],1,木兰鸡仔-Joe,488896302
48,2019,4,11,买的正版的，真的没到，好像是美卡的吧，我都忘了,0,五月某日,127184252
49,2019,4,11,买的盗版带？我的卡带有,0,tmero,52289735
50,2019,4,11,当快乐的拉拉勒？认真的吗,1,tmero,52289735
51,2019,4,7,这首歌我居然没听？！我是喜欢了燕姿17年的假粉！,0,木兰鸡仔-Joe,488896302
52,2019,4,2,好喜欢,0,云云云云流,1334766690
53,2019,3,23,突然就很想听,0,捉迷藏去,57721402
54,2019,3,10,前奏秒杀我，我还以为耳机坏了[惶恐],0,光絵,94243137
55,2019,3,7,冷门啊！,0,春暖楚楚,1496265514
56,2019,3,5,感觉姿妈每首歌我都能跟着嗨,0,叫化活该,294211599
57,2019,3,1,当年我买的卡带没这歌，好像内地版没有收录进去,0,五月某日,127184252
58,2019,2,23,这个唇膏真的香爆了,0,羊羊羊点,74493277
59,2019,2,11,确实找不到。。不知道为什么,1,森海一只鱼,119354431
60,2019,2,10,其实就是up to u，很好啊,0,s1ck1000,1471605268
61,2019,2,10,这歌很早了，其他歌都会这首应该落不掉的,0,s1ck1000,1471605268
62,2019,2,10,麦当劳everytime a good time燕姿版本找不到啊。还有许美静蔡健雅燕姿版本看电视,0,s1ck1000,1471605268
63,2019,2,10,麦当劳的那首怎么找不到,1,s1ck1000,1471605268
64,2019,2,8,Up2U，由你做主，雅芳自定义彩妆系列。我就是阿瑟斯，阿瑟斯服装。真真切切，付出的爱永不变，麦当劳欢聚欢笑每一刻。运动美时美克。统一冰红茶，年轻无极限。停不了的乐事。仙境传说，找孙燕姿加血回蓝！,9,森海一只鱼,119354431
65,2019,2,7,那个，那一句的翻译应该是快乐的阿拉蕾吧？,1,第一票房青衣的hugefan,68169426
66,2019,1,30,啊～啊～Up2u～～～,1,Ed1son--,279253821
67,2019,1,23,那时候买的贴纸里属这款彩妆广告的最好看。😊,2,酱爆腰花,3324113
68,2019,1,13,嗯，燕姿冷门歌曲前三[吐舌],3,江湖神影,307721592
69,2019,1,13,每一首歌我都会[可爱],2,ZY-7,17531038
70,2019,1,12,好像这是燕姿歌里，唯一一首不会的🤣,1,天越亮,108082590
71,2019,1,11,雅芳，彩妆，当然孙燕姿代言,0,oxoloveoxo,419928057
72,2019,1,7,我记错了，是 就是这样 的mv,0,彼得潘与狼,261245021
73,2019,1,7,你能分享吗，我找不到,0,Joyce的橙子,1665584207
74,2018,11,22,mv非常青春美好,1,彼得潘与狼,261245021
75,2018,10,25,[亲亲][亲亲][亲亲],0,有橘生淮南,432411313
76,2018,10,7,桃红色的你,0,礼拜三去马孔多看雨,70156357
77,2018,9,21,又一次听见，燕姿,0,妈妈说名字长了才能记得住,64811754
78,2018,9,19,打卡打卡,0,不借温柔,451526010
79,2018,9,17,由我决定,1,帐号已注销,31832280
80,2018,9,13,好好听,0,晴天一阵风,320422673
81,2018,9,8,不是广告歌的话可能又是大火的歌 旋律超好听,2,九老师,95772372
82,2018,9,5,有点可爱,2,笑靥姿吟,100440737
83,2018,8,22,循着胡侦探来的,2,正义0鱼少侠,109279541
84,2018,8,18,名字太奇特吧可能是,1,旧昔扰梦,260855652
85,2018,8,17,雅芳  化妆品,0,臼乐,431672710
86,2018,8,5,啦啦啦啦啦啦燕姿每天陪我写论文给我打鸡血,2,笑笑不乖-,405913089
87,2018,8,4,[星星],0,林34,400839327
88,2018,8,3,大雅芳是撒,1,跳舞的梵谷yanzi,318974517
89,2018,8,2,🎧,0,_诗芊,81037679
90,2018,7,30,打卡[爱心],0,有橘生淮南,432411313
91,2018,7,30,下雨了,0,过往云烟视而不见,305289320
92,2018,7,30,up 2U,0,过往云烟视而不见,305289320
93,2018,7,28,听了听十多年前喜欢的歌 感觉又年轻了十岁[大哭],2,账号已注销这人可NB了,422641137
94,2018,7,27,系列彩妆,0,zuma卡纳,113301767
95,2018,7,27,Up 2u,0,zuma卡纳,113301767
96,2018,7,23,生日快乐🎈,0,dorianamot,362553349
97,2018,7,23,这首歌平均这么少？不科学,1,臭臭哥布林,127163118
98,2018,7,22,[可爱],0,想去吹太平洋的风,431966292
99,2018,7,20,再来刷个评论哟,0,妮妮-sunny,123933216
100,2018,7,12,哈哈，没想到你会回我,0,吉祥170513,485090620
101,2018,7,11,哪里都有狗粉丝..,0,燕姿我的爱,358373433
102,2018,7,3,好听！,0,O_oHULLO,343829645
103,2018,7,3,听这首歌 就是想听不太熟悉的音乐 熟悉的声音。就觉得挺好,1,爱生活爱燕姿,560609259
