index,year,month,day,content,likecount,nickname,user_id
1,2019,8,25,总之这里有七个字啊啊啊啊啊啊啊,0,魔仙堡优秀毕业生,1752518752
2,2019,8,3,我来啦！七个字！,2,CyerMaes,403818815
3,2019,4,18,她叫我baby🤗,0,jane_liu1,87993315
4,2019,1,7,稳的一批啊,1,currencybao,258261214
5,2018,10,14,爱,0,帐号已注销,1488988645
6,2018,8,24,95后表示：小时候主动学的第一首英文歌🤔,3,_AZUL___,258191526
7,2018,8,3,🎧,3,_诗芊,81037679
8,2018,7,27,燕姿的这首歌，每次听都真带劲儿！！爱,2,No-music-No-life666,295654876
9,2018,7,19,好想看一场以前的演唱会，陶喆的soulpower，结巴的无与伦比，燕姿的strat..,1,stef流年,1367583538
10,2018,7,13,节奏感强，喜欢！！,0,No-music-No-life666,295654876
11,2018,7,4,那个舞也是很美的[可爱],0,如梦幻似泡影,255314278
12,2018,4,10,Venus,1,H_Stef,309880055
13,2018,1,26,想你,4,极美欢庆,351351231
14,2018,1,14,Venus,0,97如果我是陈奕迅,338113499
15,2017,12,23,天呐！！Venus这一个词真的好好听！！,2,喜欢黑白团子的少女,545977437
16,2017,12,14,声音是真的稳,1,forriverr-,267867306
17,2017,12,5,孙燕姿十六年粉丝,3,蓝天白云百分百,23523428
18,2017,11,21,高中听力书后面有这歌，整个班都听high了,2,Scandium72,98264136
19,2017,11,14,那时候的燕姿，状态真的是无敌好,4,资溜溜,263964700
20,2017,9,28,好听⊙▽⊙,1,妖风一阵,260312300
21,2017,9,23,求好心人借我10000000元人民币，我快不行了，我得了绝症，爱姿病！,17,瓜牛一米八,341856352
22,2017,9,7,战斗机！现场比录音室好听系列,0,我是anna_anna是我,90870647
23,2017,8,16,一定要去一次她的演唱会！！,2,哎呦月月,511265867
24,2017,7,29,[可爱],0,江小网易,290370037
25,2017,7,6,[亲亲]孫燕姿venus[色],1,鄒爸比,85768778
26,2017,7,2,很有力度的声音,2,天涯木桩,318254408
27,2017,6,21,真的是实力女歌手,4,crazielily,248313240
28,2017,5,31,这里评论这么少，我能在燕姿歌下面上个热评吗[呲牙][呲牙][呲牙][呲牙],9,跳舞的克卜勒,122786310
29,2017,5,25,这场演唱会听了心情变得好好,0,ZKGZKGZKGX,73827212
30,2017,5,14,嘻嘻,0,爱谁谁就是了好吗,265830470
31,2017,5,8,我是王海峰我喜欢孙燕姿,0,爱姿海,126397948
32,2017,5,3,Venus 嗬！,0,阿Dar,94482447
33,2017,4,7,爱姿打卡,0,苏三伞,111844957
34,2017,3,13,这个现场版编曲好爽,2,我只会乱乱唱,272309134
35,2017,2,22,好吧(∩_∩),0,帐号已注销,124859943
36,2017,2,22,因为我有强迫症给删掉了😂😂,0,你很搞笑你很奇怪你頭髮很亂,99743796
37,2017,2,21,头发很乱，你怎么一个粉丝也没有[呆],0,帐号已注销,124859943
38,2017,1,18,Venus,1,好牙口的小模样,260083584
39,2016,12,3,用我自己的步伐[这边],2,你很搞笑你很奇怪你頭髮很亂,99743796
40,2016,12,3,感觉对了我要出发[呆],1,帐号已注销,124859943
41,2016,12,3,当年燕姿的燕姿唱功更棒,5,取一个昵称让你们记得我,305297416
42,2016,11,28,[跳舞],0,你很搞笑你很奇怪你頭髮很亂,99743796
43,2016,11,15,[爱心],0,_赤木晴子,90979688
44,2016,11,1,24？？？,0,帐号已注销,124859943
45,2016,10,28,23？？？？,0,北城以北的念,100256294
46,2016,10,19,这首现场超燃,1,我只会乱乱唱,272309134
47,2016,8,31,燕姿啊 你来合肥来一场吧,0,酷圆虎,247542768
48,2016,8,31,爱,0,酷圆虎,247542768
49,2016,8,29,好了,3,曲库小护士,79248480
50,2016,8,4,人好少,0,嘘组长,41187484
51,2016,7,27,还得这首带感,0,可可西里云大朵,256103155
52,2016,7,7,[亲亲][亲亲][亲亲][亲亲],0,开点药给你吃好吗,36843947
53,2016,6,24,为啥评论这么少？,0,这么近那么远_那么远这么近,42856608
54,2016,6,5,[色],3,孙燕姿的锁骨,17714009
55,2016,5,30,真不知道说什么来表达对这首现场的喜爱,1,可可西里云大朵,256103155
56,2016,5,26,好听 ,0,当代歌坛,126763195
57,2016,4,23,左摇右摇，东晃西晃,2,孙燕姿的锁骨,17714009
58,2016,4,19,好棒好棒,0,雨陨,31875806
59,2016,4,4,这首是少有的听了会跟着摇头晃脑的歌。,2,Wintersen,56419146
60,2016,2,18,[亲]mua,1,Magic1lin,86285214
61,2016,2,14,我爱你，孙燕姿（づ￣3￣）づ╭❤～,1,找到了属于我的光,122656214
62,2015,8,22,带感~,1,meng的这天,72337082
63,2015,5,14,最喜欢这首歌了,2,萧夜雨,68885693
64,2015,3,16,超带感,2,尼古拉斯-赵肆,3600120
65,2015,3,12,我觉得吧。。。燕姿的现场比录音室要好，声音更有爆发力,67,Jonny1120,31156342
66,2015,2,8,好棒,2,itsxtt,2173206
