index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,我也，我记得一起拍芭莎时gg弄dd的裤子的时候说了一句维纳斯啊,0,青宇可等,564968728
2,2019,11,24,venus专门百度这词，看了一下午后，然后就来听这歌了！然后[爱心].,2,Wx-琑,382937149
3,2019,11,23,嗯嗯[呆],0,1s期待,1873202291
4,2019,11,19,这首歌做闹钟铃声，超级好用！,0,裴小海1857,1706109968
5,2019,11,19,累了 那七个字真的说累了,5,琑至今夏,1410274071
6,2019,11,18,怀疑自己被监控了[惊恐][惊恐][惊恐]难怪说Venus，原来是偶像唱过，社会主义兄弟情瞒不住了,4,哒哒哒滴滴滴哇,513479272
7,2019,11,18,干嘛撩我裙子,4,Meleny-南丘,503442737
8,2019,11,18,你猜我为什么赞你♡.,0,Meleny-南丘,503442737
9,2019,11,17,不好意思确认一下性别,7,BJYXdoi粉,354190631
10,2019,11,17,嗨我倒觉得是👍🏿要拍戏补了小说然后套路都用到撩自家男朋友身上了[鬼脸][鬼脸],1,BJYXdoi粉,354190631
11,2019,11,13,我读到高中都没出现洋葱这个词[大哭],0,Verlio,131463874
12,2019,11,12,把这首歌搞成来电，会不会太骚气？,0,Michael丷Scofield,1324344704
13,2019,11,10,好可爱,0,reborn-as,116878639
14,2019,11,10,还真是有点像,0,reborn-as,116878639
15,2019,11,9,你算哪颗蒜，[多多捂脸],0,PEPPER-DADDY,1653893384
16,2019,11,8,别他妈学环设,2,Primo_-,443819560
17,2019,11,7,Venus！💚💚💚,9,白_yu,1569415161
18,2019,11,7,英语考试，唱维纳斯。。。,3,饭团里没有饭,565733126
19,2019,11,6,wow Venus,0,浪漫至死不渝_85,1957237000
20,2019,11,5,日推来的，我怀疑网易在监视我的生活！！太火爆了！,4,sakuraxinxin,645565476
21,2019,11,4,Venus！哇哦！,2,三胭,107480449
22,2019,11,4,太火爆了,7,乐n-,326184433
23,2019,11,2,我也,0,藏在眉心的东风,1647388270
24,2019,11,2,到处都是姐妹,4,千山共川,1294846035
25,2019,11,1,那可不就是我吗，嘿嘿,0,Yann-_-,62419178
26,2019,10,30,姐妹们好啊,0,凉生瑟,1693723727
27,2019,10,27,嚯 太火爆了孙老师,7,-林热忱-,1792465
28,2019,10,24,原曲的disco跟燕姿翻唱的blues rock 版 都好喜欢哈哈哈哈,3,JazzOrange,313865528
29,2019,10,24,哇哦！venus😎酷！！,4,小梅子190827,1784713612
30,2019,10,23,七字真言姐妹们[憨笑],9,Erguna_,287313542
31,2019,10,23,懂懂懂,0,曦宝是小仙女啊,296105419
32,2019,10,23,venus搬砖啵😂,4,蓁蓁180326,1410350957
33,2019,10,23,Venus来日方长,6,潒焣淛汨,391962417
34,2019,10,23,我蜡笔了,0,潒焣淛汨,391962417
35,2019,10,22,[爱心].太好听了！！,5,帐号已注销,65582256
36,2019,10,22,前奏总感觉是猪猪侠主题曲。。。一阵萨克斯后马上要来一段鲁拉噜啦嘞噜啦噜啦嘞...,2,MercuriusV_,505130429
37,2019,10,22,姐妹你好,0,365dsweeet,1649601584
38,2019,10,21,发音没问题,0,Allenswonderland,304106155
39,2019,10,20,姐妹,0,凤凰牛逼,609317648
40,2019,10,19,太火爆了,2,我的cp超多肉,304410844
41,2019,10,18,香蕉女郎是儿时的回忆，孙燕姿的翻唱是青春的回忆，现在在KTV会经常唱这首歌，向时代致敬。,0,生命在于熬鹰,48647031
42,2019,10,18,到处都是姐妹,9,麦哲伦不吃胡萝卜,454058908
43,2019,10,16,来日方长♡.,8,_覃衣,349347151
44,2019,10,16,咳咳咳,0,十回是清轩麻麻,1570205574
45,2019,10,16,生了丘比特😻,1,小公举的狂拽酷炫霸气高冷无敌庄,497256293
46,2019,10,16,hhhh我深爱着一颗寂寞的星星！,3,_摩托精,426333837
47,2019,10,15,daka,0,潜水大鲸鱼,476471883
48,2019,10,14,懂懂懂！,3,国境以南O,467867572
49,2019,10,14,我也来了,0,齐奇乖怪,1340218966
50,2019,10,13,你可真是个小可爱[大哭],0,吃豆子的恐龙,18595254
51,2019,10,13,戴上耳机，一瞬间穿过去穿过来,0,742694a,1877718254
52,2019,10,12,太火爆了真的,2,郁雾_,473771112
53,2019,10,12,我骑着我的小摩托赶来！,5,子川-_-,563223770
54,2019,10,11,火速赶来,1,bx的小fans,552365621
55,2019,10,10,哈哈哈哈哈哈哈哈嗝,1,小雨雨雨雨雨雨雨雨雨雨,132663383
56,2019,10,10,姐妹！！！,1,ANicegirla,134915931
57,2019,10,10,好听！,0,ANicegirla,134915931
58,2019,10,9,好好听,1,菠萝竹笋精,1735625091
59,2019,10,8,不是啊 真的有点像啊,0,回首仍盼机会问候,472592776
60,2019,10,8,jm你真敢！,0,国际网管-,350820286
61,2019,10,8,姐妹,0,我是MAY哇,1615271116
62,2019,10,7,虽然看评论感觉自己找到了组织[大哭]但是jmm收敛下哈 不要过度刷了,19,林忘忘_,299933507
63,2019,10,6,翻唱的真棒！！,0,爱爱爱小涵_,400087222
64,2019,10,6,原唱是谁呀请问,0,一剪妹,16468450
65,2019,10,6,我的日推，只能说网易太懂了！！！！！,1,雨破未央,589675293
66,2019,10,6,啊啊啊啊啊啊啊啊认姐妹！！！,1,雨破未央,589675293
67,2019,10,4,啊姐妹,1,白醍鱼,1875125607
68,2019,10,4,呜呜姐妹,2,白醍鱼,1875125607
69,2019,10,3,venus,12,甜甜赞赞_,645560615
70,2019,10,3,我来了,0,江渚渔樵人,392748618
71,2019,10,2,Venus,3,XQ0823,489797899
72,2019,10,1,姐妹,0,一点点喜欢了,416042443
73,2019,10,1,"zd, gg太会了",1,一点点喜欢了,416042443
74,2019,10,1,今年高考考到她了！,0,萇半,1759457410
75,2019,9,30,start自选集这张专辑是孙燕姿的翻唱集合,0,余人国度,349539684
76,2019,9,29,姐妹抱住！,0,韶光薄昔,366223923
77,2019,9,29,"I'm your venus, I'm your father......",3,穿裤衩的海豹,1728346307
78,2019,9,28,姐妹,0,隔壁张老头--,410015543
79,2019,9,28,姐妹！,1,一八二点一,1418602580
80,2019,9,27,厦门胡桃里和平码头店驻唱歌手的开场曲，一下子就调动了全场气氛[吐舌],0,卫東sama,59422932
81,2019,9,26,Venus♡.,20,韶光薄昔,366223923
82,2019,9,23,竟然看到了姐妹！,2,学生会委员长,117689081
83,2019,9,23,并肩于雪山之巅♥.,25,年下王一博,283535681
84,2019,9,23,激情认亲！！,2,是小茶不是小荼,342532619
85,2019,9,22,维纳斯与战神,20,大野1704,454394400
86,2019,9,22,被博君一肖炸出来,20,众王肖周知,1386522558
87,2019,9,20,快救我出坑,7,就叫阿猫猫,303766843
88,2019,9,19,众琑周知，他是孙燕姿的粉丝,10,梓汐-,295553843
89,2019,9,18,这歌太！！！,0,tsu-ba-ki,311235721
90,2019,9,17,姐妹,1,节-奏-控-,383666804
91,2019,9,14,没关系 就三分钟喔,3,你去問問貓耳朵,604562966
92,2019,9,13,jm激情认亲!,3,巍澜忘羡琑小清,1627668624
93,2019,9,13,姐妹 ,3,ANTONE325,365522237
94,2019,9,11,郑钧的赤裸裸也有点像吧,0,ab型老鼠,246201057
