index,year,month,day,content,likecount,nickname,user_id
1,2019,11,19,广师大外国语学院院歌,1,梁浩鹰,539970767
2,2019,11,16,这是初中英语老师教我们的班歌，已经过去十一年了,0,虚空飘荡,409920790
3,2019,11,8,"初中晚修全班学过中文版
燕姿的英文发音和中文咬字一样，好舒服啊",1,谢小P谢小P,36145223
4,2019,10,26,好好听~,0,当夏日微凉,592810705
5,2019,10,19,明年一起看孙燕姿的组团 🥳 ,8,-当时我就不乐意了,321718842
6,2019,10,15,这首歌的作曲者是李迪文老师，哈哈JJ要和他合作啦。,0,阿珩Olivia,261838307
7,2019,10,8,欢迎来到吃货俱乐部新加坡特辑,0,Katherine-321,95069556
8,2019,10,6,考得好差,0,音乐家Amy,593243039
9,2019,10,2,也是我初中的班歌,0,的露SSS,322088084
10,2019,9,26,[爱心][爱心][爱心]早上听燕姿，心情就很好[亲亲],1,霉头霉脑云散月现自在飞花slay,42294326
11,2019,9,24,来听听学校院歌,0,jimi小船,476909369
12,2019,9,22,听到第一句就确认是孙燕姿的声音，看看，是她吧！[吐舌],0,许你一汪时间的空灵,130936872
13,2019,9,14,少年时，每次听到这首歌，内心总有一种希望的暖流，直到现在还记得当时的感觉。,0,Heeenk,9433780
14,2019,9,10,x-fun[憨笑],1,小井要努力,80948271
15,2019,9,2,真的好听啊 非常有力量,0,智商怎么了,1366104282
16,2019,8,29,回复别人那有说明啊…,0,罗秀秀emmm,1348132952
17,2019,8,29,…dei啊…,0,罗秀秀emmm,1348132952
18,2019,8,29,是广师大外国语学院院歌啦,0,Winnieyyyy,400221548
19,2019,8,27,曾经的班歌,0,amanto,37308449
20,2019,8,23,JJ上次直播连线燕姿合唱了这首歌～,6,_不加糖有点甜,128108088
21,2019,8,20,听到你和JJ的合唱了,1,哈哈哈哈一一一,396431272
22,2019,8,18,前几天去游学的时候在国庆庆典上又听到了这歌,0,hachi-8Y,537290959
23,2019,8,17,还是汉语的好听,0,翻不完DE夏天,478491823
24,2019,8,16,这么好听的歌居然错过了这么久[多多捂脸],0,我不是奥特曼我只是小怪兽,123587508
25,2019,8,12,呜呜呜呜燕姿女神！笑起来好暖好有力量😭从直播过来好听到哭,5,查拉图斯特拉如是说-,546059768
26,2019,8,12,虎扑顶顶顶,2,给我道歉_,483636508
27,2019,8,11,好听,0,贵柜柜,108713551
28,2019,8,10,直播过来的，居然没听过燕姿这首歌[大哭][大哭],2,Red一Bean,46457823
29,2019,8,10,虎扑从jj和燕姿合麦视频过来的，good song~~~,6,爱音乐者kai,1467550082
30,2019,8,10,"从JJ直播间过来的欧   好听吹爆[亲亲]
爱坡花和坡草❤️",4,MF星海,390307594
31,2019,8,10,对，不过是外国语学院的,0,罗秀秀emmm,1348132952
32,2019,8,10,期待两位神仙合作,0,lesucre--,272534319
33,2019,8,10,应该会有一堆从直播间过来的吧，哈哈哈哈,7,大喵说多谢啊,295671049
34,2019,8,9,期待坡花坡草的新合作呀！！！老林作曲 燕姿填词 神仙组合❤,2,林导师的小迷妹,404761165
35,2019,8,9,他说来的哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,我很鱼块,125768521
36,2019,8,9,期待他说！！,3,所以呢H,441753912
37,2019,8,9,好好听，期待合作,1,形释,385077361
38,2019,8,9,舍友三人在SG做交换，今夜发着烟花照。下午老林在ig和姿妈合唱这首歌，庆祝这天。还有他说小时候国庆那天喜欢开着电视一整天，和大家一起看烟花的直播。突然有种时空交错的感觉。,3,andalive_save,301282378
39,2019,8,9,yeah 直播来的,2,故事细腻Lemon,318542597
40,2019,8,9,一回生二回熟,0,冬阳1110,111539793
41,2019,8,9,今天也来听这首，是因为喜欢的一个新加坡男生,3,冬阳1110,111539793
42,2019,8,9,直播来的没错了,3,凉风小鱼,62491524
43,2019,8,9,因为她必须保证自己填满镜头，这样纳小子出来才不会被拍到[大哭],0,NTUfail,71924954
44,2019,8,9,啊啊啊啊啊直播啦 期待合作！,3,-arashi岚_,381391590
45,2019,8,9,哈哈哈哈哈哈直播观光团！！活在别人直播里的孙燕姿女士！！！,7,非也非飞,440312810
46,2019,8,9,这次连jj没那么害羞了，上次在阿妹的live一直躲镜头，但是什么时候能在自己的ig fb开播[大哭],3,Stef_小黃瓜,509976485
47,2019,8,9,哈哈哈哈直播来的,2,戴雅楠想做一条鱼ya,436112854
48,2019,8,9,好听,2,故事细腻_twilight,293319749
