index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,哪位大神有这首歌的谱子[可爱],0,十了个一啊,636434266
2,2019,11,27,长春师范大学文学院印象深刻的一节课[可爱][可爱],0,Grapefruit西柚,611093419
3,2019,11,26,2020届六中来了,0,EeeeeDi--P,481248677
4,2019,11,26,喜欢了燕姿很多年，她的歌没有浮夸的元素，始终那么纯粹，那么鼓舞人心,0,有深度的疯子,135879320
5,2019,11,24,青春无憾,0,明関系,445897867
6,2019,11,23,"岭师附中初中2015届6班
永远记得",1,Msdramionee,1635934662
7,2019,11,23,昨天晚上的年级大会颁奖bgm，我希望我也能有一天登上以这首歌为背景音乐的颁奖台，加油！,0,我就想起个好id,551462632
8,2019,11,23,十三班班歌,0,我今天又飘了昂,1912880035
9,2019,11,22,13年初一时候选择的大合唱歌曲，现在听到有点想哭，很怀念,0,847ttt,542450061
10,2019,11,21,小情书来的❤️,0,无敌大王hhh,450456990
11,2019,11,14,手语打卡,0,娘娘真漂亮,1323450408
12,2019,11,13,初中时候听的歌，现在听竟然想哭,0,A王甜甜很酷,287025536
13,2019,11,12,永远都记得 那是最后一个七月的高考,0,Jones猪猪,49510181
14,2019,11,11,湖北第二师范学院广播台,0,彭于晏2号,81536416
15,2019,11,10,"福州大学广播台，我们与你，共同发声。

每次电台集体活动的最后，一定是以台歌结尾。

把 一起走到 定成电台台歌的大佬们一定很暖 我也好爱电台😭😭今年大四了，在电台从播音到主任到退休，真的永远都不会忘记这里",0,云烟-成雨__,343132901
16,2019,11,10,福大广播台的朋友,2,木容先森,436627921
17,2019,11,9,手语协会会歌打卡。我真的有复习打手语哦。,0,蒋小雯Jiang,364495853
18,2019,11,8,希望明年20周年演唱会 孙燕姿我们可以带着我们一起唱这首有意义的歌。,0,快乐ing1哥哥哥哥,248491746
19,2019,11,6,燕姿英文版过来的,0,云儿723,571508458
20,2019,11,5,经院学生会签到处😂😂,0,齐哥哥的柠檬,1287139961
21,2019,11,4,对！经济学院哈哈哈,0,一颗甜橙y_,340497782
22,2019,11,4,哈哈哈，有。经院学生会[呲牙],0,丶肆沐,1660236833
23,2019,11,4,有没有林科大来的？,4,一颗甜橙y_,340497782
24,2019,11,2,吾辈当自强,1,林檬檬檬檬檬,1468434578
25,2019,10,31,明年第二十年 喜欢你 陪着你渡过了青春 一路走坎坷不舍 放弃坚持 生活还是要继续,0,生命本身是件毫无意义的事情,450795504
26,2019,10,22,小龙坎的我们每天都唱这首歌,0,狄水同学,1821288806
27,2019,10,17,同！举手,0,没良心炮弹,1613336731
28,2019,10,11,好好听啊,0,我快樂所以你快樂嗎,259113225
29,2019,10,10,WE WILL GET THERE,0,HWH0532,359246411
30,2019,10,7,等明年的到来！,0,一点点都不静静,17445521
31,2019,10,5,2019 10/5  爱yanzi！,1,燕姿的一个小小粉丝,547938711
32,2019,10,2,广师大外国语学院,1,LmyuOuO,450086346
33,2019,9,29,每周周四午休后的第一首歌，初中广播站播了三年，直到我们初中毕业了，广播站就换了歌单。怀念当年的歌单，当年一起听歌的人，当年努力的自己,0,諜e影,1489793968
34,2019,9,24,一起走到。,0,桃花大雪,511329394
35,2019,9,22,艾马尔 永远的精灵,0,valanccino,69147435
36,2019,9,21,羡慕你,0,林宥嘉很饿,428802843
37,2019,9,21,刘松的女神,0,shame12,1524052699
38,2019,9,19,"     生活，一半是回忆，一半是继续。而有些人根本就没有回忆。
",1,满身傲气败依人,1885424576
39,2019,9,16,新疆师大附中15年高考誓师,0,星月夜与六便士,365107945
40,2019,9,12,中南大迎新晚会打卡,2,羊奶o,250118023
41,2019,9,12,在中南财经政法大学 中秋晚会收尾时听着,3,九色空的玲珑骰子,611246134
42,2019,9,12,初中班歌，转眼六年过去了。大学要好好加油啊！！💪🏻,0,尤里卡G,285647676
43,2019,9,8,把自己角色扮演好,2,SUnBoCYC,390195965
44,2019,9,8,特别喜欢呢,0,篱珞珞珞,1486357491
