index,year,month,day,content,likecount,nickname,user_id
1,2019,11,12,我常常觉得，中学时期听的歌会参与一个人塑造三观的过程。比如这首歌，呼唤多元观点，少一点经典的意见！[大笑] ,2,恺慎,1795036965
2,2019,10,26,这歌我居然没印象。,0,feiffffelixxxxxlin,336271654
3,2019,10,24,今天就不断循环燕姿的歌吧,2,珈曳,637769065
4,2019,10,23,好听,0,Ethan190831,295864645
5,2019,10,21,好听～❤️,0,Ze_Zzzzzzzzzz,257903632
6,2019,10,17,最爱燕姿各种冷门歌曲！都是我的宝藏！,0,互联网石原里美,435471851
7,2019,10,15,我寻思我初中的诺基亚N86里怎么只有这一首歌，现在单曲循环快一天了我发现好像当年忘了的事情全都记起来了。,1,idol霓虹Q,247330765
8,2019,10,15,是的！不知不觉间听了好多，佛系挖宝[大哭],0,许你一汪时间的空灵,130936872
9,2019,10,14,"哈哈,慢慢听吧,卧姿的歌就像宝藏,越挖越多",0,放开那个边裁,20321713
10,2019,10,12,好久没听这首歌，现在听还是那么耐听。,0,木匠邓,637691119
11,2019,10,5,超级元气！！,0,野生奈美惠,249196409
12,2019,10,4,而我们相同而我们不同却完整,1,不遑多让o_O,1944277967
13,2019,10,1,天呐我突然觉得这个歌手我能听一辈子。第四年了，每年都会听到她不同的歌，热门的冷门的。没有刻意去扒她的歌听，但就是每年会发现她不同的好歌，然后反复听。好神奇的感觉……,1,许你一汪时间的空灵,130936872
14,2019,9,18,唉呀 大中午的加班 听到这个歌 我要摇摆了,0,bulankaa,73550678
15,2019,9,18,欧文，学习下牛顿第一定律,0,MOB0901,14057585
16,2019,9,17,以后有钱了开一家店，天天放孙燕姿的歌,2,518124,393138893
17,2019,9,12,满满回忆,0,静菜菜,298070903
18,2019,9,3,当年陪了我整个暑假的专辑～凉席，夏天，西瓜，随身听，和燕姿的歌循环播放,0,叮叮周sama,358435265
19,2019,8,27,[憨笑]俺又发现宝藏了！！！奥力给！,1,也不是猪只打呼,355734135
20,2019,8,19,"多一天多一天 不同的体验
每次多听一遍都有不同的体验",2,Christine-ou,337799242
21,2019,8,19,好听,0,Christine-ou,337799242
22,2019,8,14,好听！好棒！！！,0,帐号已注销,1682941277
23,2019,8,11,等演唱会 ！ 看姿妈要买前排！,2,allrebecca,319240188
24,2019,8,8,前奏好舒服,1,z柠檬菠萝冻,413337547
25,2019,8,6,超级喜欢孙燕姿这类型的歌，种、慢慢来、反方向走走  真的很有范，这首也超级棒。人生就是这样潇洒，我就是这街最靓的妞！,2,爱买萌的小姑娘,317525419
26,2019,8,1,重新认识leave这张专辑，燕姿好美,2,愿君依旧笑,559237310
27,2019,8,1,好听好听[憨笑]，轻松愉快的赶脚,0,Cheri祖远,281090136
28,2019,7,23,五年级，每天中午上学前必听这张专辑的歌~~~~,2,写日记的贵树,340481635
29,2019,7,23,燕姿  生日快乐❤,2,Stef-y,368904262
30,2019,7,22,是目前的心境,0,计时人生,258834281
31,2019,7,22,喜欢,0,识刀客,623315109
32,2019,7,13,[多多大笑],0,该昵称无法显示刷新也没用,30617500
33,2019,7,13,好心情🍑,0,树wm,123279055
34,2019,7,11,好有青春味的歌,0,迷幻shinee,400625173
35,2019,7,11,和直来直往相同的调调，喜欢,0,Chertime,83946830
36,2019,7,6,明明很好听！,0,autuman521,37484249
37,2019,7,4,这几天老是想起来这首歌,0,逆光FACE,88730935
38,2019,7,4,好像很久以前在麦当劳听过，所以一听就想到麦当劳的氛围。,0,阿边在海参崴,70589101
39,2019,7,2,听过,0,八九不离食小姐,133898896
