index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,😯😯发财,0,Sap_phire,1437539210
2,2019,11,24,我太开心了，能够及时看清渣男。我实在不明白，现在的人怎么了？非常缺爱？可以同时和许多女孩子聊骚然后看谁先上钩，害，应该庆幸啊！怎么就有点不舒服呢[西西晕了][西西晕了],1,珞珂瑷玩,285387055
3,2019,11,23,有,0,丫丫的歌-,55924335
4,2019,11,23,燕姿明年有演唱会吗？,0,Stefanie-118,264569633
5,2019,11,23,初中开始听的歌,0,思覺不調,453438752
6,2019,11,22,我会记得你,0,苑子潯的小号,1548957065
7,2019,11,21,我准备好了 孙燕姿明年演唱会寄张票给你。不管你来不来，我都在…,0,丫丫的歌-,55924335
8,2019,11,17,还是会梦见你,0,无烈阳不兄弟,34639821
9,2019,11,17,是时间错了人没错,1,冬天我做你外套,1397700030
10,2019,11,16,我的情路就比较顺畅了，从未出现过谁。,0,小羊西路,272623391
11,2019,11,12,原来我错过很多很多好歌,0,眼里有深海,283596601
12,2019,11,11,你已经在来的路上了吗？,0,不怂的珊珊,395705741
13,2019,11,8,加油[爱心]祝好,0,可爱的贤,429808042
14,2019,11,8,疯狂的梦没有了你，还有什么用？,0,可爱的贤,429808042
15,2019,11,4,孙燕姿还是孙燕姿,1,努力ill,286524220
16,2019,11,3,Goodbye my almost lover.,0,--橙子橙子--,83837894
17,2019,11,2,十五年后的今天明白，今生最大的遗憾是不能和你一起，今生最大的感伤是我会和你一起。,0,素年锦时20111021,1656149091
18,2019,10,25,@奥特小曼1989 ,0,各种风格各种听,3260191
19,2019,10,24,"单车岁月—忆挽青笙尽
不能和你一起，走完这世界。",2,KEYASY,304531943
20,2019,10,23,明明是个幸福滴银儿，为啥一听这首歌心里一股想哭的暗流涌动？……抓心的音乐啊,1,evanyxy,1600147416
21,2019,10,23,这首歌一听就想哭，偶明明是个幸福滴银啊,1,evanyxy,1600147416
22,2019,10,21,"回想亘年漫月里的所有怦然心动
你仍拔得头筹 ​",3,Why-Not-Here,319946645
23,2019,10,20,我把“你”弄丢了[流泪],1,雪雪雪雪狐,78491688
24,2019,10,14,我想告诉你 我在听 虽然你也不会看见,0,中国全智贤嗷,564433809
25,2019,10,8,喜欢夜跑的我把脚摔伤了，足弓塌陷距骨骨折，术前术后的剧痛，我没有流过一滴眼泪，两年后骑车又把膝盖摔了，右胫骨平台骨折，韧带撕裂，剧痛依旧无法让我流一滴眼泪，可我记得，我曾经在你面前哭的像个小孩一样。,3,知城知城,365088907
26,2019,10,5,我觉得这一次我们真的彻底不可能了,0,呀仙女本仙呀,474437045
27,2019,10,2,不能和你一起，是我的错,0,过往云烟视而不见,305289320
28,2019,9,30,听燕姿的歌，我都容易哭，难受,2,我要吃很多糖,370015706
29,2019,9,30,是 我会和你一起,0,给未来好抱I,1448103567
30,2019,9,30,好好活着,1,__辞旧__,74652900
31,2019,9,29,XYJ在2020年 你能回到我身边 然后一起去看孙燕姿演唱会吗？ [多多难过],1,我还是我呀_,65086773
32,2019,9,28,今天才真的听懂这首歌,0,燕姿我好想你,403139403
33,2019,9,28,今天的争吵让我以为我们是不是走不下去了,2,燕姿我好想你,403139403
34,2019,9,28,多想再见你，哪怕匆匆一眼就别离,0,我爱卡卡2208,412551040
35,2019,9,28,还有  很好,1,在浩的天空,474071090
36,2019,9,27,要是能在一起 我也不会听到这首歌了,1,zhengshaopeng,397480734
37,2019,9,25,像落笔，又像出发,1,小索170919,596513126
38,2019,9,21,这首歌也是陪着我走过青春的其中一首，反复听过很多次了,1,动次打次520888,1580815043
39,2019,9,18,我会和你一起•ᴗ•,2,也不是猪只打呼,355734135
40,2019,9,17,不能和你一起 走往这世界幸福方向。,4,我坐在九份的咖啡店,72788572
41,2019,9,15,没事就回来看看燕姿，回归初心。,1,够不够暖活你1993,318608250
42,2019,9,15,人会因为各种原因喜欢上一首歌，mv看过几百遍,0,可听说,277448905
43,2019,9,13,最后会在一起就没有关系了啊,0,一只往上爬的蜗牛,1495323741
44,2019,9,13,"最爱的那个人，你还记得吗？
曾有一天 他落下最后一笔，拾起画卷正欲细看，却惊觉四周都变了样。清冷陋室     陡然间华光流转，细缕柔风叩开了门，门前蜿蜒小径不复存在，入眼的却是一条灯火粲然的长廊，长廊尽头，青衣女子转过身，向他微微一笑",1,刘小小需要一颗糖,1654916541
45,2019,9,12,9岁认识，18岁去世，猛的算算，带给我温暖的你，已经去世13年了，从18岁到31岁，我已是大龄单身未婚女青年，我相过很多亲，并不是别人不好，我就是爱不上别人，爸爸妈妈都开始担心我一直不恋爱是不是生理或者心理有问题了，所以我打算找个合适的人结婚了。不能和你在一起也没关系，反正你都长进我心里,19,何欢是白痴,297639453
46,2019,9,10,我天……唉。,0,_easy___,262467930
47,2019,9,9,我会和你一起,0,过往云烟视而不见,305289320
