index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,我的解读是，不忘初心,0,一首歌曲的时间,394511585
2,2019,11,27,以前听不懂，现在不想听到想哭,0,Silent有始无终,335356281
3,2019,11,26,孙燕姿是怎么做到11-11到11-26号360个小时不上线，不一般不一般！,0,chenyuru0924,266077689
4,2019,11,25,初三的时候，听过，那时候这首歌是第一主打,0,段-舍离,93668187
5,2019,11,25,明天开始从新带着新团队上路，带领大家勇敢奔向新世界。 我又起飞了，我是自由的,0,如氵水,488453325
6,2019,11,24,哪一段才是永久，好喜欢这一句,0,chenyuru0924,266077689
7,2019,11,23,最美封面是时候[亲亲],0,Qcerkay,253235928
8,2019,11,22,超水平解读,0,镜子时光如水世界支离破碎,411649720
9,2019,11,21,太好听了！,0,sweettteee,416746687
10,2019,11,19,被困住。😞,0,熊二是小花,357863204
11,2019,11,18,四年级，在看金鹰动画片突然一个广告推荐了这首歌,0,阿杨野,406728675
12,2019,11,17,"太多美丽的语言，
不比心语的纯洁。",2,Coolgirl-Nar,45777686
13,2019,11,12,又一次打卡～,0,李柳李要变身了i,86961589
14,2019,11,10,这首歌刚出的时候我初三吧,0,LUOJUE1995,393044070
15,2019,11,9,同城你好,0,苑子潯的小号,1548957065
16,2019,11,5,今天脑海忽然想到这首歌～我也不知道我怎么了,0,计时人生,258834281
17,2019,11,5,不以评论论质量,1,计时人生,258834281
18,2019,11,5,这首歌为什么评论这么少,0,坂口a,289868228
19,2019,11,3,孙燕姿是我一直喜欢的，尹毓恪是17年我开始关注的，原来啊，喜欢的人总是有相似处[大笑],2,零缺点-,545352622
20,2019,10,31,好多年又后脑海又响起这首歌,1,阿茶Emiya,345475600
21,2019,10,25,我是自由的,2,迷幻shinee,400625173
22,2019,10,20,考古 好爱这首歌,1,邮筒小姐,1700174463
23,2019,10,20,最喜欢这首,0,练了,286241625
24,2019,10,14,同一个脸？脸论个的？,0,genteelgaiety,14998407
25,2019,10,11,时间满满的心却空空的,0,不遑多让o_O,1944277967
26,2019,10,11,第一次听还是小学的时候那个时候就超喜欢，小时候品味不错( ﾟ∀ ﾟ)，这个评论数实在不科学,3,JMconsyl,401103986
27,2019,10,9,当年听的时候还是世说新语,0,Dark-of-night,377344129
28,2019,10,8,曾经那个时候天天放这首歌，却没有认真听过。时过境迁，突然被一句惊醒。原来人的成长是在年龄的增长且伴随着心境的变化而老去的....,0,遂以之外,64907094
29,2019,10,8,"我是怎么了，像被困住了，时间满满的心却空空的。
这歌词写得就是我，我想笑，我想爱，但是却找不到心动的感觉，找不到爱的人，爱的事儿，爱的集体，不知道自己活着的意义了。",1,8楼永远爱3楼,80342819
30,2019,10,4,超级好听,0,Vae丶雨lin,513426486
31,2019,10,3,世说新语,0,爱哭鬼喝凉水,562244256
32,2019,9,29,早,0,Stef-木魚,70036533
33,2019,9,27,好听啊,0,你好蔡啊-,320084995
34,2019,9,26,记得当年这张专辑刚出的时候，我还是个初中生，印象最深刻的是当冬夜渐暖，逐渐长大后明白了这歌。我是自由的，是的，我应该要起飞了！,1,一点点都不静静,17445521
35,2019,9,26,估计忙着演唱会呢！,0,MMF健身精神,62382996
36,2019,9,26,燕姿这首歌初中的时候听过，现在又来听。那种自由的感觉谁不想呢，燕姿真的可以出新歌了,1,芭蕉分绿与窗纱27,1805735770
37,2019,9,20,这张专辑刚出的时候下载了整张专辑的歌，听了好久，转眼都好几年了,0,如常__,126406755
38,2019,9,14,太好听辽！[流泪],1,也不是猪只打呼,355734135
39,2019,9,14,呜呜呜呜神仙唱歌！！！,2,也不是猪只打呼,355734135
40,2019,9,13,听到这句时刚好看见你的评论,0,N-D-S-I-O,79585412
41,2019,9,12,很好听啊怎么没人,0,XQ0823,489797899
42,2019,9,10,就是来找这段的！ 想听清好难,0,NTUfail,71924954
43,2019,9,7,真好听呜呜呜呜呜,1,也不是猪只打呼,355734135
44,2019,9,6,我爱燕姿,0,所有想要的名字都被占用,320065970
45,2019,9,3,心自由了才快乐！,0,隐藏的失落,410988
46,2019,8,29,听到想哭的一首歌,0,feHyp,322279833
47,2019,8,29,催促我有梦去追,0,坂口a,289868228
48,2019,8,28,工作多年再来听这首歌，爱不释手,1,XQ0823,489797899
49,2019,8,27,好听,0,泡泡是小太阳,421058825
50,2019,8,25,应该是15年听到这首歌，感觉旋律很一般很少听。现在喜欢死了，怎么会怎么好听，好听到跟着唱都想飞了！,2,跳舞的yanzi,287088787
51,2019,8,24,当年这张专辑出现的时候，我点开听了一遍之后发现我怎么都不喜欢。后来才知道是因为太年少太过焦躁，现在长大了每听一遍都有新的感受。,0,和小苹果比可爱那你赢了呀,296882095
52,2019,8,23,"背景英文念白取自Sarojini Naidu的诗《Life》：

「Till you have battled with great grief and fears,
And borne the conflict of dream-shattering years,
Wounded with fierce desire and worn with strife,
Children, you have not lived: for this is life.」",6,Jeasye,127700619
53,2019,8,21,听着歌，突然就想到大学要毕业那年的3月，拿着这张专辑坐在宿舍桌子上看签名的时刻。,3,从前有个跳跳Jaye,487830997
54,2019,8,21,2019我还在听,1,唉哟唉哟唉哟唉哟,284461673
55,2019,8,21,小时候总是追着哥哥跑，可他却总是讨厌我缠着他。哥哥喜欢孙燕姿，我也开始听。第一首听的就是世说心语。现在我和哥哥还有嫂子都盼着燕姿能开一场演唱会。,2,红茶拿铁不好喝,1324554780
56,2019,8,18,超爱这首歌的,0,Qcerkay,253235928
57,2019,8,18,2019，有人在听世说心语吗？😊,9,落沫1810,1595689014
58,2019,8,17,快乐买不到，痛苦卖不出。,0,江涛的江,116930588
59,2019,8,16,好性感[惊恐][惊恐],1,自然卷都是坏蛋吧,549854503
60,2019,8,8,我真的好爱这首歌！,0,---Saudade,247575263
61,2019,8,8,想懒姿了。,0,Kepler小姿,342372326
62,2019,8,7,2019年8月7日17点49分，想你呢，淡写,0,123连翘,1784905954
63,2019,8,7,那个电音不错,0,我很鱼块,125768521
