index,year,month,day,content,likecount,nickname,user_id
1,2019,11,21,寄居蟹……对这个记忆点很深,0,茶茶湘子,624784241
2,2019,11,19,那年高三，五月了，还随市队一同去周边市打球⚽。面对即将来临的高考，似乎还没准备好。对未来充满期待的年轻人，也有一些迷茫。年轻人可能不知道高考的结果会对这一生意味着什么。比赛完返程，大巴车上，睡着了，天很热，汗水打湿了头发。迷迷糊糊中，听这首歌，像极了当时的心态。,0,bestbeck,469381239
3,2019,11,17,这首歌好多人不会了吧,1,红尘小小生,73020014
4,2019,11,2,希望以后能遇到一个喜欢听我的歌单的人,0,半座城池丶,500055772
5,2019,11,1,站在中间地带,0,跳舞的反骨,33249451
6,2019,10,29,这首歌真的超好听,0,珈曳,637769065
7,2019,10,25,解锁🔓,0,呐-我去给你煮碗面,263568986
8,2019,10,20,高三毕业那年，夏天的每一天都仿佛无限的重复，就像被套上了透明的绳索。那时候莫名地重复地听这首歌，莫名地对某个相信不疑的人感到失望。就好像早已经预料到一切都变成无聊的原地停顿。那时候我就像一只爬出奇怪路线的寄居蟹吧。,1,Julianney,128632560
9,2019,10,19,她喜欢孙燕姿的歌，我喜欢听她的歌单[多多比耶],0,乌合之众170422,472226837
10,2019,10,17,爱爱爱是不变,0,互联网石原里美,435471851
11,2019,10,17,断断断了想念~,0,也不是猪只打呼,355734135
12,2019,10,15,442评论认真的吗？,0,SANJIU9,281870167
13,2019,10,10,站在中间地带，我暂时不会脱鞋,0,原来已经8点了,108821835
14,2019,9,27,啊，不太了解[流泪],0,霉头霉脑云散月现自在飞花slay,42294326
15,2019,9,27,不是那位，那位也是编曲大师，已经去世了，这位应该是叫邓志明吧！,0,布鲁斯牛仔裤,246234044
16,2019,9,27,陈志远,0,霉头霉脑云散月现自在飞花slay,42294326
17,2019,9,27,Martin Tang,0,布鲁斯牛仔裤,246234044
18,2019,9,22,爱了爱了[大笑],0,玄菟85,325569616
19,2019,9,19,被忽视的一首好歌，这种歌只有铁粉才会喜欢。不过，说实话，薛忠铭的音乐，更适合张信哲来唱。,0,寻羊念真,376287923
20,2019,9,15,我在我也会，他还是我的❤️,1,KeplerTDV,120584731
21,2019,9,9,今天是怀旧系列 过了这么多年还记得歌词[亲亲],1,喂sasa,120854520
22,2019,9,9,寄居蟹,0,过往云烟视而不见,305289320
23,2019,9,5,编曲一点都不像十几年前的歌[亲亲],0,霉头霉脑云散月现自在飞花slay,42294326
24,2019,9,5,超好听,1,珈曳,637769065
25,2019,8,21,前奏，太好听了，伴着云卷云舒，一切铺开，包括燕姿的歌声的姿态,3,夏小莫,869908
26,2019,8,17,喜欢这首[大笑],0,霉头霉脑云散月现自在飞花slay,42294326
27,2019,8,11,[多多无语],0,唐某不沾刘女,347702944
28,2019,8,9,我们在歌里共度余生可好～,0,树懒iiiii,494562498
29,2019,7,31,十分正确的做法啊，值得学习！,0,一双鞋踏破了天地,557157073
30,2019,7,26,很喜欢这种。,1,我只会乱乱唱,272309134
31,2019,7,25,所有歌都好听,0,霉头霉脑云散月现自在飞花slay,42294326
32,2019,7,23,冷门神曲,0,快送我出家,302527318
33,2019,7,23,哇哒哒哒哒,0,柠檬树薯片,84505812
34,2019,7,15,打卡,0,Kkmiami,455050359
35,2019,7,14,这歌可太难了,1,sunmengtao,310686291
36,2019,7,11,我喜欢这首,1,风雨飘飘飘摇,467610631
37,2019,7,5,被这首歌着迷,1,围绕着我崇拜,397947640
38,2019,6,30,打卡,0,Chertime,83946830
39,2019,6,28,很好听,1,狐狐狐糊胡,1301675593
40,2019,6,25,有没有很帅气，酷酷的燕姿。,1,s1ck1000,1471605268
41,2019,6,11,duang duang duang了想念,0,makalokakaka,39917485
42,2019,6,10,哈哈哈哈哈哈哈,0,辣辣辣哭了,121235068
43,2019,6,10,层主你有毒 我现在听都是这个了,0,在西北偏北,136412020
44,2019,6,2,我暂时不会有拖鞋,1,45度蓝,57948943
45,2019,6,2,前奏真的很有代入感[开心],2,千禧年小王子,1773768190
46,2019,6,2,声带里都是胶原带白的感觉,9,Original源_,68005848
47,2019,5,23,果然不到999的才是宝藏啊！,3,Sparrrrk,270935914
48,2019,5,14,biu,0,在三万英尺的高山以追逐野兽为乐,369636845
49,2019,4,22,断断断了想念,1,藿香正气的NINJA,2444032
50,2019,4,21,“他右边一些”我听成了“他有癫痫”_(:з」∠)_,5,辣辣辣哭了,121235068
51,2019,4,20,好听,0,Davie504,57455489
52,2019,4,18,打卡,0,跳舞的克卜勒,122786310
53,2019,4,16,[亲亲][亲亲][亲亲][亲亲]从小到到大，我会爱你到老。,0,会膨胀的萝卜丝,333285925
54,2019,4,14,好喜欢,0,O_oHULLO,343829645
55,2019,4,12,一开始就抓耳啊！！！,0,May_fisher,1672347857
56,2019,4,3,恶心巨蟹座,1,C12345689,452443513
