index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,激情循环 第六天,0,Jolisa,51317754
2,2019,11,27,对[多多大笑],0,不流泪的KTV,559937049
3,2019,11,27,但是同类也很美好，不是吗[皱眉],0,皓月星尘,499727006
4,2019,11,26,好听,0,银时君的洞爷湖,69843674
5,2019,11,20,好听,0,我要吃不下了,98394082
6,2019,11,19,那你应该不小了,0,杨仔儿在看书,443724089
7,2019,11,18,未完成真的是神专。,0,识刀客,623315109
8,2019,11,17,17岁喜欢孙燕姿,1,又失棉了,303549664
9,2019,11,17,第一次见真注销的账号,0,啊啊啊elaine,76004022
10,2019,11,13,好久没听这首歌了，果然还是那么好听,0,花花-toy,1465729217
11,2019,11,13,喜欢我姿的第十年！我已经今年二十岁，最爱我姿，，全世界安利！！！,0,她从雾里来,1609131323
12,2019,11,12,你每次都是用力过猛，感情刚开始，你便奋不顾身，背水一战，不留一点儿后路。而对方，却不显山不露水，给予的恰到好处，哪怕分开多年后，你仍不知自己输在哪里。,4,不流泪的KTV,559937049
13,2019,11,11,喜欢自己的品味，不需要同类,3,不流泪的KTV,559937049
14,2019,11,6,前奏很带感,0,XQ0823,489797899
15,2019,10,28,如何相处,1,Orange酱Lu,65211118
16,2019,10,27,可能是,0,Queen余洁,544409016
17,2019,10,27,超爱这首歌给我的感觉,0,筱晨0v0,337212142
18,2019,10,27,跟着蕊希来的赞,2,阿拉巴啦_,456356172
19,2019,10,26,蕊希推荐❤️,8,zhuyunxun,1608499524
20,2019,10,26,入坑曲 一首这个 一首 我不难过,0,您的账号余额已不足_____元,615924163
21,2019,10,25,前奏有种把人拉进童年的感觉,2,识刀客,623315109
22,2019,10,25,好爱这首啊！！！！,0,借我半盏灯,107982595
23,2019,10,17,1337 10.17 9:31 孙燕姿 休止符,1,识刀客,623315109
24,2019,10,16,不知道还有没有机会去看我姿的演唱会,0,ada111111111,1483049609
25,2019,10,16,杨明学真是大才子,0,控场,40913104
26,2019,10,11,等你。,0,SSYANITY,504036005
27,2019,10,10,"不知道为什么，每次听这首歌总有种特别的感觉；
只记得听这首歌最多是在初恋分手后，每天努力学习的日子里。",0,Heeenk,9433780
28,2019,10,7,这是爱过处女座之后的心情吗,1,帐号已注销,326956581
29,2019,9,28,晚安好梦🌙,0,Bressanon杨城宁,369690580
30,2019,9,27,这首歌无意间听到是最好的,0,雏菊veep,315035968
31,2019,9,25,漂浮群岛一句走啊走啊走啊可以干倒一大片人,0,rfmjs,1357855390
32,2019,9,16,这是最后一次删除…再不会加也不会忘…也不会再去找…那些伤你心的人从头到尾打着爱你不再让你受委屈的旗号…殊不知 心上那一枪就是他开的…算了…如果心痛大于快乐我还是不要这种爱了吧…毕竟人不在感情不在问候不在…我不知道要来干嘛…,3,女王Quinn,69044775
33,2019,9,11,这个前奏是虫虫大作战的音乐吗，好像啊[大哭],0,我有一块小饼干,333348483
34,2019,9,9,喜怒哀乐 人生必经之路。。。,0,aprilworld,476591793
35,2019,9,4,我用我的态度看这个世界庸庸碌碌,2,山山尔川A,389622655
36,2019,9,3,表白你的头像,0,孙鳌头呀,502416807
37,2019,9,3,我想知道为什么 永远 的评论都是那一句歌词,0,孙鳌头呀,502416807
38,2019,9,1,哀乐 喜怒 人生必经之路 不愿 停驻 世界我要征服,1,扛起孙燕姿就跑,2594529
39,2019,9,1,日常表白孙燕姿,0,扛起孙燕姿就跑,2594529
40,2019,8,31,没想到这首算是燕姿歌里的冷门，当年专辑刚出来时候周围的同学们都很喜欢的说……,0,雨声渐响,324087641
41,2019,8,29,高中时的闹铃声 这首歌的前奏 这的绝了,0,蜀将平平,1625950231
42,2019,8,29,不愧是孙燕姿老师,1,文综界的扛把子,283265821
43,2019,8,29,旋律好好听,1,文综界的扛把子,283265821
44,2019,8,28,好难唱[大哭],0,艳子姑娘,1235020
45,2019,8,26,我现在17,1,sweettteee,416746687
46,2019,8,23,"为什么总会喜欢一些爱而不得的人
幻想一些虚无的东西，感觉好累",1,孙燕姿的秘密情人,1359976045
47,2019,8,21,休止符。,0,飞飞哥918,123724242
48,2019,8,21,我永远最喜欢的一张专辑,0,hybrid-stardust-neverawiseman,65528030
49,2019,8,20,听见这个熟悉的前奏突然有点儿想哭,0,小蛤蛤快聋了,31485863
50,2019,8,18,感谢尹小灰同学的推荐，当我听懂休止符的时候，我们之间好像也划上了休止符。,1,山的支,475645258
51,2019,8,18,2019年夏天。。,0,山的支,475645258
52,2019,8,17,人生必经姿路,1,小姿迷一个,31430708
53,2019,8,16,"我真的好喜欢这首啊
就是那种 我是真的很想继续留在你身边
可也是真真切切的觉得你不需要
所以还要残忍的主动的为我们之间画下爱的休止符",5,繁枝之中出落你_,94588006
54,2019,8,16,现在听来，前奏太惊艳了，编曲也好棒,0,桃花贪睡,314209791
55,2019,8,14,很有特色的一首歌，超级喜欢，但是MS知道或者喜欢的不多！,0,云儿曰,267625788
56,2019,8,13,所以我们之间 是不是也已经画下了休止符,1,噜噜嘣嘣叭,14181052
57,2019,8,13,[多多无语],0,唐某不沾刘女,347702944
58,2019,8,7,好想也有郑州，可我知道这不可能，可不管多远我都会去,0,玩心181219,1332697958
59,2019,8,4,我10岁就一直听孙燕姿了，算不算早熟？,0,花莫笑丶,514517742
60,2019,8,4,有种奇妙的韵味,0,层级,439164415
61,2019,8,3,我最近超爱,0,你的名字_yy,270601783
62,2019,8,2,我发现很多即使人不是孙燕姿粉丝，心里都会有一首孙燕姿的非主打歌曲作为心头好。,2,7things_,1318437548
63,2019,8,1,前奏一响，就推我坠入回忆的夏天,0,熊猫园园1905,1854576971
64,2019,8,1,同大三 同考研 同初中开始喜欢燕姿  同想看明年的巡演,1,二hwdew,548953739
65,2019,7,30,炎炎夏日，37°，想你,0,爱掀被子流鼻涕小姐,359065043
66,2019,7,29,微博，燕窝的投票哦,0,7things_,1318437548
67,2019,7,28,最近很爱这首,0,和平一只猹,302641780
68,2019,7,28,我也是回看第二期 说到休止符这三个字来听了 ,0,one宝宝,622595614
69,2019,7,28,这前调一下就回忆起很多,0,one宝宝,622595614
70,2019,7,28,哪里的投票哦,0,一只朵酱,133910328
71,2019,7,27,2003年夏天,0,Na小Na同学,271865036
72,2019,7,26,永远应该呼声最大吧 四首都喜欢,0,风衣syz,619438249
73,2019,7,26,了解 很悬耶,0,7things_,1318437548
74,2019,7,26,hahaha，我在休止符和永远之间纠结了好几分钟，然后重新再听了一次，按下了 永远的按键~,0,7things_,1318437548
75,2019,7,25,我投了了解,0,风衣syz,619438249
76,2019,7,25,我也投了休止符,0,起个名字而已,67361501
77,2019,7,25,现在永远第一了[流泪],0,RainbowAfterTheRain,59825347
78,2019,7,25,哈哈哈我为休止符贡献了一票,0,RainbowAfterTheRain,59825347
79,2019,7,25,今天的投票中，休止符在短短时间内拿下了第一，然而我投的是永远，欸，好烦，好难选，可不可以每场唱两张专辑，我争取每场都去,4,7things_,1318437548
80,2019,7,24,感觉这首歌和我不爱是姿妈最难的歌😼,1,一只小爷爷,332937582
81,2019,7,24,这首歌 越听越爱号码 大家来发现他,0,mollyrong,129212305
82,2019,7,19,大三暑假留校，每天都在学习，学一个小时就会奖励自己听一首燕姿的歌。初中开始喜欢燕姿，明年希望考研顺利，到时候去看演唱会！,7,你哥小鱼儿,377401176
83,2019,7,18,这首歌的制作好像是燕姿,0,万古啊长存,629173321
84,2019,7,17,每首都是经典呀 伴奏太好听了吧,0,五毛钱的姜糖,68627433
85,2019,7,15,本专最爱,0,Sparrrrk,270935914
86,2019,7,13,讲真，这张神砖，最喜欢休止符,0,用户622893911,622893911
87,2019,7,11,日推~,1,NAGIyu,365162233
88,2019,7,8,酷酷的感觉~,0,半夏锦年Snow,1413202432
89,2019,7,6,周董除外～,0,坏兔子_,451109516
90,2019,7,3,我的黑色时光是在高一 我听了这首歌不下五十次 反反复复...,1,Erika_Linder,305117600
91,2019,7,1,爱上了,0,不会跳舞的梵谷,453492497
92,2019,6,30,被丹丹老师cue的休止符，在180度里出现过的休止符,8,是铿铿啊,277795664
93,2019,6,30,虽然我喜欢燕姿，但杰伦范特西，叶惠美，八度空间也无瑕疵,0,xiao0206,1428279725
94,2019,6,30,03年非典，班里的一个关系户混混给我听的这首歌，记到现在,2,xiao0206,1428279725
95,2019,6,29,"2020,不知道有没有郑州站",3,大大大王康,61558428
96,2019,6,29,哇塞  不同凡响,1,1ioon,486719163
97,2019,6,26,这首歌很燕姿！！！,0,定在原地就困着等啊,549858601
98,2019,6,23,siesie [可爱],0,恺慎,1795036965
99,2019,6,23,倚音,0,梦-瑶玲,452720257
100,2019,6,21,很喜欢的一首燕姿的歌,0,Kiki和Dong,1664707939
101,2019,6,16,很多时候是因为歌词而更喜欢一首歌[大笑],1,岛屿书,103399374
102,2019,6,15,我用我的角度看这世界的庸庸碌碌,1,Zinger77,275131578
103,2019,6,15,也就只有孙燕姿能做到，一张专辑中每一首都好听，一比较现在的歌真没法听,3,天吾o,1838028489
104,2019,6,14,我们之间 休止了……我知道他 永远不会来找我了……,1,ClaraSchumann,415821731
105,2019,6,11,什么节目？,0,咕叽咕叽894,392379220
106,2019,6,11,"我用我的角度看这世界的庸庸碌碌
所得到的感触 超乎你想像的程度",0,小米糕啊,1436371488
107,2019,6,8,我也是。。。。我02年的,0,怀北1804,1418454076
108,2019,6,1,第二段「到底是你的全部还是你的宠物」的那个「还」叫什么音（专业术语）？我很喜欢！,3,恺慎,1795036965
109,2019,5,29,我就是17岁爱上孙燕姿的，怎么如此有共鸣？,2,裕典,7582133
110,2019,5,21,王菲的旋木mv里的那个男主就是他  安静温柔的样子停留在了旋木上,13,Joanna燚燚燚Fu,1540343710
111,2019,5,20,喜欢休止符就像喜欢漩涡一样,3,HYOUNG-,36261825
112,2019,5,19,杨明学写的词啊,5,再见黛博拉,439183427
113,2019,5,18,[多多无语],0,唐某不沾刘女,347702944
114,2019,5,17,人生必经之路,1,deer623,45909638
