index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,像自己在空灵的宇宙里漂浮  突然你出现在我耳边 声音很熟悉 但离我很远很远 却一直落在我心间  ,0,嘎子119,265715940
2,2019,11,25,来了,0,小仪甜甜圈,286179705
3,2019,11,24,真的有这种感觉 和爱的人一起 草坪天空真的太美了！,0,气压桑,535153341
4,2019,11,23,就像是躺在床上，蜷在女朋友的臂腕里，听她哼着唱[鬼脸],0,then张敬轩,478594170
5,2019,11,19,嗯，来了,1,苏叶_x,2022110754
6,2019,11,18,我依然愿意为你而歌唱,1,anotherrx,131960131
7,2019,11,17,来啦,0,爱战-,1551410522
8,2019,11,17,如果命运也符合开普勒第一定律，那你就是我的太阳,3,freeastime,99709568
9,2019,11,16,大爱这个版本，超治愈，燕姿唱的好温柔[亲亲][亲亲][撇嘴],1,aprilworld,476591793
10,2019,11,14,我也只是一颗寂寞的星星,1,奥奥今天开心吗,556987931
11,2019,11,13,害 肖战火了宝藏歌曲的评论区也就是他了。,0,不再寻,134606337
12,2019,11,12,“福特之所以盼望飞碟能在近期出现，是因为他知道如何召唤飞碟降落，让它搭他一程。他还知道如何以每天不到三十牵牛星元的价钱饱览宇宙盛景。我从未放弃回来，就像福特一直搜索飞碟的信号。在我自身的小宇宙中，一切的终极答案不是42，而是你。”,3,今天头疼吗,109172299
13,2019,11,12,"星星和月亮，距离人类很多很多光年，冰冷而没有生命，却象征着浪漫。
星辰大海，是人类永远的向往吧。",2,Cinna_Not_China,263834506
14,2019,11,12,是的，只有孙燕姿可以超越孙燕姿[可爱][可爱][可爱],0,7things_,1318437548
15,2019,11,12,太喜欢这个版本的克卜勒，喜欢到一天可以循环八百遍,1,7things_,1318437548
16,2019,11,10,温柔的版本,0,跳舞的梵谷180930,1542066811
17,2019,11,10,哈哈哈哈哈，来了姐妹,0,不怂sama,1517650824
18,2019,11,10,来了来了！,0,-WTLD-,1420947069
19,2019,11,10,和14年的不一样的版本，真的只有孙燕姿能把她的歌超越😂其实只是感觉不一样,2,万古啊长存,629173321
20,2019,11,7,天哪这个版本听得我想哭！！！,1,某秋nnn,1718811753
21,2019,11,7,来了,0,某秋nnn,1718811753
22,2019,11,7,孙燕姿给我做asmr,3,高山有崖_,438637819
23,2019,11,6,在别人作品下耍你爱豆名字 你觉得好吗 我们单纯听歌的人并不想知道你们听歌了 更不想看到你们在这儿宣传你们爱豆  你这种行为就是给偶像招黑 看你说话方式就像个小孩儿 ,1,鲨鱼鲨鱼鲨鱼粥,258191902
24,2019,11,6,幼儿园吧,0,鲨鱼鲨鱼鲨鱼粥,258191902
25,2019,11,6,真的呕了 ,0,鲨鱼鲨鱼鲨鱼粥,258191902
26,2019,11,5,我深爱着一颗寂寞的星星,3,不想喝水的大象,557442787
27,2019,11,4,感觉克卜勒真的是首很神奇的歌。什么爱情阿亲情阿都可以用它来诠释。,2,-泪比,567786534
28,2019,11,1,爪巴,0,益生菌的鱼尾纹yu,1437747117
29,2019,11,1,时间可真快啊,0,被玉米糕遗忘的流沙,1481573144
30,2019,11,1,纳小子，七岁了,1,被玉米糕遗忘的流沙,1481573144
31,2019,10,31,肖战粉来了,0,H铃兰,353852889
32,2019,10,31,超喜欢这个版本,1,小冀崽崽,455717392
33,2019,10,31,hush! hush!!!,1,一点也不奇怪的人uuu,1344748553
34,2019,10,31,今天是2019年10月的最后一天，不论自己是星星还是尘埃，都想用生命照亮未来我将遇到的一切。,2,Beeovenvan,1847499670
35,2019,10,30,哒哒哒,0,月亮守護者-,507765196
36,2019,10,29,爬,0,一瓶褪黑素_,1476385505
37,2019,10,28,漫天星河 我已见过 在她眼里,1,风系水火魔法师,303949237
38,2019,10,28,我曾以为银河也可以属于我，直到你让我知道未来不可期，没有深爱的人，我不会幸福，辜负爱我的人，我无法独自幸福。,0,冰是睡着的水20131126,1530980583
39,2019,10,28,我哭了姿妈是什么宝藏啊呜呜呜呜呜呜呜太绝了叭我原地爆炸螺旋上天三百六十度托马斯旋转一个跪地暴风哭泣,5,姜临晚,562260221
40,2019,10,27,后知后觉，爱了这个版本,2,很摇滚滴事,98010521
41,2019,10,25,好的我明白了！我们算是和平解决了！,0,山月远-,635020134
42,2019,10,25,来啦！,0,06年的辣条,1818133190
43,2019,10,24,我愿意给你我的光。,1,三月要向南,474032010
44,2019,10,24,没有一颗星星是寂寞的[星星][星星],1,小小瞳心,375911656
45,2019,10,23,睡前童谣版本,0,识刀客,623315109
46,2019,10,23,偏爱,1,柒玖陆八,87305689
47,2019,10,23,是我爱的她啊,0,JIAKfuture,277604148
48,2019,10,23,大自然的声音,0,XQ0823,489797899
49,2019,10,23,最后的“我依然愿意为你来歌唱”像是一个约定❤️,1,aprilworld,476591793
50,2019,10,23,"作词：hush
作曲：hush",1,日記樂隊,271754428
51,2019,10,22,哥哥是孙燕姿的粉丝，他唱这首歌是因为他喜欢，也想借这首孙燕姿送给粉丝和儿子的歌表达对自己粉丝的感谢，可能很多小飞侠确实是听到哥哥唱才知道这首歌，但老是来刷哥哥的名字，就不太好了。嗯。[呆],6,西瓜很快乐啊,1922057339
52,2019,10,22,我来了,0,杪秋Libra,1705202855
53,2019,10,22,一开口唱 我就哭了 更让我惊喜意外的一版了,1,yee-peaceminusone,262415308
54,2019,10,22,燕姿送给儿子的歌！super温柔,6,NTUfail,71924954
55,2019,10,22,某粉丝，差不多得了。,6,slwilliam,13485480
56,2019,10,21,来了,0,年1998,298678930
57,2019,10,21,“我深爱着一颗寂寞的星星”,1,山这边的海,271697768
58,2019,10,21,我也喜欢这个版本一些……不好意思我同是也是肖战的粉丝哈哈哈，不要这样啦，大家互相尊重，多一些包容与尊重吧[鬼脸],0,刘廿nian,79043205
59,2019,10,21,啊，这样吗，好吧。……因为我翻了蛮久没看到很不好的言论或者是你说的这样，所以我就发表了自己的一点想法。,0,刘廿nian,79043205
60,2019,10,20,嗯呐,1,肖战眼里有星辰大海啊,1997648536
61,2019,10,20,来了来了,1,肖战眼里有星辰大海啊,1997648536
62,2019,10,20,这个版本的克卜勒好温柔喔🍃,0,宇宙山河皆浪漫,282126101
63,2019,10,20,你说你孤独 就像很久以前 长星照耀十三座州府。,1,Kionck,1382183321
64,2019,10,20,今天又是被燕姿感动到哭的一天。,0,甘蔗大哥,131869087
65,2019,10,20,找得到找不到就怎么了呢,0,柠萌檬啾啾,567484998
66,2019,10,20,凌晨三点半~已循环三个半钟…,1,一杯红颜醉,68246249
67,2019,10,20,“感觉像一颗流星插进来 砰✨”,4,月岛绿子,543226174
68,2019,10,19,"克卜勒第一定律：
每一个行星都沿着各自的轨道
环绕太阳   因此它们从不会相交
-
我们都是按自己轨道运行的行星
当有了爱   我们会相遇。",10,也不是猪只打呼,355734135
69,2019,10,19,因为孙燕姿，才爱这首歌,1,如我-梦中人,1556368224
70,2019,10,19,夏夜和虫鸣，星星和宇宙，手电筒的光就这样安静地照着。谢谢二十年了，你一直愿意为我们来歌唱。,2,guoyuxiangyuxiangguo,511723860
71,2019,10,19,嘻嘻。今晚会唱！！！,1,也不是猪只打呼,355734135
72,2019,10,18,来啦,1,克_卜勒_,1525381523
73,2019,10,18,唱给孩子的温柔,1,从前有个跳跳Jaye,487830997
74,2019,10,17,这个歌好好哭啊，可是我并没有什么不满，是心自己湿润了。,2,用户622592750,622592750
75,2019,10,16,来了哈哈哈,0,跟什么风i,417766733
76,2019,10,16,"我这几天一直在想这个问题真的很重要吗对于我可是这也是构成生活甚至我生命的一部分我会被长长久久的影响着毕竟这是我渴望的光只要我不放弃这个光可以陪我走很久很久的路所以这个问题真的很重要对我我不再动摇了也不再询问谁的意见了相信我所体会到的不管最后变成什么",2,王世界肖个别,563149988
77,2019,10,15,"我永远喜欢那个大晚上穿着牛仔裤白t恤举着手电筒在黑漆漆的大仓库和植物园里寻找大自然声音的孙燕姿
这首歌的背景音就是这么来的",3,NTUfail,71924954
78,2019,10,15,孙燕姿才是我的kepler。,2,SANJIU9,281870167
79,2019,10,15,"“我真的陪他淋过大雨
真的同他最默契
真的记得他所有怪癖
真的最害怕分离
我也想把爱宣之于口
也时常对未来心怀侥幸
希望能得世界允许
坦荡一次喊他姓名 再说爱意”他已经不是小朋友啦他可以教你滑雪了一起去北极看极光吧",3,王世界肖个别,563149988
80,2019,10,15,"你不再是一颗寂寞的星星是“我爱上了一颗寂寞的星星”去滑雪吧我等",1,王世界肖个别,563149988
81,2019,10,15,你一直在我的世界里,0,鱼不二殿下,316783310
82,2019,10,14,好喜欢燕姿姐的这个版本哦,1,Lecland_,127465479
83,2019,10,14,嘎嘎嘎嘎嘎我来啦,0,Lecland_,127465479
84,2019,10,14,为赞而来的 你才是照亮我光的人,1,kiyianna,599499099
85,2019,10,13,"刷别人是对原唱的不尊重。
热评的几位我觉得都挺好的，都是因为“肖战”这样一个途径，了解到这首超棒的歌，所以没人喷。可是你看，真的有人把这儿当肖战评论区，来空瓶来了？不被喷才怪咧。",1,山月远-,635020134
86,2019,10,13,醉了,1,少女奇的幻漂流,301582808
87,2019,10,11,[多多可怜][多多可怜],0,呀呼-0,633560830
88,2019,10,11,太温柔了  我是在唱厅里点歌才发现这么美的版本[爱心].,0,有病的我们歌舞升平,94286916
89,2019,10,11,更喜欢这一版，燕姿好温柔，我好爱[色],1,如我-梦中人,1556368224
90,2019,10,10,这版本的克卜勒太温柔了吧，宛若童年时隔着蚊帐喁喁私语的虫鸣。原来的版本是长途跋涉后，终于找到那颗星星的满足。这个回归童年的状态，是那种满足的升华，我看着我得到的这颗星星的睡脸，低低地唱给他听，我的心意啊穿过他的耳，拂过他的脸，停留在我们交握的手上✨,4,一呀嘛_一颗星orz,62118604
91,2019,10,10,我想你是不想让她们来的意思 感觉被很多人误会了hhh,3,两米林小小,572213439
92,2019,10,10,耳朵痒[钟情],2,Davie504,57455489
93,2019,10,9,哈哈哈,0,三桥哈哈哈,532934967
94,2019,10,9,不要在这里也刷xz啊。。,0,喝口豆奶嘛,436547006
95,2019,10,9,来了来了！！！！为了哥哥我来咯,1,苏黎世678,1490220652
96,2019,10,9,来了姐妹,0,Leezaocy_,481407535
97,2019,10,8,宝藏歌曲,0,抱起自己跑,136379790
98,2019,10,7,操真的太TM好听了[流泪],0,今天伦敦男孩评论过万了吗,1572142123
99,2019,10,6,解解珍素淋牙利齿厚,0,今天伦敦男孩评论过万了吗,1572142123
100,2019,10,6,来啦来啦,0,十雨XZ,1517801312
101,2019,10,6,好温柔阿,0,我爱吃甜甜的,647417230
102,2019,10,6,孙燕姿孙燕姿孙燕姿,1,SANJIU9,281870167
103,2019,10,5,挺难过的 自嘲的话看似玩笑其实很认真 嗯我偷偷的难过偷偷的失望 一字一句都是刀割着我的心 我不合群我孤僻我不懂事脾气不好我不圆滑学不会跟随这世道的大流所以呢 那又怎么样 那又怎么样？,0,赎冬你的词,405322270
104,2019,10,4,星星都暗了，我和你该结束了,0,彩虹金刚qx,467277571
105,2019,10,4,孤星永远是孤星,1,蓝色真好,513791953
106,2019,10,3,而且在一位明星歌底下不停地刷另一位明星就是很不好的事情吧☹ 设身处地想一下如果肖战歌底下本来好好的 都是抒发对这首歌本身的情绪，结果最新几百上千条评论全是表白另一位明星的，你会烦吗？我解释这么多也是够礼貌和耐心了😂 你要还觉得我们表达厌倦情绪不ok那也没办法拉,7,NTUfail,71924954
107,2019,10,3,第三，明星和普通人本就不一样，在这种场合你不可能拿素人和明星做比较。其他表白的是千百万个人素人，表白对象是千百万个素人，说的是不一样的话，描述的是不会让人厌烦的千百万个不同的情绪和故事。千篇一律的东西不管在哪都会让人厌烦。,7,NTUfail,71924954
108,2019,10,3,首先，没有伤害他本人也没有歧视他粉丝，只是单纯不喜欢这种 刷 屏 行为。其次我往下拉了很久，在你们来之前这首歌的评论基本都聚焦于这首歌本身。,8,NTUfail,71924954
109,2019,10,3,没错我找到了，而且还喜欢上了燕姿的歌，听了好多遍了😊😊,0,人间绝色-战,535742214
110,2019,10,3,我实在是不理解，那么多听到歌曲表白自己心爱的人的人，没有被怼……但就因为自己喜欢的是一个名人，说了就要被怼？？？为什么，喜欢人也是要被歧视的吗……评论本来就是表达每一个人自己的感情的，我喜欢的人，正好大家认识，但也请不要伤害好吗,4,刘廿nian,79043205
111,2019,10,3,嘻嘻嘻 我找到你啦,0,蓝色真好,513791953
112,2019,10,3,我在另一个版本的评论里说了句反他家哥哥的话，被说ky？我寻思谁ky呢？？？xswl,0,我要吃很多糖,370015706
113,2019,10,3,他们一点儿不觉得自己有什么问题，我们说不得，说就是针对他家哥哥,4,我要吃很多糖,370015706
114,2019,10,3,我在那个版本评论里说了一句 不知道的还以为是肖战唱的 被怼到现在,2,我要吃很多糖,370015706
115,2019,10,2,真的！！那一个版本全是xz粉丝 真的是烦死人,5,终风柏舟,537373920
116,2019,10,2,肖战是孙燕姿粉丝，你们跑来这里刷他是为了什么？,3,苑子潯的小号,1548957065
117,2019,10,1,我觉得不是诶[多多亲吻],0,TwinklingKepler,581430392
118,2019,10,1,评论好多肖战，拜托别再刷他了，招黑。,9,茶熊二,1667726622
119,2019,10,1,劝战战粉丝别来败好感，我看着都不舒服。,2,是JJJY,572602300
120,2019,9,30,他家粉不知道这样超败好感吗？？？我晕哦,0,我要吃很多糖,370015706
121,2019,9,30,他家粉不知道这样超败好感吗？？？我晕哦,0,我要吃很多糖,370015706
122,2019,9,30,好想爆粗喔 别来刷这版好不好嘛 刷那一首够了吧 这首是孙燕姿送给她儿子的,12,NTUfail,71924954
123,2019,9,30,我会做你的星星-肖战,0,茶叶蛋的企企,444977326
124,2019,9,30,我也是 爱了 ,0,果味VC171230,1325439106
125,2019,9,29,恭喜你✨,0,-茶茶茶-,542084715
126,2019,9,28,你大，你最大了，说战战是我听这首歌的媒介也不行了,0,他的勃艮第女孩,1313384971
127,2019,9,27,喜欢孙燕姿，喜欢克卜勒，不因为其他人[爱心],8,小豆岛主,1329701318
128,2019,9,27,我依然愿意为你来歌唱,0,尾兽豆宝,65541335
129,2019,9,27,粉丝真招黑 都是小学生？？,6,ELiOR-,409378019
130,2019,9,27,更喜欢这版呢,0,ELiOR-,409378019
131,2019,9,26,害～这不是来了吗～,1,时遇171212,1310157566
132,2019,9,25,温暖的hush,0,日記樂隊,271754428
133,2019,9,25,祝他幸福,0,馋棒棒糖的小鬼,1505266923
134,2019,9,25,这个版本真是意外的好听,0,rock默然,39572304
135,2019,9,25,和你喜欢同一首歌，算不算是一种靠近,4,来了就算你签辽生死契,593994154
136,2019,9,25,听到偶像唱到 我深爱着一颗寂寞的星星 突然很感动,2,小笼包包包,61393150
137,2019,9,25,这版就求别刷了……真的是,5,orisola,436604251
