index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,在新加坡经常听到这首歌,1,易风扬,29681188
2,2019,11,14,以前买的vcd，视频好像是，燕姿的演唱会花絮哈哈哈,0,Dhduhdbdjsj,265821230
3,2019,11,13,这首歌出专辑的时候还真没听过,0,菜青虫Bettywu,421157279
4,2019,11,11,好酥,0,和平一只猹,302641780
5,2019,10,27,丫丫呀呀呀呀呀呀,0,-小家来了,385636745
6,2019,10,24,全心全意,0,是李仙姑好嘛,508830944
7,2019,10,19,当然咯，她的英文版是歌颂祖国的，所以中文版也不能太随便啦,0,一kepler,1409592056
8,2019,10,2,嘎嘎嘎,1,苑子潯的小号,1548957065
9,2019,9,23,英文版好听,0,XQ0823,489797899
10,2019,9,23,我又发现了个秘密[幽灵],0,巴黎欧雅若,625327113
11,2019,9,14,怎么样,0,月之主宰,117768580
12,2019,9,11,嘎嘎嘎嘎真好听[吐舌],0,也不是猪只打呼,355734135
13,2019,9,4,搜索拳心拳意出现了它，hhh,0,Gotothe-future,377887345
14,2019,8,18,最爱,0,上帝她亲我,330952034
15,2019,8,16,是啊，毕竟我们的国家大部分的国土不是岛屿[大哭],0,Newme奇奇,629193912
16,2019,8,6,我记得这不是个英文歌吗hhhhh原来还有中文版,0,漂浮群岛et_moi,101098936
17,2019,7,26,被别国的 国庆歌曲洗脑,2,7things_,1318437548
18,2019,7,22,新加坡民间国歌了么,0,7things_,1318437548
19,2019,7,19,为什么我记得这首歌是非典时期的歌,0,Noemieeewwe,531308182
20,2019,7,17,one united people,0,hydrogenhi,1597587086
21,2019,7,17,one united people 中文版吗 哈哈哈哈我终于听出来了！,1,hydrogenhi,1597587086
22,2019,7,10,国庆😂,0,NTUfail,71924954
23,2019,7,5,全心全意向前！奔去！,0,魔力根_,271627406
24,2019,7,4,我以为我都听过，但是漏了这一首[惊恐],0,吴迪迪迪迪di,329247569
25,2019,7,2,初中的时候，很喜欢这首歌的mv，重复听很多次，因为里面的燕姿淳朴的好可爱，笑起来太暖了,0,WEN2欧巴,93929976
26,2019,7,1,哈哈哈哈,0,是_时候,555105313
27,2019,7,1,第七首,0,kendy的风筝,362892899
28,2019,6,29,不是吧...这歌没那么冷吧。,0,s1ck1000,1471605268
29,2019,6,29,会挨打的，不合格[憨笑],0,s1ck1000,1471605268
30,2019,6,29,来说首我没听过的燕姿的歌[奸笑],0,s1ck1000,1471605268
31,2019,6,29,这首歌是新加坡的一个官方活动的主题曲，具体名称忘记了。,0,s1ck1000,1471605268
32,2019,6,26,真隐藏歌曲，我当年根本没听过这首歌,0,家养型浣熊,69839733
33,2019,6,22,我说怎么以前听CD没这首歌。。。,0,错多娘个文笔,324296467
34,2019,6,19,可能是“我的家这岛屿”这句歌词吧，听到容易让人误会。,0,室罗筏城演若达多,1424005158
