index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,越听越好听,0,medsir,70093854
2,2019,11,23,期待你的直播[多多比耶],1,mygad的披头士,1609048376
3,2019,11,22,人生的第一盘卡带就献给了你 直到现在永远没人能取代~十几年过去了 突然的停下了脚步 到今天才去听你十年前的专辑 只能说你声抱歉！你依然在我心底 ,0,嘎子119,265715940
4,2019,11,18,关于你，风,1,一位不愿意透露姓名的十三姐,266784552
5,2019,11,10,做自己就好，爱燕姿就好,2,暖心甜y,540336727
6,2019,11,8,加油[大笑],0,清心丶得生,16556450
7,2019,11,6,孙燕姿阿孙燕姿,1,度度A,95638651
8,2019,11,6,票是个问题呜呜呜,0,度度A,95638651
9,2019,11,2,The answer is blowing in the wind.,0,wendanwei,92280841
10,2019,10,26,窃喜,0,阿柴呀_,266724380
11,2019,10,26,好听又难唱,0,太阳底下0723,16072610
12,2019,10,19,刚刚!我们一直反复沉默着，耳机里面就是燕姿这张专辑顺序播放，《逆光》起头，经过《我怀念的》，经过《安宁》，经过《飘着》，又经过《漩涡》。直到《关于》的高潮部分，余光发现他终于就转过头来就这么一直看着我，我还装作不知道，好幸福!!!,7,苑子潯的小号,1548957065
13,2019,10,12,燕姿这首歌是2007年，你们说的那首是2014年的,2,错生不错过,422192437
14,2019,10,12,上头,0,sunjiahang,375838001
15,2019,10,11,期待2020年,3,居里居里爱居里,568470260
16,2019,10,7,每次听到鸽子叫跟钟声我就慌得一比 赶紧确认自己听的是不是孙燕姿的歌[流感],1,你的名字我的追寻,375773232
17,2019,10,7,好听哇,0,小新家的小白来报道,347180200
18,2019,10,3,明年20周年演唱会，给自己定的目标：学会燕姿全部的歌[憨笑]加油,7,YXstefanie悦兮-求黄金守护保护,394037658
19,2019,9,29,以前就听懂了,0,MR俊杰007,9018418
20,2019,9,28,特别喜欢燕姿的曲风,5,梦幻病,1457618662
21,2019,9,28,太好听了  ,0,梦幻病,1457618662
22,2019,9,24,仙女会唱歌,2,SngEeTze--,1600031708
23,2019,9,19,关于爱不爱的问题,1,xynnn1130,1601294166
24,2019,9,18,我来给燕姿打榜～,1,手-可摘星辰,250292309
25,2019,9,13,好喜欢,0,ysyya,1481982894
26,2019,9,13,好治愈,0,ysyya,1481982894
27,2019,9,8,你这一生只会经历一个夏天，其余的都是和它比较。,5,-喝牛奶_,401232139
28,2019,9,8,球球辽。,1,也不是猪只打呼,355734135
29,2019,9,8,给我999+,1,也不是猪只打呼,355734135
30,2019,9,8,真好听啊啊啊啊！！,1,也不是猪只打呼,355734135
31,2019,9,5,好难唱啊。。。太难了太难了。。。,0,km15,346255482
32,2019,8,31,好好听[大笑],0,超级安朋友,267640111
33,2019,8,30,我来了,0,今天美好且平凡,551345119
34,2019,8,28,爱姿,0,哈那我就取一个很好听的名字吧,481734149
35,2019,8,27,其实真的有点莫名难受，觉得自己无能，觉得对现实无力，真的会很想哭很想哭，但是我知道啊，我要坚强一点点，为了爸妈，为了自己，哭了妆就花了，你要笑，开心一点好不好,0,九洲永泰,1526307261
36,2019,8,26,不再做隐形人,0,夜色温柔viavia,488560613
37,2019,8,24,01年最近才发现她,0,sweettteee,416746687
38,2019,8,18,姿老大的一首如沐春风的歌曲……,0,Mr_Nicholas,471638422
39,2019,8,10,"同03年的
有些歌还没来得及喜欢
就已经成了经典
很遗憾没有出生在早一点的年代
但这并不妨碍我的青春里有她",3,胖猴少年,558766395
40,2019,8,9,需要平静的歌缓缓 ，漩涡🌀的后劲太大了,5,虎虎的14,40661749
41,2019,8,6,"这里是第668个评论[可爱]
03的我没有遇到那个时代，但我很喜欢孙燕姿的歌
以前是觉得《我怀念的》心酸又好听，现在发现真的有好多好歌",5,至-彼岸,1323315508
42,2019,8,1,关于关于关于[爱心],1,11199811,634112513
43,2019,7,31,这好听啊~[可爱],0,Hoopla_,273624146
44,2019,7,29,《逆光》真是神专！每首都很好听！！！,3,yesnamekris,353874001
