index,year,month,day,content,likecount,nickname,user_id
1,2019,11,15,占个评，勇敢的给我刷个赞。,0,想你不过如此1910,1962405357
2,2019,10,3,真的是一个年龄听有一个年龄的感触。现在勇敢面对生活，活出自我才是最重要的。,0,纵然浮生若梦亦要素履而往,308888671
3,2019,6,24,真的好听,0,好好俊的一身嫩肉,32280033
4,2019,5,6,天后实力太强,3,依然渐飞,44419218
5,2019,3,30,惊了 评论这么少,2,rakimy,264268675
6,2019,2,3,所有难过都留在今天 明天之后希望我能新年快乐,1,brOxygen,249625994
7,2019,2,3,百听不厌！,0,全球顶级音乐现场,409898621
8,2019,1,28,是出了很久了，小老弟不知道吧,0,动情当探险一场,294209985
9,2019,1,4,谢谢每日歌曲推荐  这首歌是个惊喜[爱心],2,鲸鱼ei-,414753115
10,2019,1,4,趁没火先评论了先[大笑],2,鲸鱼ei-,414753115
11,2018,10,25,评论居然这么少？？,1,_我爱这哭不出来的浪漫,36714861
12,2018,9,25,评论少的不可思议...,1,Harrrrison,265377271
13,2018,9,17,还是评论太少，我来组成头部！,2,灰哥2015,63529105
14,2018,9,15,是我勇敢太久。,2,成美降灾守义城,95504821
15,2018,8,20,你让我最后 把心痛当拥有,2,蝴蝶不造梦,107198734
16,2018,6,23,谈恋爱怕不怕分手？恩？别回复了？三观不在线？怕失败？厉害。别谈恋爱了会分手的。别祸害人家姑娘了[大笑],1,一口气能吃三个肉夹馍,259794305
17,2018,6,23,我是怕失败，被车上的人看到,1,溪水清清流淌,565179612
18,2018,6,23,因为一直没勇气开口,2,溪水清清流淌,565179612
19,2018,3,21,"是我勇敢太久，李斌，四年来的爱与痛，确定要为你一个人而活，我不能说出口
黑暗中寂静的空气像火，让我害怕又收手，最后只能拿心痛当永远,
是的，我不该勇敢了太久，我不该要确定为你一人而活，我不该让你感到那么折磨，
明白了爱最终是寂寞，那么，从这一刻起，余生不在请你指教，挥手,微笑，再见!",3,觉非11,268790768
20,2018,2,6,是我太主动了，我累了。,3,仔唧唧唧,321760107
21,2018,1,2,我会继续努力的,1,午候紅茶G,302611556
22,2017,11,26,加油,1,zacharystore,109485976
23,2017,11,13,好累,2,斯露黎,561831090
24,2017,11,4,需要一点点勇气,1,刘RF,340897000
25,2017,10,22,104个评论认真的吗？,1,Cathy_An,335054168
26,2017,9,6,寻找2017年5月21日(周日，520网络情人节第二天)莆田15路公交上站着的女生。那天你在“兴化宾馆”站下车，我也跟着下车。屋里一男的(应该是你亲戚)看到你，说“陈×(也可能是‘程’，没听清第二个字)，你回来了”，我转身要走，你察觉后转头看我。希望你看到后能跟我联系。,2,溪水清清流淌,565179612
27,2017,9,5,爱情公寓里是不是有这个插曲,0,可以不鸽了吗,276764891
28,2017,8,29,我来贡献第100条。顶起来,0,狼已成外婆,282436262
29,2017,8,16,居然提到了A3,0,690战术盒饭,55836470
30,2017,8,8,这个歌这么好听 不火天理不容啊[发怒],2,你别动我买橘子,453851027
31,2017,7,4,这首歌我真的天天听，不火？,1,晚安睡觉觉,278956831
32,2017,5,29,刚才去百度A3……看那个设定很厉害的样子……,0,木杨酱,280626267
33,2017,5,5,昙花一现的A3，当年宣传真TM火，转眼内测就完蛋。,1,忘词大魔王,58512342
34,2017,5,5,我只能勇敢到这里了...,3,y84998607,109688581
35,2017,4,21,就是因为冯先生的麦克，害得我听这首歌整整单曲循环了一个星期。,0,STATEN-,250987902
36,2017,4,17,日常听歌打卡，92。,1,feizaonaoli,47171697
37,2017,3,31,就这个版本不用钱[开心],3,伊是小女人,45885107
38,2017,3,26,这个日期很好,0,梦云蒿,121918617
39,2017,3,23,[色],1,一个成败者,82060315
40,2017,3,22,你最喜欢的歌 却再也听不到 ,0,苔菜米馒头,135810479
41,2017,3,20,一个赞的都是自己点的[大哭],0,放晴灬,287647506
42,2017,3,19,听一次哭一次,0,乔琪伊伦,120129652
43,2017,3,18,这是可以下载的 其他的要钱,2,壹個人藏好,246900455
