index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,留我狗命行不行 你消气了把我加回来吧,0,建议错过的佳人,376503976
2,2019,11,26,为什么又要删我 搞不懂,0,建议错过的佳人,376503976
3,2019,11,26,你说的对 代替品也不行 每个人都独一无二 别人不像你,0,建议错过的佳人,376503976
4,2019,11,26,怎么不放早是过往云烟,0,妳r912,1301160674
5,2019,11,26,我也值得更好的,2,吧啦巴拉巴拉吧啦啦啦啦,508575934
6,2019,11,26,长大回家,0,丑耀,395941412
7,2019,11,25,我们见面最频繁的那段时间是12月的夜里，记得那时候每天都下雨，好冷，可是我每次都很开心，以至于过了这么久，每到冷雨夜我都格外想念你[皱眉],2,和风微醺-,440136568
8,2019,11,25,好像知道了，现在孙燕姿最合适听，因为燕姿的歌，都是求而不得，而燕姿，唱出了求而不得。,2,要哭__,1659080096
9,2019,11,25,下次换你像我这样吧。,1,取个昵称脑细胞全废掉,1522520236
10,2019,11,25,从来没有来日方长，日子过得普通又深刻,3,很璇璇,261639080
11,2019,11,25,删除了所有的联系方式，所以，再见。,2,小德子啊,1306825059
12,2019,11,25,为啥无法缓冲歌曲 [痛苦],0,韩文q_,44679229
13,2019,11,25,打破两千赞一评论,0,GZ-柚屿,452526206
14,2019,11,25,"不过是想你的一千来天中,平凡的一天",0,律凡kt,597570727
15,2019,11,25,不想再见了，我怕控制不住自己的情绪……,2,重逢喜过于初遇,392523426
16,2019,11,25,我后悔当时半句再见都没留下，只愿你万事顺意,5,时生ZR,348292263
17,2019,11,24,其实我怎么忍心离开你,3,fbzhong,27859346
18,2019,11,24,我忘不了初中的每个凌晨三点,2,龙思雷,1377043955
19,2019,11,24,你在心里面 要怎么道别,2,一只蛤,1341719838
20,2019,11,24,He's just not that into you,2,明兮何兮啊,102394227
21,2019,11,24,可能真的被我  作 没了吧,1,明兮何兮啊,102394227
22,2019,11,24,我也,0,明天更努力鸭,562631328
23,2019,11,24,害,1,明天更努力鸭,562631328
24,2019,11,24,我真的不奢求他跟我谈恋爱也好 喜欢我也好 我就希望我能大大方方地看着他 他知道我喜欢他 不讨厌我 这样就很好了,3,我说我今天又不开心,1405720713
25,2019,11,24,我一定会一眼认出你,1,走不尽山河-_,1620881218
26,2019,11,24,如果以后还能遇见,1,走不尽山河-_,1620881218
27,2019,11,24,可能这是最后一面了,1,走不尽山河-_,1620881218
28,2019,11,24,是我没保护好你的爱和自尊,0,吧啦巴拉巴拉吧啦啦啦啦,508575934
29,2019,11,24,今天是我们在一起的最后一天 彼此安好,0,Adamjiujiu,283761671
30,2019,11,24,聽住首歌，好想哭，唔知點解。,0,一世--幼稚-不理-不羈,347020906
31,2019,11,24,等再过个两年，希望我会依然热爱你,1,六杯益力多,1423889176
32,2019,11,24,你真行啊你 连句再见也没有,0,建议错过的佳人,376503976
33,2019,11,24,是我提的离开 但我知道是谁想走,1,吧啦巴拉巴拉吧啦啦啦啦,508575934
34,2019,11,24,昨晚没发出去，我以为评论被删了,0,老巷中_,554020546
35,2019,11,24,聊了几句，我觉着不对劲，问他关于她，他过了一会说，是高中同学。整个人都感觉不好了，脑海只有两个字，渣男。,0,老巷中_,554020546
36,2019,11,24,再见,1,失眠飞行的星星,604304191
37,2019,11,24,打卡,0,你姿我姿,466537747
38,2019,11,24,季节换了名字 你也换了称呼,1,吧啦巴拉巴拉吧啦啦啦啦,508575934
39,2019,11,24,我们又有多久没见了呢,0,e只可爱,383338742
40,2019,11,24,我坐在后座，强忍着不哭出声。你一边开车一边对我说，要我照顾好自己，不要受委屈。可我知道，这是再也不见。,5,Snow_Chopper,38376093
41,2019,11,24,十年了,0,大姚190119,1737682268
42,2019,11,24,半句再见不火真的太可惜了啊！！,2,另-张脸,56020714
43,2019,11,24,但是什么？,0,捞月亮人儿,625272142
44,2019,11,24,看微博一个热搜，想到前任了，一个很多人眼里的渣男，中央空调。那天晚上他说喜欢我，我不确定，问他怎么知道是喜欢我呢之类的，他说，你和她们不一样。高三上在一起，高三下我提的分手，原因很多，学习，还有他对女生态度。大学开学前，他说想见我，我拒绝了。前不久，发现他情头，空间留言祝福，但是,0,老巷中_,554020546
45,2019,11,24,一直都很不理解 ，有的人为什么连告别都没有 就走散了 而你住心里面 要怎么道别呢 不说再见 就是有所期待吧！希望我们都可以所得皆所愿。,1,我是一只可爱的胖纸1,1792302645
46,2019,11,24,嗯嗯，努力,0,浅殇冰修罗,1942748545
47,2019,11,24,怎么这么好听呢,0,西哀恩,266730845
48,2019,11,24,这首歌咋这么好听,1,mvjessica,60289575
49,2019,11,24,情感比较的不是金钱和外貌上的平等，是心理上的势均力敌。下一次，加油,0,南冰燃,421251730
50,2019,11,23,呜呜宝宝难受,0,请签收爱意,436627173
51,2019,11,23,说不出的再见 zy我想你了,0,Blackigo,568123286
52,2019,11,23,你不删我的时候 我就知道 我们真的结束了,3,吧啦巴拉巴拉吧啦啦啦啦,508575934
53,2019,11,23,我总不能阻止你奔向更好的人吧,6,吧啦巴拉巴拉吧啦啦啦啦,508575934
54,2019,11,23,明天我正好放假 也正好没了你 我挺好笑的,2,吧啦巴拉巴拉吧啦啦啦啦,508575934
55,2019,11,23,最可笑的是 我把你作没了 最后连你的名字 你的生日 你的地方 我都不知道 走的时候才知道你讨厌什么 原来两个相爱的人真的不能在一起,4,吧啦巴拉巴拉吧啦啦啦啦,508575934
56,2019,11,23,我求求我快放过我自己吧不要听这种歌了,2,清葵___,280255314
57,2019,11,23,每个人都在自己的生命中，孤独的过冬。,3,左手落陌,1310882942
58,2019,11,23,真的舍不得昂  可是又能怎样呢,1,四六八句,1884794770
59,2019,11,23,我好像中了一个诅咒: 我喜欢的人永远都不会喜欢上我,4,隔世界的你,584710405
60,2019,11,23,不冷战，不任性，多沟通  用舒服的方式喜欢和爱  知道承担  懂得分享  一起进步   愿你成为这样的人   遇见这样的人,4,Happinessgril,1875420998
61,2019,11,23,2020燕姿就回来了,1,Islandofcyril,48634536
62,2019,11,23,后来我还是经常会梦到她，以前会把梦做尽，现在会把自己叫醒。因为我知道所有的道别都像是一场刻骨铭心的葬礼，那个人就葬在了另一个人的心里，花开花落，年复一年，却在也不见。如果在某个清晨，他回忆起那当时，只是当做笑谈。,0,__查无此人___,620347086
63,2019,11,23,你问我在哪的时候，耳机里正好放着这首歌。眼泪就一下子掉了下来。,2,Thlema,290204140
64,2019,11,23,其实记忆会筛选，像我这样懦弱又善良的，记得的，多半儿还是那个人的好。不自觉，就成了斯德哥尔摩综合症患者，照常生活，带着好不了的伤，许多年。,0,三三五九九,104425690
65,2019,11,23,"如果只是 味道 眼神 拥抱 泪水 笑容 你做的吃的
在一起的时间 走过的旅程 住过的城市 消磨的时光
那些 陪我一起傻过的人 你们在我身上 留下了什么
我要不要死心塌地地找回你 还是微笑后坚定地转身 从此变得聪明
之前那个我 和现在的我之间的距离
被许多细小琐碎的事填充着 这些都是 你给我的爱吧",1,Jipsaw-,36375023
66,2019,11,23,怪你惯的坏脾气 我再也找不到像你的人,0,waywam,250012452
67,2019,11,23,"断掉的感情怎么才能还原
其实早已悄悄说出半句再见",1,北念__,1301472556
68,2019,11,22,一年前我俩在一起 偶然听到这首歌 就是莫名很喜欢 一年后再听这首歌 这里面又有了好多故事 唯一不同就是 我们的故事变得更甜了,1,jiulii-,582740454
69,2019,11,22,我真是天真，删了就能忘了？那就希望能吧，以后要是再发这种话，我就骂我自己，希望能骂醒我,0,-安和桥_-,475807542
70,2019,11,22,才发现这首歌终于在网易上有了版权,0,happy-ending_,252310735
71,2019,11,22,爱,0,群群万,392743501
72,2019,11,22,不做任何人的第二选择,3,暴雨和你都让人心情不好,1551039421
73,2019,11,22,坚韧不拔，锲而不舍！做永远的生活强者！,1,大拇指的等待,1434138494
74,2019,11,22,你在我的脑海里反反复复出现,0,再见_lpZ3,1752642855
75,2019,11,22,我还是从六弄咖啡馆里听到的这首歌,0,松子小鱼,1382562975
76,2019,11,22,你看到能不能回复一下,0,后将666,1456390137
77,2019,11,22,怪我这张不出众的脸，没能留住你爱笑的眼；没有说出的我爱你，变成了一生的遗憾、、、,3,浅殇冰修罗,1942748545
78,2019,11,22,越是假意的不在意的人，真希望是真的不在意，也真希望我以后听到什么歌谁也想不起来了,1,-安和桥_-,475807542
79,2019,11,22,不打扰是我最后的温柔,0,小妍肚子饿,2016785609
80,2019,11,22,关闵绿，你好像忘了长大,1,冬虫草1811,1661671988
81,2019,11,22,从前我爱过你，你有事也爱过我,0,茹妹呦,1322420267
82,2019,11,22,见到了又能怎样，不见的时候又会怎样，怎么人都喜欢言不由衷,0,-安和桥_-,475807542
83,2019,11,22,怎么不忘早是过往云烟。,2,喃山小姐,513378794
84,2019,11,22,YQY我想你了,0,起司淡奶,1315916056
85,2019,11,22,我名字缩写就是czt哈哈哈哈哈,0,起司淡奶,1315916056
86,2019,11,22,为何不放，即是过往云烟。越想遗忘，越是反复挂牵。今天是你生日，已别3年。,2,舍桥,1393723336
87,2019,11,22,没有再见,0,penny-宋,621543680
88,2019,11,21,我把所有悲伤承担下来的时候，我明白了，其实我得世界真的不缺你了，我一个人不也承担下来了吗,0,枯树生花_ynwah,1599778817
89,2019,11,21,2点正在自闭,0,禾白少两撇,72882944
90,2019,11,21,这首比在，也不见更,2,qhgemylc-_-,586533007
