index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,听过打卡,0,逝柒的夏,131219511
2,2019,11,28,世上没有两片完全相同的树叶，每片树叶都是独一无二的。,1,Black-YyYy,303729849
3,2019,11,28,众所周知中国8.5亿网民，,0,Black-YyYy,303729849
4,2019,11,28,什么都想要的我  遇见了什么都不想要的你  注定是浪费了缘分,0,lovedream38,515979995
5,2019,11,28,听听当年那些歌手咬字多么舒服，现在那些一个个都特么是p,1,Unicorn骐骥,114055661
6,2019,11,27,原来我的眼泪会让你想逃 先说爱的是你 拉我出深渊的是你 插我刀子的人是你 最后不要我的也是你 别沉默 负起责任好吗 我不会纠缠你 我就请你 好好的给我一个答案好吗,0,渡边川-,477608964
7,2019,11,27,燕姿版本是真的什么都不想要,0,sunjiahang,375838001
8,2019,11,26,相爱的人不一定要在一起💔,0,丫亚丫亚亚,1575013924
9,2019,11,26,其实我什么都想要,0,何人曾经见今月,1318500436
10,2019,11,26,早早早,0,TianOkayEdison9,406150316
11,2019,11,26,其实我也不是非要和你在一起  但是我就是想要个答案  最后你走了我也没弄明白你有没有爱过我,1,石梓萱_,606631311
12,2019,11,26,只要你好好久久爱我一遍就好了,0,石梓萱_,606631311
13,2019,11,25,哈哈哈哈笑死我了,0,檒鴒殇魂,269211358
14,2019,11,25,从你的一开始约我，到现在别人口中问出的曾经喜欢过。,0,Louismula,391795375
15,2019,11,24,在听歌。,0,垃圾提示,1539428653
16,2019,11,24,有点,0,TianOkayEdison9,406150316
17,2019,11,24,最近忙吗？,0,垃圾提示,1539428653
18,2019,11,24,听到，满屏的眼泪。,1,琵琶语清秋,265386491
19,2019,11,24,太真实了,0,秀子姑娘,287905784
20,2019,11,23,今天单曲循环这首歌[可爱],0,chenyuru0924,266077689
21,2019,11,23,这层都拷起来，包括我,1,Hinky,98188438
22,2019,11,22,你不要也得要,1,我已经爱死昨天了,1289585647
23,2019,11,22,真tm的是这个感觉,0,我已经爱死昨天了,1289585647
24,2019,11,20,"真希望网络上所有东西都要实名认证, 让无脑喷子们被举报核实后受到惩罚, 知道互联网并非法外之地[开心]",1,夜夜丶丶ViolaG,341869788
25,2019,11,19,爱了爱了,0,飘走的彩虹,63546515
26,2019,11,19,我是一个正儿八经的男人 但当我放下自尊去乞求 我们能不能不要分手的那句话时 我还是抱着希望即便她已经完全不属于我了,1,myself-1213211,391142755
27,2019,11,19,像我这样倔强的人…,2,袁漂亮9314,1336855594
28,2019,11,18,因为太喜欢你，所以就把姿态放得很低，可这样无非是让你更看不上我。那些反复等过你的时刻也不好看。从来都没有给过你看过我真正可爱的样子，完全失去了自我。最后说一句不打扰，是我的温柔。这温柔不单是给你的，也是给我自己。我爱过你，尊严给你，温柔给你，但我不能再给你了，我要留一些余地给自己,2,凉城里外-,391379278
29,2019,11,16,原来你什么都不想要！听到这首歌，听懂了了歌词才明白这首歌的意思啊！,0,蝴蝶1208,643986892
30,2019,11,16,小嘴抹了蜜，啧啧啧,0,这个世界会好哒,1454515919
31,2019,11,14,哪个女人对爱不自私 不奢望,2,Babyzyx呀,1508692466
32,2019,11,14,果然暴漏了你骚[公鸡]的本质,0,和平一只猹,302641780
33,2019,11,14,你一定要幸福，哪怕是为了我,0,长安故里5201,2042994646
