index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,太潇洒了,0,红尘小小生,73020014
2,2019,11,24,反过来走走,0,资溜溜,263964700
3,2019,11,21,你太酷啦姿妈,0,鄒爸比,85768778
4,2019,11,16,我姿姐就是酷到不行 999冲啊,0,是Echo呢,454903813
5,2019,11,10,大晚上的听这首歌，戴着耳机把我吓醒了，这前奏实在是太诡异了,0,快乐盟主,124921991
6,2019,11,9,谢谢拜拜,0,得意尽欢吗,1995833702
7,2019,11,4,对对对，我也是,0,识刀客,623315109
8,2019,11,4,Have a good time ,0,乔伊崔比亚尼,118914891
9,2019,11,3,"成了,我也稍微的有感觉,听你这么说,这首歌就不听了,可恶的",1,showlay-,322942569
10,2019,10,31,Taylor Swift 孙燕姿 最喜欢的女歌手,3,梦想当个蒙特利打工仔,335815757
11,2019,10,31,直来直往里的也差不多,0,梦想当个蒙特利打工仔,335815757
12,2019,10,19,hello hello 不管哪国语言，或者你有多善变，三头六臂九只眼，结果难改变，我点不点头,0,识刀客,623315109
13,2019,10,13,开头想起了楚人美…,0,乔伊崔比亚尼,118914891
14,2019,10,12,我还是喜欢她的慢歌,0,An888888555,36364692
15,2019,10,7,快了[大哭]，明年,0,翻车的果子狸,271298911
16,2019,10,4,说这是您唯一一首不喜欢的还真没什么问题，您这上来就f曲，素质水平可太绝了,0,漂浮群岛et_moi,101098936
17,2019,10,2,So cool!,0,极美啦,110001545
18,2019,9,28,嘻嘻嘻,0,梦幻病,1457618662
19,2019,9,28, 超嗨的,0,梦幻病,1457618662
20,2019,9,27,很久没听，发现每一首都想点亮[爱心][爱心][爱心],0,太阳-还会照常升起,405095260
21,2019,9,27,十多年前就听这首歌，可是一直到十多年以后才学会这么洒脱。,1,太阳-还会照常升起,405095260
22,2019,9,27,不拜拜 我刚来！,0,StefX,300674075
23,2019,9,25,想听演唱会唱这首！！！,0,得布西森林,95937066
24,2019,9,22,好好听啊,0,sweettteee,416746687
25,2019,9,21,这段Rap给我的感觉跟咕叽咕叽里的很像,0,甜甜辣辣就是我,475642194
26,2019,9,20,不用谢。byebye~,0,也不是猪只打呼,355734135
27,2019,9,20,俺太喜欢辽呜呜呜呜呜。,0,也不是猪只打呼,355734135
28,2019,9,18,发现燕姿的歌就没有我不喜欢的，可能是以前都循环过N遍的原因,1,Heeenk,9433780
29,2019,9,16,我说我的个人感受 你高潮什么 你的语言才透露出你自己说的形容词～傻缺,0,维京旅人,260688790
30,2019,9,16,阁下就是传说中不喜欢还要点进来找虐的傻缺啊,0,谁把高大胖这个名字用了,112993473
31,2019,9,15,酷喔酷落酷列斯托,0,甜甜辣辣就是我,475642194
32,2019,9,10,这首真的很好听,0,珈曳,637769065
33,2019,9,6,这段是电吉他吗，听起来好带感,0,Kristin啦啦啦,406853441
34,2019,9,5,太帅了,0,霉头霉脑云散月现自在飞花slay,42294326
35,2019,9,4,太酷了,1,Sadahalulu,135327566
36,2019,9,4,奥力给！,0,也不是猪只打呼,355734135
37,2019,9,4,好好听一歌,0,也不是猪只打呼,355734135
38,2019,8,30,shuffle节奏型了解一下,4,三旬老汉Uker,516937654
39,2017,8,5,每天日推一首我姿,0,lm_stef,258724583
