index,year,month,day,content,likecount,nickname,user_id
1,2019,11,21,上了两个两个多月的大学，上了两个多月的课，我到底在干嘛，这张脸自己都讨厌😂😂😂,0,果果果芒-,557513160
2,2019,11,20,上高中时好爱唱这歌 转眼快十年了,0,平地摔z,108981002
3,2019,11,12,"现实就是有时候你不得不和别人假来假去，
可我希望在可能的范围内，
你可以永远要做自己，
永远不要带上虚伪的面具，
尽量让自己保持初心。
因为拒绝刻意讨好，
我损失了很多东西，
可我很想大声说，
我真的不后悔，
我甚至有时候也为我的决定而骄傲。
我真的只想做自己！",0,Dinger-Yao,1293540389
4,2019,11,11,网易就是这么神奇不是么,0,对方添加你为好友被你拒绝,365942920
5,2019,11,6,大学也是混了四年而已[多多捂脸],0,嘘_听我说_,65369415
6,2019,11,5,很优秀啊,0,恒星光年,73676479
7,2019,11,4,我也感觉这首歌在写抑郁症,0,苑子潯的小号,1548957065
8,2019,11,4,对 🤔,0,苑子潯的小号,1548957065
9,2019,11,4,具体多少忘记了，好像是比本科线多20分，刚好能上一本。,0,嘘_听我说_,65369415
10,2019,11,4,兄弟，我来给你回复了，具体多少忘记了，好像是比本科线多20分，刚好能上一本。,0,嘘_听我说_,65369415
11,2019,11,4,笑死...,0,ShaneZhou1979,72447200
12,2019,11,2,高一的我,0,坂口a,289868228
13,2019,11,1,燕姿你慢点，我跟不上,0,Selina硕,1821627430
14,2019,10,27,歌词错了-_-||[晕],0,苑子潯的小号,1548957065
15,2019,10,24,第一次失恋时满脑子都是这首歌,0,塵飞塵落,392863777
16,2019,10,20,喜欢燕姿的第十七个年头,1,小渣渣你看呀看什么,508001004
17,2019,10,19,真的唉！跟梵谷很合适！,0,苑子潯的小号,1548957065
18,2019,10,2,真好听！！啊~~~,0,也不是猪只打呼,355734135
19,2019,10,2,太好听了吧,0,____Z,41087524
20,2019,9,15,我现在真的360度无死角的难。[流泪][流泪],1,丶彩虹金刚,332626006
21,2019,9,7,我的日常~~~~,2,cllllllll-----,434105006
22,2019,9,7,哈哈哈,0,Elevenxyz,137286909
23,2019,9,5,这首歌听着都难，随时都要跑调,1,春水煎茶zzz,298330273
24,2019,8,26,加油啊，还有九个工作日就离职了啊！,1,阿笋凑不够四个字,1656670193
25,2019,8,20,我又泪流满面 你不在我身边,1,账号还是注销吧,17481219
26,2019,8,18,俺每天都在听孙燕姿俺好快乐。[色],0,也不是猪只打呼,355734135
27,2019,8,15,反正我姿的歌我就唱不了几首......,4,霉头霉脑云散月现自在飞花slay,42294326
28,2019,8,15,唱法变了[开心],1,霉头霉脑云散月现自在飞花slay,42294326
29,2019,8,3,"看着这张陌生的脸
自己都讨厌
这里真的太快了，跟不上",1,识刀客,623315109
30,2019,8,3,《另一张脸》是比较颓废的一首歌，因为要注意气息，所以比较难唱。整首歌听起来很有JAZZ的感觉，尾音的处理很漂亮。,3,识刀客,623315109
31,2019,8,3,[多多无语],0,唐某不沾刘女,347702944
32,2019,8,2,"另一张脸

Blues的shuffle节奏，大量三连音和休止符，重音经常性换到反拍来唱，准确地唱下来比 我要的幸福 还难。",5,识刀客,623315109
33,2019,8,1,感谢林怡芬给燕姿写的新歌 守护永恒的爱,1,借我半盏灯,107982595
34,2019,7,31,这首歌灰的非常精彩，就是知道自己状态不好，但是依然想活着！孙燕姿的声音真的是哦。。,2,听歌餐叙旅行,540737903
35,2019,7,30,20年歌迷，期待明年的演唱会。,2,谁把高大胖这个名字用了,112993473
36,2019,7,29,《另一张脸》里孙燕姿的气息运用，真假音的转换真的很自然。听到前奏时，不会感觉这是一首很灰的歌，虽然词会很灰很悲观，但它的编曲却不是这样，也许就是这种反差很好听，很难得，而且很感动。,7,识刀客,623315109
37,2019,7,29,喜欢,0,如我君子,1289647936
38,2019,7,28,同意，就连失恋歌曲都能有苦中作乐的决绝,1,Wendy宵,283574943
39,2019,7,24,很好听呀,1,孙燕姿丶,1813871469
40,2019,7,23,生日快乐  燕姿❤,0,Stef-y,368904262
41,2019,7,22,真的不好唱,2,识刀客,623315109
42,2019,7,22,曲子欢快，歌词悲观,0,识刀客,623315109
43,2019,7,17,这个歌词……真的错了好多,0,梦想当个蒙特利打工仔,335815757
44,2019,7,13,卡,0,Chertime,83946830
45,2019,7,11,来听歌，找安慰[流泪],1,Durrat,61051105
46,2019,7,9,我也是这样[大哭],0,标量-时间,1467060801
47,2019,7,6,突然发现这首歌好像在写抑郁症,3,断粮研究总协会,86933255
48,2019,7,5,到底几分好想知道,0,Travisun,442829082
49,2019,7,1,这歌好难唱啊[大哭],0,柳氮黄吡啶,270536187
50,2019,6,30,突然想破罐子破摔，自暴自弃[流泪],0,KURUMI-MARU,361581141
51,2019,6,29,对对对，一般人调都找不准[大哭],1,疯人院病友久久鸦,1411371299
52,2019,6,28,这首歌全靠孙燕姿的乐感和咬字撑着，换一般人唱，满嘴跑调。😂我自己试过，简直灾难。,4,别再奋力逞强,122065677
53,2019,6,27,这首歌旋律有一些怪，但听起来莫名带感[大哭],0,疯人院病友久久鸦,1411371299
54,2019,6,26,1001[爱心],0,阳光落成一面湖,52167480
55,2019,6,26,1000！,1,JeanZer0,115069125
56,2019,6,26,999！,1,JeanZer0,115069125
57,2019,6,26,出现,0,JeanZer0,115069125
58,2019,6,26,又出现,0,JeanZer0,115069125
59,2019,6,26,又胡思乱想,0,JeanZer0,115069125
60,2019,6,26,无奈,0,JeanZer0,115069125
61,2019,6,26,在我一直脆弱,0,JeanZer0,115069125
62,2019,6,26,这张脸,0,JeanZer0,115069125
63,2019,6,26,这么好听的歌我竟然现在在发现,0,JeanZer0,115069125
64,2019,6,26,我必须刷到999,0,JeanZer0,115069125
65,2019,6,26,无缘无故心情灰,0,JeanZer0,115069125
66,2019,6,25,反过来听听真棒,0,王山石三十,622969109
67,2019,6,25,打卡，爱姿每一天,0,咕叽咕叽WOTM,364196459
68,2019,6,25,很现实的情绪,0,ImOkay823,50669672
69,2019,6,25,差十五就999了。,0,s1ck1000,1471605268
70,2019,6,25,当你听懂这首歌的时候，真的是句句戳心啊！,0,另一张脸2019,1551171818
71,2019,6,20,高考的时候，有段时间脑子里一直循环这首歌[大哭],1,難得一堅,645761304
72,2019,6,18,这首歌曲超级好听，和慢慢来，简直就是封神歌曲，一般人没法翻唱！,3,另一张脸2019,1551171818
73,2019,6,16,最近的我的状态,0,尘曲23333,563694029
74,2019,6,16,天生我材必有用💪,0,果果果芒-,557513160
75,2019,6,16,怎么这么像我,0,果果果芒-,557513160
76,2019,6,15,考完六级有点点自闭,0,休止符nine,444013834
77,2019,6,15,终于活成了自己最讨厌的模样，终于变成了自己最厌恶的嘴脸……,0,你们爱的大飞,259678257
78,2019,6,10,自闭,0,花花花栗鼠儿,270130057
79,2019,6,10,无敌！,0,小笼包加辣,282171802
80,2019,6,9,这个曲子真的好容易跑掉[多多笑哭],0,和平一只猹,302641780
81,2019,6,9,燕姿每首歌真的都是个惊喜,0,卢娜lalala,1559123894
82,2019,6,6,2019.6.6.22:50 心情黑色,0,KILLERNONG7,121803328
83,2019,6,6,明天高考。。,0,rfmjs,1357855390
84,2019,6,4,"作曲：李偲菘
作词：林怡芬
编曲：Adam Lee

已经添加修改，请小伙伴们重新刷新歌词",1,作词_作曲_编曲_MV导演天下第一,546057330
85,2019,5,31,感觉身边的人都比自己优秀，世界少了我，真的无所谓,1,Mr丶人,1368780949
86,2019,5,31,歌词好几处错误呀 小可爱要不要改一改,0,是小27吖,106458515
87,2019,5,30,打卡,0,neline,1501535071
88,2019,5,30,助攻999,0,neline,1501535071
89,2019,5,30,好听,0,neline,1501535071
90,2019,5,29,啊,0,很摇滚滴事,98010521
91,2019,5,27,没人发现歌词是错的吗[惶恐][惶恐][惶恐][惊恐],0,乔纳森Eric,331180919
92,2019,5,27,很另类的一首歌，好好听。,0,乔纳森Eric,331180919
93,2019,5,27,好听好听,0,自愈1826,444017122
94,2019,5,23,看着这张陌生的脸，自己都讨厌,0,Stefanie71,410964408
95,2019,5,21,今天终于听懂了,1,枣糕少女宋觉觉,116531378
96,2019,5,20,我这几年的心情写照[流泪],0,KURUMI-MARU,361581141
