index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,不错,0,唐浩然不玩,599693711
2,2019,11,19,耳朵怀孕警告。,1,也不是猪只打呼,355734135
3,2019,11,16,燕姿的歌每一首都好听[大哭],0,chenyuru0924,266077689
4,2019,11,13,喜欢我姿的第十年！我已经今年二十岁，最爱我姿，，全世界安利！！！,1,她从雾里来,1609131323
5,2019,11,10,二字神曲,0,chenyuru0924,266077689
6,2019,11,9,二字神曲不是吹的！,1,chenyuru0924,266077689
7,2019,11,7,好温柔的第一句 我已经化了,0,乾隆十八掌,63687102
8,2019,11,4,宝藏,0,XQ0823,489797899
9,2019,10,25,为何燕姿作曲的歌都这么冷门？,0,识刀客,623315109
10,2019,10,24,和绿光差不多的感觉！,0,苑子潯的小号,1548957065
11,2019,10,21,金曲呀!,1,当夏日微凉,592810705
12,2019,10,21,冷门歌曲啊!,1,当夏日微凉,592810705
13,2019,10,21,妈呀，太好听了吧,0,当夏日微凉,592810705
14,2019,10,16,宝藏歌曲,1,游周记,78132325
15,2019,10,8,哈哈我姿写的曲,0,XQ0823,489797899
16,2019,10,5,生日快乐[蛋糕][蛋糕][蛋糕],0,图弗洛,315079736
17,2019,10,2,闭上眼，打开耳朵，听见。,0,君小懒呀,1728902881
18,2019,10,2,她的歌有魔力啊！,0,云云云云流,1334766690
19,2019,9,29,！！！完了❤️了,0,隐于极光之下,380448359
20,2019,9,27,因为思念，我穿越漫天风雨世界。,1,太阳-还会照常升起,405095260
21,2019,9,22,其实忘记了蛮好的,0,訾央伪装小漠漠,247480354
22,2019,9,22,不是 后来发现是间奏,0,訾央伪装小漠漠,247480354
23,2019,9,22,有时候开始唱了发现猜错歌名，就知道又该循环了[多多捂脸],0,earwormSYZ,1580154679
24,2019,9,20,听爱的表达会牵挂 听爱的牵挂放心上,0,999里有一个我,120605470
25,2019,9,14,就是太冷门,0,苑子潯的小号,1548957065
26,2019,9,14,你也做了那个题吗 😂,0,苑子潯的小号,1548957065
27,2019,9,13,给我999+,1,也不是猪只打呼,355734135
28,2019,9,13,害。太好听辽。,0,也不是猪只打呼,355734135
29,2019,9,6,这盒卡带听了好多年,0,爱买萌的小姑娘,317525419
30,2019,9,4,罚自己听五十遍  听了三十秒前奏居然听不出来是这首,5,訾央伪装小漠漠,247480354
31,2019,9,1,好听！,0,Sparrrrk,270935914
32,2019,8,29,恭喜,0,霉头霉脑云散月现自在飞花slay,42294326
33,2019,8,29,间奏好听哭了！,2,霉头霉脑云散月现自在飞花slay,42294326
34,2019,8,23,上班的路上听着简直不要太舒服,1,像暗杀似的绕到背后给你一Jio,1359745788
35,2019,8,22,开学就是兵荒马乱，手足无措，丢东丢西...,1,计时人生,258834281
36,2019,8,19,燕姿的歌我是这么认为的但是蜂蜜乌龙茶没有喝过，你这么形容emmmm。。。。想去尝尝了[大哭],1,笑睛睛,1333137922
37,2019,8,16,每次听到这首歌 就想起骨肉相连（我姿你到底什么时候开演唱会啊啊啊啊啊啊,1,用户昵称q,1378485700
38,2019,8,13,燕姿,1,小燕子Supreme,45628154
39,2019,8,11,自己作曲，厉害了，很好听,2,一梦千百度,47532751
40,2019,8,8,昨天自己一个人过的七夕，还胖了一斤，有给我点赞的没[大哭],2,将军领,387504811
41,2019,8,2,我姿自己作曲。,0,7things_,1318437548
42,2019,7,30,好,0,Ed1son--,279253821
43,2019,7,24,好感动,1,xxxxkx,248946436
44,2019,7,24,冷门不代表不好听,2,人生堪堪,317497255
45,2019,7,22,顶,1,孙燕姿丶,1813871469
