index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,好好听,0,红豆牛奶冰啊,88477381
2,2019,11,27,不流泪是因为还有好多事要努力啊,1,徐zorro,605380976
3,2019,11,26,对对,0,Sheldamn,9379526
4,2019,11,26,所有的规则都是给弱者定制的，限制弱者，保护强者，弱肉强食，从未变过。绝对的平等从未存在过，相对的平等也从未失去过，这才是真实的世界么？,0,游戏人生0319,554290465
5,2019,11,25,超爱,0,ii青青,358436129
6,2019,11,25,还有隔岸观火[开心],0,悲伤的老鬼,62101032
7,2019,11,25,平安喜乐,0,一时知己,329064029
8,2019,11,22,真好听，停不下来,1,欢乐的小胖丁,413714238
9,2019,11,21,这么多年了～现在才把这首歌听进耳朵里～多么后知后觉～好好听～,2,白日梦Cc小姐,1498450304
10,2019,11,21,冬日里暖阳，冷门而暖心！从初中到现在，一直喜欢，没有理由，就是因为这是燕姿给我们的独一无二的感觉！[亲亲][亲亲][亲亲][亲亲],0,奔奔呢啊么,2000337159
11,2019,11,20,在等的你的演唱会[可爱],1,丶可惜不是你,271282895
12,2019,11,20,好哦,0,快对我心动吧,357692900
13,2019,11,19,我不爱你，保持距离，不做朋友，不靠近你。,0,sedativepiano,53893070
14,2019,11,19,感谢在这兵荒马乱中找到你，找到和平，谢谢你来到我身边,0,Q云彩Q,471967938
15,2019,11,18,害怕,1,你呀我呀-_,394331705
16,2019,11,18,哈哈，缘分[爱心][爱心][爱心],0,请别理我,6227422
17,2019,11,18,我有个朋友也叫和平,0,鸣蜩壹二十一,390641389
18,2019,11,17,我就叫和平，是送给我的吗，😘😘😘,3,请别理我,6227422
19,2019,11,16,真的听不腻,0,红尘小小生,73020014
20,2019,11,11,这首歌就像冬日里温暖的阳光鸭！❤️,2,槐米配地榆,252538542
21,2019,11,10,喜欢的男孩子叫和平[爱心],1,俺一定要上985,356625809
22,2019,11,9,其实有好多话想对你说，只想对你说。可我的一切举动于你都是逗乐。,0,大毛娃了620,18871805
23,2019,11,9,我歌单里也有哈哈哈哈哈哈哈哈哈[这边],0,苑子潯的小号,1548957065
24,2019,11,8,希望明年有这首,0,未完成是个期待,299224549
25,2019,11,8,这歌冷门???,3,OENai,96517338
26,2019,11,7,2020，跟燕姿一起在兵荒马乱中寻找和平。,2,够不够暖活你1993,318608250
27,2019,11,7,慵懒的午后，听到和平，感觉这整个世界属于我,1,大胡籽,369150067
28,2019,11,6,语气绝了,2,坏兔子_,451109516
29,2019,11,5,算是路人粉，很长一段时间在听她的歌，但是只是听歌，没有特地去了解过她，这首歌是我单曲循环过最多次的一首歌，看到“冷门歌”有点想笑:-D，没有别的意思，希望不会被杠,1,momokoii,66919739
30,2019,11,5,很想去北京的银泰看看,0,跳舞的yanzi,287088787
31,2019,11,5,今天才听到，遗珠啊。,2,乙两边,247179880
32,2019,11,3,演唱会会唱这首吗,0,XQ0823,489797899
33,2019,11,2,银泰好好好好听！,0,Heyheyxfy,45158791
34,2019,11,2,"有点伤感，又有点孤独
对爱抱有希望，但又想消极逃避
放弃争执，解释无用",2,起个名字而已,67361501
35,2019,10,31,不掉泪是因为好多事还需要努力,1,Y_ingge,446028454
36,2019,10,31,当年还买了这张专辑[大哭][大哭],0,lwydan,246575151
37,2019,10,30,这首歌的转音之多，让人很难听出来,1,阁下这是做什么,255269935
38,2019,10,30,可能真的是我太在意了吧……,0,哇啦啦124,1330485117
39,2019,10,29,循环了几十遍，能不能换来和平，哈哈😄,1,Morty--o,20370202
40,2019,10,29,前几张专辑是肯德基麦当劳最爱,3,vInCent哇,48926777
41,2019,10,29,真好听,1,ohoopop,48956141
42,2019,10,29,现代社会奋斗着的我们，每个昨天都会发生诸如撕逼吵架被误解的“坏事”，反思的时候总会有些“情绪”悟出些“道理”，却也不知道给谁说，心里默默念，就不会“留下任何坏的讯息”。每天的工作生活总会这样的那样的状况“兵荒马乱”，可还是要淡定的“微笑”处理“找到和平”告诉自己“不掉泪”还有……,1,逆光逃亡,2872164
43,2019,10,28,和平vs漩涡，任性vs安宁，明年演唱会开始投票选歌了。,0,夏天june,396918239
44,2019,10,27,"突然忘记了这首歌，而后又突然想起这首歌。然后又再想起那个在深秋夜梧桐树下流泪听着这首歌的我，而后就是这首歌中浮现的她。
怎么办，我想你想到快记不清你的样子了。",1,风间飞猪,1609377
45,2019,10,26,此刻 觉的我的爱好卑微 ,1,扭机蛋的小女孩,328988582
46,2019,10,26,没办法 就是这样子了,1,番茄酸奶-,600328366
47,2019,10,25,不掉泪是因为好多事还要努力,2,RiptideAN,133452482
48,2019,10,23,多少次被这首歌治愈了... ...总是能在这首歌里找到 ——和平,1,aprilworld,476591793
49,2019,10,23,和平与逆光,0,你的南乔大叔,1441430720
50,2019,10,23,我,0,小籽同学,78067860
51,2019,10,23,我也是在肯德基突然听到很久没听到的曾经很喜欢的歌，感恩!,1,小籽同学,78067860
52,2019,10,23,一直单曲循环  不知道为什么分手过后一听这歌好想哭  ,0,亲爱可以深爱的你,516633837
53,2019,10,22,是“想”哦,0,哈那我就取一个很好听的名字吧,481734149
54,2019,10,22,有没有别人，跟我一样很像被安慰,0,跳舞的yanzi,287088787
55,2019,10,22,感觉有种祥和的忧伤,0,common139,266006459
56,2019,10,22,"固于己见
执于己情
当爱不平难和
唯愿平静不争
相盼和睦喜乐",2,天子蜂丶孤,30313147
57,2019,10,22,世界和平[爱心],0,palatity,89604338
58,2019,10,22,我拉住时间，它却不理会,0,哈那我就取一个很好听的名字吧,481734149
59,2019,10,21,路边的座位，它空着在等谁,0,跳舞的yanzi,287088787
60,2019,10,21,同类,0,哈那我就取一个很好听的名字吧,481734149
61,2019,10,21,前几天歌单第一遍听到就喜欢上，以为是后面的歌，结果一看竟然是19年前的了；错过有错过的好处，在这歌荒的时代，突然搞到这样一个，interesting！先单曲几天摧残一遍,1,mayiwo2007,259374261
62,2019,10,20,感动，是我十几年前很喜欢的歌[流泪],1,Blueeeeeeeeee,45517513
63,2019,10,19,我今天也是在肯德基店里听到的 特地的听歌识别可以一下 蛮好听哒,2,May橙汁儿,1361739724
64,2019,10,19,和平神曲！,1,梦游姿,555864141
65,2019,10,18,sulli~,0,杰aaaaa,398558602
66,2019,10,18,没想到早上居然在肯德基听到了,6,Blueeeeeeeeee,45517513
67,2019,10,17,这歌有那几年高中的印记，听着很容易想到当年的感觉和心情,1,找一棵树,533040986
68,2019,10,16,紧张就会让人失望，幻想就会让人迷失方向，然后迷茫，然后悲伤～,0,胡木sunshine,581497301
69,2019,10,16,我可以理解为，你现在说我杠，所以你这个人更杠了吗？,0,万分可恶,255261587
70,2019,10,16,最近有点丧，但是还是有好多事情还要努力！！！,3,古月九个圈,37859676
71,2019,10,16,拉黑！前任还留着过年？或许是你还有想法😄,0,控场,40913104
72,2019,10,15,姿迷无处不在，燕姿无可取代[憨笑]，大叔路过,2,鱼儿泡泡他爸,135526862
73,2019,10,15,重听燕姿❤,2,whatt,40628470
74,2019,10,13,烦死了前男友 能不能不要天天刷朋友圈 能不能不要出现 我又不是瞎子 你告诉我怎么解决 3%有意思吗,0,Lucky噗噗噗,1518345299
75,2019,10,13,被一个人推送来听的，因为我说我热爱和平,2,渐行渐远的未来,89843569
76,2019,10,12,恰好相反，有点夸张的感觉。毕竟只是相信，还未到兵荒马乱伤筋动骨的地步。,0,维瓦尔弟尼菲英,66198929
77,2019,10,12,资深的就会觉得不冷门啊，资深也是比较出来的，友好点儿得了，动不动说别人杠的更杠吧。,0,维瓦尔弟尼菲英,66198929
78,2019,10,11,燕姿的歌，又勾起了我对高中生活的回忆~[流泪],1,olivia106,1381479994
79,2019,10,11,没有人是因为肯德基放了这首歌才来的嘛(´▽｀),4,一九九几的薛,330140137
80,2019,10,10, 我可能比较自私  这首宝藏歌曲我听了一年多 还是不想分享出来,0,Freamo加辣,278300084
81,2019,10,9,吵架不能解决问题,1,林深时见鹿晗,125413239
82,2019,10,7,不再掉泪，因为还有家人要保护有好多事要做，也怕孤独怕无助，但只有硬着头皮走。没想过自己的青春结束得如此快，成长真的是一夜之间。我愿意做个苦行僧把所有的爱给母亲给家人，上天一定要给我们点运气,1,妈妈我们是女战士,83210264
83,2019,10,6,前奏无比好听,1,Cardigans-,105651183
84,2019,10,4,到底是遗憾难受还是可惜难受反正我现在快要窒息了,1,番茄沙司哦,434917908
85,2019,10,4,ahhhhhhh黄伟文的勇也是这种用法,0,松籽在地上,372340825
86,2019,10,3,吉林通化百货大楼KFC和平打卡[爱心],1,森湫_,363752196
87,2019,10,3,很好听.安静.,0,港岛之父,322649000
88,2019,10,3,耳机里听着燕姿的歌，身旁伴有微风和远眺能见的江景，一下子让我把这几天的压力全释放了，真愉快。,2,璽歡億個人,284884389
89,2019,10,3,好多年没有听过了,0,LJoon,74340905
90,2019,10,3,KTV听朋友唱才想起这首被遗忘的曾经超喜欢的歌,1,排行第十一,287396448
91,2019,10,2,完全不记得有这首歌，19年了啊啊啊啊,0,边走边唱la,247834388
92,2019,10,2,我会相信你，真的相信你,1,过往云烟视而不见,305289320
93,2019,10,2,peace. i want,0,过往云烟视而不见,305289320
94,2019,10,2,歌词歌声太吸引人了,0,XQ0823,489797899
95,2019,9,29,我知道啊,0,妳的媚眼,398775335
96,2019,9,28,天后快开演唱会吧,3,Islandofcyril,48634536
97,2019,9,28,第一次听这首歌，很好听啊!!!!,1,春川雾骑,317149359
98,2019,9,28,和平这首歌2000年的歌喔,0,柒星雪,85911992
99,2019,9,28,干觉世界和平是不可能，现实和平也是不可能，只有听听和平的歌曲,0,名字-你已经不是我的,343605946
100,2019,9,28,原来以前我听这么冷门的歌啊哈哈,0,chcheer,311935785
101,2019,9,28,发现了一首好听的歌曲，想分享给你。可是以什么名义呢，当然是好朋友了。,1,你是我的心跳你跳我活_,1560544068
102,2019,9,28,荒无人烟，听起来有点落寞。,0,威廉WY,31280510
103,2019,9,28,love and peace,2,其实长大了,430682595
104,2019,9,28,还没来的及和那个人兵荒马乱，就已经自己送死到战地。,2,九亿少男的梦-qx,1954952429
105,2019,9,28,那应该是03年我买了孙燕姿的专辑最爱的一首歌………突然让我回忆起好多年少的时候的我……,2,yfkjay,1342808466
106,2019,9,28,冷门却热爱。摄取inner peace。,0,王老师的白衬衣,54875828
107,2019,9,27,不掉泪是因为好多事还要努力,0,吴啦啦啦啦啦,1320003953
108,2019,9,27,很好听❤全世界的人都要珍惜和平,0,邂逅画中仙,384080488
109,2019,9,27,好巧，同城,0,磕口可乐,515381981
110,2019,9,27,love and peace,0,装满了再走呀,275162870
111,2019,9,27,我表面平静是想和平解决问题，而你一直追问，说清楚了感觉你会解决一样，有些事情看破就行了何必要说破，世间从来就没有感同身受，沉默是最好的表达,4,屋顶慵懒的猫-暖暖,492015598
112,2019,9,27,同感同感，同道中人。,0,灵魂枪法哒哒哒,356796773
113,2019,9,27,才发现这首歌 [惊恐],1,许莞熙,97914606
114,2019,9,27,一切都会好的，我一定可以的[呲牙],2,可惜我错过,1420709871
115,2019,9,27,不掉泪是因为好多事还要努力,4,芽惜,266979340
116,2019,9,27,这男生也挺厉害，知道这么多口红牌子，却不知道女生分得清别人的喜欢，只是有很多别扭,2,大学-计算机基础,1534161828
117,2019,9,27,好听,0,很有品味的一个龟,1388934341
118,2019,9,27,"被分到了一个没有默契已经不太喜欢的主班一起工作 可能这是我人生不能过渡的劫吧  每次落荒而逃都被命运抓回来，我希望和平对待   要开心开心开心阿，只是一份工作，比工作更加重要的事情很多阿，加油啊!
最近累的感觉又回来了  很多路都是自己选的呀，当初因为什么回来，真的不要忘记啊！",2,我爱的eason呀,80244214
119,2019,9,27,人心最难猜,0,如常亦是倾城,1786596173
120,2019,9,27,战哥的偶像，我来了,2,双双是双眼皮,1327790977
121,2019,9,27,傻的太浪漫,0,四月天时雨,343432116
122,2019,9,27,这首歌变去不够突出，不知道让花花或邓紫棋重编一下会不会好听,1,oys玉石,1520468772
123,2019,9,27,沙发,0,大奶瓶-,246860671
124,2019,9,27,所以并没有人那么值得，不过是当时太傻,0,意大利遇到你,562577829
125,2019,9,27,我的愿望是 世界和平,0,昵称-小姐姐,1550701301
126,2019,9,27,有人为了你将梦想都暂缓了，而你却感动于别人送了你一件衬衫。人生真可笑啊~,4,四月天时雨,343432116
127,2019,9,27,快乐 自由 安逸 信任,0,拾柒llln,255409881
128,2019,9,27,喜欢要说出来，有问题也可以好好沟通，都不说，就错过了,0,Ariels,86108627
129,2019,9,27,女孩子那么厉害 分得清迪奥 圣罗兰 纪梵希 香奈儿各种口红色号 怎么就分不清 一个男孩子是不是真的喜欢你,21,-俗人哥,89924282
130,2019,9,27,燕姿的歌迷一般肯定都会听过，相对于路人，可能真的不会知道，相比较有点冷门罢了,0,跟着上帝去旅行,16089511
131,2019,9,27,和平 for everything.,0,成都素匠泰茶,603780176
132,2019,9,26,突然发现站了好久，不知道该往哪走,1,shaneflianna,436433741
133,2019,9,25,不管歌好不好听。只想听燕姿声音,0,Airchean,42864005
134,2019,9,23,弦子的【舍不得】跟这首也太像了吧[惊恐],2,妳的媚眼,398775335
135,2019,9,23,那我可能遇到一个不太喜欢我的白羊,0,Novia_Tse,414247761
136,2019,9,23,我不仅喜欢孙燕姿的歌，也喜欢孙燕姿这个人,3,AiT_Boy,1548998006
137,2019,9,23,和平对待你,0,me_AleX,246755117
138,2019,9,23,这首歌很特别,0,Jayant-rzw文,41641290
139,2019,9,19,太好听了 不，每首都好听,1,樱井夫人桥声,325517206
140,2019,9,19,越听越好听,1,因吹斯汀er,1925381425
141,2019,9,19,不掉泪  是因为  好多事还要努力,0,嘘好好听话别说歌,90809030
142,2019,9,18,一首唱给自己的歌，“我和你”都是自己,0,用户128947619,128947619
143,2019,9,18,和平,0,XQ0823,489797899
144,2019,9,18,"兵荒马乱的年代，
我祈求和平
车水马龙的世界，
我等待爱情",3,啊_呦_喂,1599802783
145,2019,9,17,漩涡  飘着  真的  任性  我心里前四[亲亲],1,_克卜勒-,544439593
146,2019,9,16,我有这个磁带，读书时候超爱这首，,0,我才是上杉达也,367768521
147,2019,9,16,就你懂，你最懂，只有你一个人懂。,0,言午多-,261134158
148,2019,9,16,我真的太爱这首歌了！！！,2,tofu0209,45051274
149,2019,9,16,这么多年，我居然头一次听到这首歌，真的是来晚了,3,灯笼啊,337943321
150,2019,9,13,明年给我唱起来,3,治愈系小帅,322923924
151,2019,9,13,最好的青春,1,Ilovethesesongs,112472397
152,2019,9,12,最爱之一,1,Sun-ZK,263879307
153,2019,9,12,超喜欢这首 安安静静 ,0,小时候的花香,311075409
154,2019,9,12,@長澤奈央 ,0,愁结,452745073
155,2019,9,10,完美,0,从夏而南,540897438
156,2019,9,9,所有狠话 说的有多狠 就代表我有多想和你在一起 ,3,poppyy779,128608974
157,2019,9,7,那个让我认识喜欢孙燕姿的少年已经不在了年少的我也不在了陪伴是最长情的告白… 孙燕姿一直都在🥰,1,cestbon721,246527261
158,2019,9,5,"喜欢哪有什么该不该，
不过如果真的觉得特别受伤那就放手吧。",0,回忆专用小马褂,249200508
159,2019,9,5,真正的坚强,0,鹿特丹的ST,591973236
160,2019,9,5,唱哭自己系列。,1,LostAtLatitude30N,137541213
161,2019,9,3,10几年老粉 竟然以前没怎么听这首歌 惭愧惭愧,2,红豆妹,113102367
162,2019,9,2,独一无二的声音,1,道博王德,57548896
163,2019,9,2,好听,1,道博王德,57548896
164,2019,9,2,只听片头，就知道这是一首关于和解的歌。,6,Julia2world,1420199795
165,2019,9,1,站在地球小小的位置,0,海盗7号z,381001273
166,2019,9,1,好听,1,shskansa,73313459
167,2019,9,1,昨晚梦到早已沉入心底不可能的那个人，醒来脑子就响起这首歌 爱是固执的～唉😔,1,Neco_CCC,264987779
168,2019,8,27,声音太有辨识度了,4,yearn_UpCz,1316492214
169,2019,8,27,是因为还有好多事要努力,2,candy刘慧,346007874
170,2019,8,26,弦乐的旋律真妙,2,山野starwang,327472142
171,2019,8,26,我爱你 我很酷 不做朋友 不靠近你 不收回爱,29,海洋过森林,325742808
172,2019,8,26,我也是,0,海洋过森林,325742808
173,2019,8,25,不觉得冷门哦，唱到心坎里啦。,1,Beeovenvan,1847499670
174,2019,8,24,很好 心愿 银泰 极美,0,請叫宋長老,373701684
175,2019,8,22,雨后的城市，寂寞又狼狈。,1,跳舞的yanzi,287088787
176,2019,8,22,还有 同类,1,你压着我翅膀啦,71780857
177,2019,8,22,我想给你们的评论统统点赞一遍 可是做不到呀,0,用户632204784,632204784
178,2019,8,21,漩涡也很nice,0,欢喜孙燕姿,325641238
179,2019,8,20,每首歌都好喜欢～明年燕姿演唱会要去听的小伙伴们举手呀🙋～,9,大_芒果_,256941350
180,2019,8,20,终于  眼神 了解  真的 永远 这些2个字的老歌真的好听,0,candy刘慧,346007874
181,2019,8,20,每首歌都很好听,0,圆咕噜2小姐,68627049
182,2019,8,19,Day121 放过自己吧 ,0,把你藏在歌里面的想念,3410534
183,2019,8,18,这首冷门歌听久了真好,0,丶菱歌,100378204
184,2019,8,18,和平对待你，wcb，为什么呢……哎～我也不知道怎么办～我爱你呀[心碎],0,青优q,475146767
185,2019,8,17,隐形人,0,如果有一天我要去流浪-,381503398
186,2019,8,16,天后的  那么好听的歌     才这点评论？这歌很适合电台啊……没有电台推荐嘛？,2,雾亦心,448257025
187,2019,8,16,最近的单曲循环  ，最中意 的一首,2,妳的媚眼,398775335
188,2019,8,15,第一次听,0,公子情深23,595264468
189,2019,8,15,还有 真的,1,whynnut,122104178
190,2019,8,13,把评论刷起来?,0,支持资姐,577841069
191,2019,8,11,好冷门  我都没听过,0,怕什么这里没人,495311268
192,2019,8,11,因为燕姿才开始听歌,1,未完待续点丶,310368992
193,2019,8,10,和平对待你，我会相信你,0,大茜哥520,1426048073
194,2019,8,9,不管什么时候听到这首歌，都还是好喜欢！,1,陆酱_,125152423
195,2019,8,9,严重的起床气 [大哭],2,momo_ce,423832651
196,2019,8,9,超爱超爱，听到前奏就勾起回忆了,0,Mel123456,129635454
197,2019,8,8,好听,0,二次晚安,109950149
198,2019,8,7,真好听 ，冷门神曲,1,妳的媚眼,398775335
199,2019,8,7,不知道为什么，听了燕姿这些冷门的歌之后忽然觉得遇见没那么有感觉了,2,她的傻丫头Y,482106764
200,2019,8,7,"七夕快乐！祝愿每个人都拥有
自己想要的幸福  ​​​",3,无幻--,264535083
201,2019,8,6,我觉得讲的应该是趁老娘还在微笑你最好见好就收,4,福来1998,635957727
202,2019,8,6,美好的感觉，每次循环都一样！！！,1,-有姿有菋-,129649056
203,2019,8,6,想分手的时候，蚂蚁森林没有一起浇水都能成为分手理由，想复合的时候连我家的门牌号都能找到共同点,3,糖水桃子-,98442547
