index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,蔡依林不错的吧,0,我先生是林俊杰,352367783
2,2019,11,25,好听,1,小猪熊拿起西红柿打了贝塔,472066711
3,2019,11,25,如果你够及时，能赶上这个冬天与我一起吃火锅，喝奶茶，看电影，放烟花，合照，秀恩爱，那么这个冬天一定很美好 如果这个冬天你不来 那我就买长一点的衣服 把手塞到袖子里  我不会让别人拥抱我的  等到来年 一定要牵起我冷的手 ​​​,1,绣闼阿,280900136
4,2019,11,25,所以真的是有人经常问你姿“在吗”，她才写的这个歌吗[大哭][大哭],0,叁两星星,397093030
5,2019,11,24,理解的精辟,0,人生若只如初见190404,1814188712
6,2019,11,23,"回忆啊，那时候还是高中，现在还是很喜欢这首。
电影也还可以，结合剧情听这首歌更有感觉。",0,yinwalone,1571057660
7,2019,11,23,果然，有多喜欢，就有多心酸,0,辜月拾贰日,330456030
8,2019,11,23,今在11月22日你来到我的城市，我来到你的城市,0,俞小君语,399102688
9,2019,11,23,得分爱或不爱,0,乐可趣无的夜隔杯一,280130025
10,2019,11,23,为什么我爱的一直卑微也有错，到头来要看你和她的幸福，你以为我的决绝，其实我只是不忍心再打扰你，从此..在，也不见,0,乐可趣无的夜隔杯一,280130025
11,2019,11,22,二爷，那我就，在，也不见吧……,0,安娜和安娜,326437636
12,2019,11,22,是,0,孙燕姿style,46541850
13,2019,11,21,得不到你的时候听的是这个，现在失去你了又来听了。,1,夏夜裡,424924783
14,2019,11,21,就是啊,0,rfmjs,1357855390
15,2019,11,21,不想就不酸也不甜,0,苑子潯的小号,1548957065
16,2019,11,21,听说即将被下架,0,向往北方的日子和乐子,75903833
17,2019,11,21,有那么一段感情，两个人互有好感，接触机会不多也互不了解完全，一直徘徊于暧昧与无关之间。从我认识你那一刻转眼已过了将近二十年，断断续续至今还联系着，嗯，陈小姐。,1,大嘴巴猩猩,22150079
18,2019,11,20,在，也不见。我怕了。,0,listenerlxt,116268163
19,2019,11,20,在，也不见比再也不见更心痛吧，不知道你过得好不好，也不想看见你有新的伊人在旁，就像断臂活命般吃饭，睡觉，工作，不敢深夜独醉，不敢散步在有你的街区，甚至是一起看过的电影，不去刻意理会就不疼了吧，毕竟已经结疤了。,0,橘子球儿,1832494659
20,2019,11,20,狗，我是真的很喜欢,0,把你的全世界走一遍,1891401341
21,2019,11,19,我还真有一次喝醉了给前任打电话，最后还复合了····,0,吃火龙果的益达,95373495
22,2019,11,19,然后这么多年原地踏步……,0,巴拉巴老腊肉,255300958
23,2019,11,19,都是背影，何必回見。,0,BelZQY,1631356080
24,2019,11,19,封面是陈柏霖吗？[呆][呆],1,isCamila,450025856
25,2019,11,18,谁又能告诉我如何区别关心还是打扰,1,浪人徘徊,1747201194
26,2019,11,18,该在的都已不在,0,batty_man,97378390
27,2019,11,18,耗尽三年 赌上一切 再也不见,0,天有些蓝,128126278
28,2019,11,17,来吧,0,x夏维安,127302872
29,2019,11,16,我也,0,Sherry171005,610450371
30,2019,11,15,那天我在家翻箱倒柜找你给我的雨伞，表妹问我很重要吗，我说是前任的，她说这么重要是要复合了吗，我说，因为再也没有可能了所以格外重要啊，对啊再也收不到你给的东西了，没有可能了，你给的即使只是一枚港币也格外重要啊,2,米西没有鱼,577117022
31,2019,11,13,给第二个人的就不多了,0,魅小姐啊,1433056726
32,2019,11,12,姐妹,0,鳗鱼骑士花,472844416
33,2019,11,12,没有哭，在为演唱会做准备。,0,Selina硕,1821627430
34,2019,11,12,"可笑吧，不该遇见的遇见，不想离开的离开。
当我知道一个非专业的人靠关系入职的时候，我知道，我距离开的时间不长了……
其实无所谓，在进来的那一刻，就已经做好了接受一切的准备，只是，想让我离开的怎么能是你呢",1,梦语冰馨,1486449050
35,2019,11,11,所有的签名就是再也不见,0,登登登丢丢丢,248575036
36,2019,11,11,那你不得哭死,0,4225401,104284841
37,2019,11,11,我上一次来还见过你头像,0,Tiny-fracture,303132856
38,2019,11,11,四年了  每次喝酒都会想起你   只能拼命喝想快点灌醉自己   然后在路边吐得跟狗似的   望着周围傻笑！,2,奥利getget,1723762298
39,2019,11,10,肖战,0,薛海桃,1765467216
40,2019,11,10,还记得几年前在自习室自习，学校的广播放了这首歌，一瞬间触动了我，跑到外面听歌识曲而得到的宝藏,1,森眸北屿,512677722
41,2019,11,8,怎么能如此好听,0,澜天白云丶,431138099
42,2019,11,8,感觉封面很像陈柏霖的眼睛。,1,改個名義好難啊,125819855
43,2019,11,8,感觉是个雨天,1,Alice_13_Cat,45156992
44,2019,11,7,没有勇气找，怕打扰人家,0,阿图丫,1757330868
45,2019,11,7,这词很好,0,呜呜哒的普拉达,336958499
46,2019,11,6,好好爱自己,0,白羊君c,265003990
47,2019,11,6,我听了一周燕姿的歌了,1,Selina硕,1821627430
48,2019,11,6,都是背景，何必回见,0,绿水悠悠1708,562044240
49,2019,11,6,在?,0,_抱歉抱歉___,434297208
50,2019,11,5,看到歌词，没忍住哭的跟狗似的。想起初恋。,1,hello是梦,380977408
51,2019,11,5,"她喜欢孙燕姿
我喜欢她
喜欢了十二年
我们从遇见的怦然心动
到十年有余的暗恋时光
再到不断表白的表白大师
终于迎来了近八个月的爱情
可是爱情啊
终究敌不过太熟悉的面对面
现在见也不是
在，也不见[汗]",0,钢琴侠pianoman,1716797360
52,2019,11,4,不想就不酸也不甜,1,-我想要两颗西柚吖,300514790
53,2019,11,4,视而不见，并非不念。在，也不见；回眸万遍。,0,不說拜拜0725,504245563
54,2019,11,4,打卡,0,你姿我姿,466537747
55,2019,11,4,一个连自己都保护不了的人，谈何保护他人,1,30000_feet,1818686580
56,2019,11,3,每当我重新拿起平板，下回狂飙8，我总是会想起这首歌。第一次是在它登上qq音乐榜第一时候听的这首歌。之后就变成了本地歌曲。那段时间听着它在赛道上漂移氮气一圈又一圈，后来成了我孤单时的节目，在雨天的东京飙车真的是再合适不过。现在平板已经碎的不成样了，今天突然想起来了这首歌，谢谢你，感谢,3,特仑有机得风湿从不治,509891017
57,2019,11,3,"第一个故事再见是挽回不了遗忘的
第二个故事再见是所有事情的终点
第三个故事再见是遗憾的一种开始
关于电影《再见，在也不见》",1,一点半刀,565963344
58,2019,11,3,若喜欢不上，自然也不会纠缠不休，若喜欢的人不喜欢我，我也依然退千丈成全，渺无音信,0,沉睡的阴影是狰,1438840487
59,2019,11,2,说得真好,0,瓶中观景,1327281594
60,2019,11,1,请问他贬低了谁？,0,阿克力骚受,481971479
61,2019,11,1,我什么时候才能不在夜里想你的时候哭泣呢,1,九臭臭,42958511
62,2019,10,31,因为你本来就只是一瓶酒啊，不能永动啊，洒一点就没一点了,0,Kingsley迎曦,82605334
63,2019,10,31,说得很对，第二个开始其实都是参水了的。,0,Kingsley迎曦,82605334
64,2019,10,31,原来再见就是在也不见。,0,也不是猪只打呼,355734135
65,2019,10,31,不是再也不见，而是在，也不见。如此决绝明白了吗,2,你的宝贝捷捷,1341922074
66,2019,10,31,我好想你,0,爱笑的阿炜,415531426
67,2019,10,28,5.9,0,于诗诗诗,1524242450
68,2019,10,28,从此以后，小曹不存在了，以后只有小宇，大周也不在了，以后只有自己。青花瓷，成了再也不会去听，不会去唱的歌，极光，成了再也不想去看的风景，从我想去见你，变成再也不见，我说祝你前程似锦，你再也不会说，你就是我的前程，把你自己过好，我就前程似锦。大周，在，也不见。,1,ALTLANTIS,1386063797
69,2019,10,27,荣明霞 我不要和你再见,1,女友的手,1348594585
70,2019,10,27,我每天都想她，或许会一直想她，也忘不了她。,0,喜欢你的润大叔叔,326749526
71,2019,10,27,不敢再见 不想再面对面,0,二亖阿,1436070242
72,2019,10,27,其实不需要过分的回避，而是要学会放下啊，可惜放下对大多数人来说还是太难了,0,不安分的波浪线,427356877
73,2019,10,26,我的理智在安慰情感,0,likesdq,266782128
74,2019,10,26,再也不想见你，你不在的日子我过的很好，再也不想我的生活因为你的一点消息就被打乱！,1,兜兜里养了只小恐龙,1335741940
75,2019,10,26,哈哈哈,0,慕轻歌,315018735
76,2019,10,26,难怪，我说我喝的这杯咋这么醉呢，原来是第一杯，没掺水的,1,皇甫赉,286187285
77,2019,10,26,明明近在眼前的人，却又像在天边一般遥不可及,3,席芓,372541843
78,2019,10,25,"每棵树的枝丫
都是从树干上分出来的
它们曾经属于树干
曾经同根同种
但随着成长，枝丫渐行渐远
直至再也触碰不到
这 或许就是
再见，在 也不见",5,花开岁梦,1595996804
79,2019,10,24,开始，疯狂想见；慢慢，只是想念；现在，偶尔思念 ；以后，再也不见......,4,moonano,443136607
80,2019,10,23,有时候不是不见，也很想见，只是不知道用什么样的身份去面对,3,蕋宝,1985538056
81,2019,10,22,他们说，他们的梦中，我又遇到了你。激动的我一宿没睡着,1,韩淮阴1705,486464188
82,2019,10,22,我没有再找你，也没再喜欢别人。,6,Derek_k0,559866643
83,2019,10,21,不是不想见，是没有身份见，没有资格见，没有理由见，,1,草莓味儿和你,1950429787
84,2019,10,21,陈柏霖啊喂,0,EvEve0,72591854
85,2019,10,21,封面是陈赫吗？？？[大哭][大哭][大哭],0,1886公里,113790989
86,2019,10,21,你还在，只是我不敢再见了,1,禎悕,1974521788
87,2019,10,20,留,1,奈良寻川,536027940
88,2019,10,19,没在一起，挺好的,2,我是林止书啊,1303110682
89,2019,10,18,为啥听起来嗓子有些疲惫,1,聆语者,299590669
90,2019,10,17,我什么也没忘，但是有些事只适合收藏，不能说，也不能想，却又不能忘。,0,且送船归,577696053
91,2019,10,16,孙燕姿是神仙,3,jodiegou,1369545256
92,2019,10,15,要是对你失望到不在伤心，或是想起你时就满心欢喜，其中哪一个都好。,1,Splendid1567,395097264
93,2019,10,15,你唱的每一首歌每一句想念 我都删了 只剩圣诞节的一条语音了 我等圣诞节再删好吗 嗯,0,uncola,100348198
94,2019,10,14,爱情和现实是互补的，爱情让你明白现实，现实让你渴望爱情,3,繁华170708,536514255
95,2019,10,14,你还在这里 而我不想见你了.,1,SojournerHuang,19916119
96,2019,10,12,在吗,2,麻烦看到我的叫我滚回去学习,1388164355
97,2019,10,12,呜呜呜真的要放手了泪目,0,buster233,99958650
98,2019,10,10,伤而不悲,1,uncola,100348198
99,2019,10,10,分手的时候 我也曾傻傻的说 一定不要断了联系还可以是朋友 然而现在真的是 在 也不见～也许就这样再也不见！,0,固执的鱼170613,507044151
100,2019,10,9,猴哥 再见,0,萨达哈鲁小姐,51803646
101,2019,10,9,"我点开评论的的时候，网易说""说点什么吧,也许他都能听得到""，真的能听到吗？我知道你不听流行歌，但是我还是希望你能听到嘛，再见啦，你一定要好好过，好好祝福我们，我会成为一个出色的大人，你也要过好你的小日子啊",3,_夏日流光,81036411
102,2019,10,9,我[星星],0,-云间月--,609162231
103,2019,10,8,夜里听就想哭[心碎],0,水依痕1708,563804612
104,2019,10,7,这首歌演唱难度大啊，，想听燕姿现场唱,2,benjuded,1967522257
105,2019,10,7,原来再见，就是________,0,_Jason_Cheung,1815802216
106,2019,10,7,原来再见就是再也不见,0,--champagne--,30144931
107,2019,10,7,不敢再见,1,--champagne--,30144931
108,2019,10,7,想见不能见,1,--champagne--,30144931
109,2019,10,6,"见多少次才会杜绝思念；
看多少眼就能平息泪点；
再用多少年去摆脱从前。",4,chenyuru0924,266077689
110,2019,10,5,可是我觉得这样刚刚好哎，这个情感表达的特别棒,2,万古啊长存,629173321
111,2019,10,3,在，也不见，为了离开这个充满你回忆的城市，我要好好努力，尽管我们这辈子再也不会再见，但是我会努力如你所愿，像死过一样悄无声息,0,Susan_for_love,1492164816
112,2019,10,3,结束了吗？结束了。可我还没缓过神🙃,2,_Shack,513117811
113,2019,10,3,作词林夕啊……,0,我吃了我x3,1474865788
114,2019,10,3,安安静静的，平平淡淡的，彼此都能猜到对方在想什么，这样的爱情是很多人一辈子都梦寐以求的。可是，我只能亲手把她埋葬在这里。你的理解，是我最大的遗憾。祝你幸福。,2,MusHI丨浪荡绅士,398552207
115,2019,10,3,原来再见就是，在 也不见(手动心碎),1,比利时柚子,545624765
116,2019,10,2,原来再见就是再也不见,1,阁下迟暮,1504803950
117,2019,10,2,是你,2,吃一口葡萄吧,281310739
118,2019,10,1,让这首歌重新火起来,1,暴yu梨花,593349878
119,2019,10,1,曾在两年前的今天重复循环这首歌。两年。,5,狗的爪子,543228386
120,2019,10,1,"——“你，有女朋友了吗？”
——“是”。
好，祝你幸福！
你不会知道，那些在被子里想你想到哭时的心碎；你不会知道，那些辛苦的高中生活里因有你的支撑，我才熬过来；你不会知道，当知道你有另一个她时的心痛……你不会知道，我有多在乎你；你不会知道，我有多想你；你不会知道，我有多爱你……",12,北船余音1908,1928771155
121,2019,9,29,有见解[强],0,Andrea_chan,375812673
122,2019,9,29,我在想把 能错的都已错过 改为 能错的都已错过了 ，会不会更好呢[呲牙],0,哈哈找不到我吧,647097718
123,2019,9,29,最起码我不会踩一个捧一个,0,亲爱的不二170311,435699506
124,2019,9,29,没必要发现我们可爱或可怜，这句太林夕了,2,得布西森林,95937066
125,2019,9,27,分手时听得最多的一首歌。在下雨天，在冬夜，在最放不下与难受的时候。想念，可是再见，就是在，也不见，哪怕那个人就在不远……如今已释怀，再听这首歌，是内心平静的美好。,3,LiRon涛,333231790
126,2019,9,27,不敢再见,1,somelauv,1414337455
127,2019,9,27,孙燕姿随便一首歌，都让人喜欢,1,橙子DrVanessawang,624847047
128,2019,9,27,一粉多豆…我就同时喜欢燕姿和阿妹…[呆],0,李二岛,362395501
129,2019,9,27,"你真的把我忘得一干二净了吗
我们真的要老死不相往来吗",2,梵高先生7768,382681203
130,2019,9,25,刚听到，不算晚吧？,0,对方添加你为好友被你拒绝,365942920
131,2019,9,25,角度刁钻,0,对方添加你为好友被你拒绝,365942920
132,2019,9,25,"难过吗
终其一生
你都无法掌握自己的人生
年少时意气风发的你呀
怎么就活的像个傀儡了呢",3,清风月潋,1882332497
133,2019,9,24,跳蛋工厂有限公司？？？,2,少年已不年少2017,453690515
134,2019,9,24,？？？那你能写出来嘛,0,倪系噶,344288850
135,2019,9,24,为了孩子，每天见面，每天都往伤口上撒盐～,1,x鑫x鑫,246502651
136,2019,9,24,不敢再见不想再面对面,1,想要怎么反复我被思念快乐显得,1723368677
137,2019,9,23,不断再见,1,XQ0823,489797899
138,2019,9,23,你还不是特么一样，人家在孙燕姿歌下评论，又没提别人，关你屁事。,1,O_oHULLO,343829645
139,2019,9,23,有些人已经见过最后一面了,3,dev1ceee,70464042
140,2019,9,22,他走了，哈哈💔,0,小猴子Neo1805,1462262813
141,2019,9,22,有水瓶座的听这首歌吗？,4,糖真的不甜吗,1708800313
142,2019,9,22,在，也不见。那是有多绝情啊😱,0,零缺点-,545352622
143,2019,9,21,不能再见了,1,想变成白云的小綿羊,1295560161
144,2019,9,21,好好听呀,1,安儿-唏,1630044921
145,2019,9,21,只为惦念往事,0,-JoanneJK,85863318
146,2019,9,20,林夕,0,Bennett灬Vong,260107746
147,2019,9,19,哦 哈哈哈 可以,0,哪一晚的月色都很美,499378854
148,2019,9,19,害！太好哭了[哀伤],0,也不是猪只打呼,355734135
149,2019,9,18,心灵鸡汤,0,何雪雁何雪雁,255239210
150,2019,9,18,亮也没用，没用也亮 这句话是出自哪？,0,哪一晚的月色都很美,499378854
151,2019,9,18,不辞而别，祝好,3,JackReus666,268493608
152,2019,9,17,都是背影，何必回见[心碎],2,sengeorz,285241042
153,2019,9,17,错过了就是一辈子,2,一条鳗鱼呀,1560261239
154,2019,9,16,"分享歌词：
OP：跳蛋工厂有限公司。 分享孙燕姿的单曲《在,也不见 (电影《再见，在也不见》主题曲)》: http://music.163.com/song/408212737/?userid=382417714 (来自@网易云音乐)
？？？？？？这是什么鬼",0,麻烦请你闭嘴,382417714
155,2019,9,15,钟情唱遇见，绝情在也不见,0,sengeorz,285241042
156,2019,9,15,很多人会觉得 想念一个人要告诉她 你想她 但我真的 我不敢 我就算到了她的城市 连见她一面我都不敢,2,Lesleycheung_,336711324
157,2019,9,15,我很想你 真的,2,Lesleycheung_,336711324
158,2019,9,15,在，也不建————划水建模,3,Wunyje,450864030
159,2019,9,15,看来真的是再也不见了,0,41981号Bella,471199910
160,2019,9,15,孙燕姿的歌只有她一个人才能唱出那种紧紧把心揪住的感觉，别人唱的再好也只是徒有其表，没有灵魂,1,文武双全的渣渣,273097585
161,2019,9,14,大学听的歌，毕业一年了。又重温，还是一样动人。,0,大东同学丶,129166775
162,2019,9,14,初三听的歌，高中毕业了，再来听一次,0,张起灵的吴邪在我这里,1518078452
163,2019,9,14,jamin ho:我有一个记忆黑板 上面有你的名字,1,何杰明,114411098
164,2019,9,13,我怎么感觉污污的呢[奸笑][奸笑][奸笑],0,子墨的呱呱,486226891
165,2019,9,13,是啊 说和我做朋友 我看见在和其他人撩骚 那些对每个人都很好的人 陪我们走不了多远吧 我懂了,0,花来晚,66666354
166,2019,9,13,"今夜中秋
月亮很亮 亮也没用 没用也亮
我喜欢你 喜欢也没用 没用也喜欢
你的拜拜就像是永别
在，也不见
再见，再也不见",1,何雪雁何雪雁,255239210
167,2019,9,13,如果可以希望这一辈再也不要见面,0,yiyiyiyiyiyititu,536868681
168,2019,9,12,破音了……但是爱的不要不要的,0,嘿_嘿嘿嘿,264864530
169,2019,9,11,不，我也相信,0,川中的lady,1798732442
170,2019,9,10,在，也不见，你赶紧走吧，不然老是担心你会走,2,塞吉梅朵,1306812543
171,2019,9,9,"若不辞而别
对不起
我只是想拖延",0,区别黑白的仗,289872438
172,2019,9,9,我觉得《可惜没如果》 这歌歌词还是有很多地方写的挺惊艳的啊，比如开头那三句立马就喜欢上了,0,人群涣散,246382270
173,2019,9,9,我明白一切，知道不能沉溺在过去，知道自己心里的所有问题，知道自己该做什么，但实在不知道怎么摆脱消极悲观的态度,0,宇宙无雨,511074644
174,2019,9,8,也不是贬低，就是觉得这首词一般，谁都希望词好听的,0,小也当然最爱芳芳啦,57762968
175,2019,9,8,相见不如怀念,0,瓩一一,429179143
176,2019,9,8,恩，再也不见。。。。,0,哈个咯KKK,1969993216
177,2019,9,8,在，也不见！！！有些人，看似活着，其实早已死了。他不仅死了还埋葬了我的青春、未来……刀刀致命,0,行静3,411180097
178,2019,9,7,[亲亲]燕姿,0,小楠咂咂,1567462082
179,2019,9,7,"又想起我们在模拟考前一直听的这首歌
在，也不见
后来我们竟然真的就再也没见过
只是我
真的好遗憾
原来我是真的喜欢过你
这样简单的
喜欢过",0,我可以一路到黑,84548377
